time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
5.0	6847	20	27	6848	12	1006	1239	1
7.0	6846	20	19	6849	19	924	800	1
19.0	6846	19	18	6850	19	1012	720	2
20.0	6849	19	23	6851	14	921	763	2
29.0	6845	20	14	6852	26	944	1054	1
30.0	6845	14	14	6853	14	875	1074	2
31.0	6846	18	17	6854	18	1012	720	3
32.0	6848	12	13	6855	11	1122	1165	2
33.0	6849	23	24	6856	19	925	646	3
33.0	6848	13	17	6857	8	1122	1165	3
34.0	6848	17	17	6858	17	1122	1165	4
39.0	6846	17	17	6859	16	1012	720	4
39.0	6845	14	14	6860	14	875	1074	3
40.0	6849	24	27	6861	19	925	646	4
41.0	6845	14	13	6862	14	875	1074	4
42.0	6851	14	15	6863	13	904	746	3
44.0	6858	17	19	6864	15	1118	1232	5
47.0	6846	17	15	6865	19	1012	720	5
49.0	6861	19	15	6866	21	901	646	5
51.0	6848	17	17	6867	17	1109	1088	5
52.0	6863	13	16	6868	10	888	746	4
53.0	6848	17	16	6869	17	1109	1088	6
57.0	6849	27	26	6870	27	945	599	5
57.0	6853	14	9	6871	19	913	1119	3
57.0	6861	15	13	6872	16	873	705	6
57.0	6863	16	16	6873	16	888	746	5
58.0	6850	19	22	6874	16	997	734	3
60.0	6845	13	14	6875	12	875	1074	5
60.0	6854	18	14	6876	20	1046	914	4
60.0	6851	15	12	6877	16	917	733	4
60.0	6858	19	18	6878	18	1151	1155	6
61.0	6860	14	11	6879	16	803	1175	4
62.0	6860	11	9	6880	13	803	1175	5
62.0	6852	26	29	6881	23	956	1192	2
62.0	6864	15	15	6882	15	1085	1508	6
65.0	6855	11	12	6883	8	1103	1146	3
65.0	6857	8	10	6884	6	1007	1306	4
66.0	6864	15	13	6885	15	1085	1508	7
67.0	6859	16	12	6886	20	934	736	5
67.0	6848	16	16	6887	16	1094	906	7
70.0	6846	15	13	6888	15	1011	645	6
70.0	6867	17	17	6889	17	1109	1085	6
70.0	6854	14	11	6890	17	982	948	5
72.0	6860	9	8	6891	9	791	1231	6
72.0	6861	13	13	6892	11	852	705	7
72.0	6849	26	23	6893	28	945	599	6
74.0	6853	9	7	6894	9	913	1119	4
75.0	6859	12	11	6895	13	934	736	6
75.0	6850	22	18	6896	25	997	734	4
76.0	6856	19	21	6897	16	926	835	4
76.0	6851	12	11	6898	13	692	873	5
77.0	6867	17	17	6899	17	1109	1085	7
77.0	6850	18	21	6900	13	997	734	5
77.0	6854	11	10	6901	10	982	948	6
77.0	6849	23	20	6902	24	945	599	7
77.0	6865	19	21	6903	17	1240	872	6
78.0	6858	18	17	6904	16	1127	1081	7
78.0	6867	17	19	6905	14	1109	1085	8
78.0	6860	8	9	6906	7	773	1281	7
79.0	6862	14	13	6907	12	915	1074	5
79.0	6852	29	31	6908	27	1184	891	3
80.0	6845	14	14	6909	13	889	980	6
80.0	6852	31	32	6910	30	1184	891	4
80.0	6857	10	8	6911	11	1009	1324	5
80.0	6853	7	7	6912	7	913	1119	5
80.0	6856	21	26	6913	15	926	835	5
80.0	6884	6	7	6914	5	1061	1282	5
81.0	6854	10	8	6915	9	982	948	7
82.0	6866	21	20	6916	22	666	479	6
82.0	6855	12	13	6917	11	1168	1162	4
82.0	6884	7	9	6918	5	1061	1282	6
82.0	6848	16	17	6919	15	1094	906	8
82.0	6873	16	14	6920	17	969	718	6
83.0	6845	14	13	6921	13	889	960	7
83.0	6896	25	26	6922	24	1039	734	5
83.0	6869	17	13	6923	19	952	1032	7
83.0	6870	27	31	6924	22	379	87	6
84.0	6846	13	9	6925	17	1011	645	7
84.0	6895	13	12	6926	14	919	721	7
84.0	6851	11	8	6927	14	520	822	6
84.0	6861	13	12	6928	13	852	705	8
85.0	6890	17	13	6929	20	978	1112	6
85.0	6882	15	11	6930	18	1153	1408	7
85.0	6875	12	14	6931	10	895	1074	6
86.0	6865	21	17	6932	24	1424	876	7
86.0	6893	28	31	6933	23	879	629	7
86.0	6845	13	13	6934	13	889	960	8
86.0	6881	23	23	6935	22	939	1192	3
86.0	6868	10	9	6936	11	909	481	5
86.0	6877	16	13	6937	19	674	739	5
87.0	6881	23	24	6938	20	939	1192	4
87.0	6878	18	22	6939	14	917	1272	7
87.0	6889	17	16	6940	18	1209	1150	7
87.0	6876	20	19	6941	20	1163	971	5
87.0	6888	15	15	6942	15	1034	573	7
88.0	6862	13	15	6943	11	915	1074	6
88.0	6879	16	15	6944	15	829	1238	5
88.0	6876	19	20	6945	16	1163	971	6
88.0	6873	14	16	6946	12	902	664	7
88.0	6863	16	18	6947	13	867	746	6
89.0	6876	20	16	6948	24	1124	882	7
89.0	6864	13	13	6949	12	1102	1517	8
89.0	6853	7	6	6950	7	913	1119	6
90.0	6888	15	19	6951	10	1034	573	8
91.0	6875	14	15	6952	12	895	1074	7
91.0	6870	31	26	6953	36	217	134	7
91.0	6869	13	15	6954	11	842	1063	8
92.0	6848	17	15	6955	19	1094	906	9
92.0	6872	16	22	6956	10	895	705	7
92.0	6871	19	20	6957	18	885	1098	4
93.0	6860	9	10	6958	6	652	1343	8
93.0	6855	13	10	6959	15	1126	1245	5
93.0	6898	13	13	6960	12	876	801	6
