step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6848	3	0	0	19.9613	19.5047	4.5787	0.0000	1.0316
1	6847	3	0	0	19.9565	12.5088	4.6715	0.0827	1.0337
2	6847	3	0	0	19.9567	12.7072	4.6482	0.1536	1.0339
3	6847	3	0	0	19.9562	12.7074	4.6493	0.1532	1.0339
4	6846	3	0	0	19.9561	12.7070	4.6469	0.1410	1.0339
5	6846	4	0	0	19.9560	12.7068	4.6460	0.1457	1.0338
6	6846	4	0	0	19.9542	12.6997	4.6426	0.1490	1.0345
7	6846	5	0	0	19.9542	12.6995	4.6421	0.1455	1.0346
8	6845	5	0	0	19.9526	12.6946	4.6394	0.1472	1.0352
9	6845	5	0	0	19.9528	12.6947	4.6395	0.1586	1.0352
10	6844	5	0	0	19.9529	12.6948	4.6391	0.1588	1.0352
11	6844	5	0	0	19.9530	12.6957	4.6390	0.1598	1.0352
12	6844	5	0	0	19.9532	12.6957	4.6388	0.1623	1.0352
13	6843	5	0	0	19.9533	12.6956	4.6386	0.1623	1.0351
14	6840	5	0	0	19.9534	12.6956	4.6384	0.1623	1.0351
15	6840	5	0	0	19.9536	12.6954	4.6383	0.1632	1.0351
16	6840	5	0	0	19.9537	12.6953	4.6381	0.1639	1.0351
17	6839	5	0	0	19.9538	12.6963	4.6381	0.1600	1.0350
18	6838	4	0	0	19.9540	12.6964	4.6380	0.1463	1.0350
19	6839	5	0	0	19.9559	12.7030	4.6403	0.1500	1.0343
20	6840	6	0	0	19.9542	12.6966	4.6376	0.1528	1.0349
21	6840	6	0	0	19.9525	12.6873	4.6357	0.1618	1.0356
22	6840	6	0	0	19.9527	12.6872	4.6361	0.1617	1.0357
23	6839	6	0	0	19.9528	12.6874	4.6362	0.1605	1.0357
24	6838	6	0	0	19.9530	12.6875	4.6362	0.1676	1.0356
25	6837	6	0	0	19.9531	12.6875	4.6362	0.1715	1.0356
26	6837	6	0	0	19.9532	12.6874	4.6362	0.1687	1.0356
27	6836	6	0	0	19.9533	12.6874	4.6363	0.1679	1.0356
28	6835	6	0	0	19.9534	12.6873	4.6363	0.1688	1.0356
29	6835	7	0	0	19.9534	12.6872	4.6362	0.1639	1.0356
30	6835	8	0	0	19.9517	12.6825	4.6337	0.1598	1.0362
31	6836	9	0	0	19.9500	12.6750	4.6318	0.1656	1.0370
32	6836	10	0	0	19.9483	12.6703	4.6298	0.1674	1.0377
33	6837	12	0	0	19.9467	12.6663	4.6279	0.1759	1.0384
34	6838	13	0	0	19.9434	12.6572	4.6238	0.1723	1.0398
35	6838	13	0	0	19.9417	12.6514	4.6220	0.1778	1.0406
36	6838	13	0	0	19.9418	12.6517	4.6227	0.1833	1.0407
37	6838	13	0	0	19.9419	12.6517	4.6224	0.1833	1.0407
38	6837	13	0	0	19.9419	12.6515	4.6225	0.1745	1.0407
39	6839	15	0	0	19.9420	12.6518	4.6226	0.1802	1.0407
40	6840	16	0	0	19.9385	12.6378	4.6179	0.1786	1.0420
41	6840	17	0	0	19.9370	12.6332	4.6166	0.1863	1.0428
42	6841	18	0	0	19.9353	12.6229	4.6146	0.1857	1.0435
43	6840	18	0	0	19.9337	12.6191	4.6128	0.1890	1.0443
44	6841	19	0	0	19.9338	12.6193	4.6132	0.2072	1.0443
45	6841	19	0	0	19.9322	12.6154	4.6110	0.2025	1.0450
46	6840	19	0	0	19.9322	12.6156	4.6115	0.2004	1.0450
47	6840	20	0	0	19.9324	12.6158	4.6115	0.1992	1.0450
48	6840	20	0	0	19.9307	12.6113	4.6092	0.2008	1.0457
49	6839	21	0	0	19.9309	12.6120	4.6096	0.2016	1.0457
50	6839	21	0	0	19.9296	12.6058	4.6079	0.2015	1.0462
51	6840	22	0	0	19.9297	12.6061	4.6085	0.2009	1.0463
52	6841	23	0	0	19.9280	12.6027	4.6060	0.2000	1.0469
53	6842	24	0	0	19.9264	12.5948	4.6043	0.1986	1.0476
54	6840	24	0	0	19.9247	12.5926	4.6023	0.1989	1.0484
55	6840	24	0	0	19.9249	12.5930	4.6031	0.1986	1.0484
56	6839	24	0	0	19.9251	12.5945	4.6035	0.2037	1.0484
57	6843	28	0	0	19.9253	12.5967	4.6037	0.1914	1.0483
58	6844	29	0	0	19.9183	12.5632	4.5943	0.1876	1.0510
59	6843	29	0	0	19.9168	12.5553	4.5936	0.2131	1.0519
60	6847	33	0	0	19.9169	12.5557	4.5937	0.2125	1.0520
61	6848	34	0	0	19.9096	12.5312	4.5842	0.2185	1.0547
62	6851	37	0	0	19.9081	12.5278	4.5839	0.2280	1.0557
63	6851	37	0	0	19.9031	12.5149	4.5772	0.2288	1.0577
64	6850	37	0	0	19.9033	12.5157	4.5786	0.2274	1.0579
65	6851	39	0	0	19.9033	12.5150	4.5782	0.2291	1.0579
66	6852	40	0	0	19.8998	12.5038	4.5738	0.2273	1.0592
67	6851	42	0	0	19.8986	12.5037	4.5727	0.2136	1.0599
68	6850	42	0	0	19.8952	12.2251	4.5684	0.2128	1.0613
69	6850	42	0	0	19.8953	12.2271	4.5694	0.2456	1.0614
70	6851	45	0	0	19.8956	12.2275	4.5695	0.2421	1.0613
71	6850	45	0	0	19.8904	12.2168	4.5628	0.2443	1.0633
72	6851	48	0	0	19.8907	12.2186	4.5643	0.2461	1.0634
73	6849	48	0	0	19.8864	12.1981	4.5584	0.2294	1.0650
74	6850	49	0	0	19.8869	12.2071	4.5601	0.2384	1.0651
75	6850	51	0	0	19.8851	12.1755	4.5576	0.2580	1.0658
76	6849	53	0	0	19.8821	12.1714	4.5544	0.2289	1.0670
77	6854	58	0	0	19.8788	12.1640	4.5505	0.2388	1.0684
78	6856	61	0	0	19.8701	12.1415	4.5402	0.2399	1.0719
79	6858	63	0	0	19.8651	12.1254	4.5360	0.2432	1.0743
80	6864	69	0	0	19.8615	12.1134	4.5319	0.2496	1.0759
81	6865	70	0	0	19.8512	12.0660	4.5200	0.2421	1.0800
82	6869	75	0	0	19.8499	12.0590	4.5208	0.2681	1.0811
83	6872	79	0	0	19.8418	12.0391	4.5108	0.2637	1.0843
84	6876	83	0	0	19.8366	12.0219	4.5064	0.2683	1.0866
85	6879	86	0	0	19.8303	12.0082	4.5000	0.2739	1.0893
86	6884	92	0	0	19.8253	11.9870	4.4951	0.2781	1.0915
87	6888	97	0	0	19.8156	11.9614	4.4844	0.2933	1.0954
88	6893	102	0	0	19.8073	11.9347	4.4758	0.2996	1.0991
89	6896	105	0	0	19.7988	11.9082	4.4681	0.3110	1.1027
90	6897	106	0	0	19.7940	11.8913	4.4635	0.3229	1.1050
91	6897	109	0	0	19.7926	11.8918	4.4624	0.3140	1.1058
92	6900	112	0	0	19.7889	11.8766	4.4584	0.3111	1.1073
93	6908	120	0	0	19.7838	11.8585	4.4540	0.3340	1.1094
94	6915	127	0	0	19.7716	11.8285	4.4412	0.3440	1.1142
95	6919	133	0	0	19.7614	11.8083	4.4321	0.3490	1.1186
96	6923	137	0	0	19.7526	11.7846	4.4238	0.3603	1.1224
97	6926	140	0	0	19.7460	11.7663	4.4178	0.3795	1.1254
98	6930	145	0	0	19.7408	11.7517	4.4133	0.3955	1.1277
99	6936	151	0	0	19.7333	11.7364	4.4055	0.4133	1.1308
100	6942	158	0	0	19.7229	11.7107	4.3958	0.4249	1.1351
101	6947	165	0	0	19.7111	11.6706	4.3851	0.4439	1.1401
102	6949	168	0	0	19.6994	11.6368	4.3752	0.4644	1.1452
103	6963	183	0	0	19.6962	11.6289	4.3731	0.4763	1.1470
104	6975	196	0	0	19.6714	11.5555	4.3506	0.4940	1.1565
105	6987	208	0	0	19.6508	11.5047	4.3341	0.5013	1.1654
106	6998	219	0	0	19.6317	11.4638	4.3181	0.4977	1.1736
107	7011	232	0	0	19.6139	11.4142	4.3053	0.5030	1.1813
108	7018	240	0	0	19.5938	11.3630	4.2882	0.5657	1.1897
109	7030	253	0	0	19.5829	11.3438	4.2793	0.6133	1.1948
110	7040	263	0	0	19.5618	11.2800	4.2621	0.6329	1.2034
111	7048	271	0	0	19.5459	11.2295	4.2514	0.6411	1.2104
112	7059	283	0	0	19.5326	11.1896	4.2421	0.6790	1.2163
113	7071	296	0	0	19.5126	11.1010	4.2282	0.7337	1.2246
114	7083	308	0	0	19.4918	11.0321	4.2126	0.7700	1.2334
115	7099	324	0	0	19.4750	10.9881	4.2009	0.7532	1.2408
116	7109	334	0	0	19.4500	10.9234	4.1829	0.8080	1.2510
117	7130	355	0	0	19.4352	10.8869	4.1736	0.8466	1.2579
118	7144	370	0	0	19.3999	10.7834	4.1506	0.8876	1.2719
119	7159	386	0	0	19.3759	10.7087	4.1356	0.9556	1.2827
120	7179	406	0	0	19.3522	10.6443	4.1212	0.9917	1.2930
121	7203	430	0	0	19.3252	10.5834	4.1022	1.0168	1.3041
122	7229	457	0	0	19.2892	10.4857	4.0800	1.0417	1.3189
123	7241	469	0	0	19.2521	10.3932	4.0565	1.0939	1.3345
124	7256	485	0	0	19.2319	10.3349	4.0468	1.1388	1.3439
125	7274	503	0	0	19.2078	10.2657	4.0324	1.1763	1.3541
126	7293	523	0	0	19.1803	10.2029	4.0157	1.2223	1.3657
127	7316	546	0	0	19.1496	10.1096	3.9989	1.2453	1.3786
128	7345	576	0	0	19.1152	9.9756	3.9809	1.2816	1.3930
129	7374	606	0	0	19.0685	9.9102	3.9569	1.3236	1.4122
130	7401	634	0	0	19.0225	9.8046	3.9333	1.3914	1.4319
131	7427	660	0	0	18.9810	9.6971	3.9137	1.4531	1.4498
132	7460	693	0	0	18.9419	9.5538	3.8949	1.5244	1.4665
133	7495	729	0	0	18.8906	9.4182	3.8704	1.5950	1.4877
134	7536	772	0	0	18.8318	9.1218	3.8485	1.6478	1.5125
135	7563	799	0	0	18.7699	8.9685	3.8202	1.7217	1.5386
136	7598	835	0	0	18.7321	8.8643	3.8046	1.7942	1.5558
137	7642	879	0	0	18.6753	8.7189	3.7810	1.8412	1.5791
138	7677	915	0	0	18.6096	8.5479	3.7543	1.8974	1.6065
139	7713	951	0	0	18.5561	8.4181	3.7316	1.9608	1.6297
