time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
7.0	6847	20	22	6848	18	1004	1179	1
9.0	6847	22	21	6849	23	1004	1179	2
13.0	6846	20	19	6850	21	931	857	1
15.0	6847	21	18	6851	23	1004	1179	3
32.0	6848	18	14	6852	22	1095	1219	2
32.0	6846	19	22	6853	15	931	857	2
34.0	6847	18	22	6854	13	1004	1179	4
38.0	6846	22	21	6855	21	908	911	3
40.0	6851	23	25	6856	21	863	1009	4
41.0	6851	25	23	6857	27	863	1009	5
42.0	6849	23	22	6858	22	1024	1014	3
43.0	6850	21	21	6859	18	1033	928	2
43.0	6847	22	24	6860	19	1004	1179	5
44.0	6846	21	18	6861	22	908	911	4
52.0	6849	22	23	6862	21	1024	1014	4
53.0	6853	15	15	6863	14	768	868	3
54.0	6845	20	19	6864	19	1008	945	1
55.0	6852	22	24	6865	20	1118	1247	3
59.0	6847	24	26	6866	21	1055	1313	6
60.0	6848	14	15	6867	12	1095	1219	3
60.0	6851	23	18	6868	27	863	1009	6
62.0	6854	13	10	6869	13	1108	1076	5
63.0	6856	21	17	6870	24	836	1164	5
63.0	6854	10	8	6871	12	1108	1076	6
63.0	6850	21	17	6872	25	1047	914	3
64.0	6856	17	18	6873	16	836	1164	6
64.0	6852	24	21	6874	26	1092	1292	4
64.0	6860	19	22	6875	16	1140	1173	6
65.0	6860	22	26	6876	17	1140	1173	7
65.0	6851	18	13	6877	22	863	1009	7
67.0	6859	18	17	6878	17	1033	947	3
68.0	6846	18	15	6879	20	836	933	5
68.0	6865	20	19	6880	18	1153	1312	4
68.0	6853	15	15	6881	14	748	864	4
69.0	6865	19	22	6882	15	1153	1312	5
69.0	6864	19	21	6883	17	865	936	2
69.0	6852	21	17	6884	24	1092	1292	5
69.0	6858	22	20	6885	23	1046	1170	4
70.0	6855	21	17	6886	25	926	855	4
70.0	6857	27	22	6887	31	879	1009	6
70.0	6864	21	18	6888	24	865	936	3
71.0	6848	15	16	6889	14	1090	1199	4
71.0	6857	22	23	6890	18	879	1009	7
71.0	6861	22	25	6891	17	952	916	5
71.0	6855	17	14	6892	20	926	855	5
72.0	6858	20	17	6893	21	1046	1170	5
72.0	6849	23	18	6894	26	1024	1014	5
73.0	6858	17	11	6895	20	1046	1170	6
73.0	6854	8	9	6896	7	1108	1076	7
74.0	6854	9	8	6897	10	1108	1076	8
74.0	6849	18	16	6898	19	1024	1014	6
74.0	6860	26	26	6899	25	1140	1173	8
75.0	6856	18	14	6900	21	878	1149	7
75.0	6861	25	22	6901	27	952	916	6
75.0	6854	8	11	6902	5	1108	1076	9
76.0	6867	12	9	6903	14	1161	1177	4
77.0	6850	17	17	6904	16	1047	914	4
77.0	6868	27	30	6905	23	878	1096	7
77.0	6877	22	23	6906	20	948	1111	8
78.0	6862	21	27	6907	15	905	1007	5
79.0	6853	15	13	6908	16	748	864	5
80.0	6845	19	14	6909	24	1008	945	2
81.0	6867	9	7	6910	10	1161	1177	5
82.0	6864	18	20	6911	15	865	936	4
82.0	6863	14	14	6912	12	786	604	4
83.0	6847	26	21	6913	30	1090	1693	7
83.0	6862	27	30	6914	22	905	1007	6
84.0	6845	14	15	6915	11	1008	945	3
84.0	6847	21	25	6916	17	1090	1693	8
84.0	6886	25	26	6917	24	926	838	5
85.0	6865	22	14	6918	29	1205	1342	6
85.0	6852	17	16	6919	16	973	1494	6
85.0	6848	16	22	6920	9	1093	1179	5
85.0	6857	23	17	6921	25	879	1009	8
85.0	6881	14	13	6922	13	778	924	5
85.0	6879	20	17	6923	22	872	910	6
85.0	6847	25	25	6924	24	1090	1693	9
86.0	6880	18	19	6925	16	1067	1203	5
86.0	6856	14	12	6926	16	878	1149	8
86.0	6860	26	24	6927	27	1188	1226	9
86.0	6859	17	14	6928	20	1033	947	4
87.0	6874	26	26	6929	26	1166	1343	5
87.0	6905	23	19	6930	26	894	1079	8
87.0	6861	22	20	6931	24	952	916	7
87.0	6880	19	20	6932	16	1067	1203	6
88.0	6858	11	14	6933	8	1046	1170	7
89.0	6871	12	12	6934	11	1074	1076	7
89.0	6855	14	15	6935	12	926	855	6
89.0	6890	18	19	6936	17	876	1054	8
89.0	6848	22	25	6937	17	1093	1179	6
89.0	6862	30	29	6938	31	905	1007	7
89.0	6866	21	20	6939	19	864	1302	7
90.0	6847	25	36	6940	12	1089	1784	10
90.0	6886	26	26	6941	26	926	838	6
90.0	6871	12	12	6942	11	1074	1076	8
90.0	6851	13	14	6943	11	863	1009	8
90.0	6864	20	19	6944	19	809	939	5
90.0	6850	17	18	6945	16	1047	914	5
90.0	6905	19	18	6946	20	894	1079	9
91.0	6854	11	10	6947	11	1108	1076	10
91.0	6892	20	19	6948	21	891	881	6
91.0	6856	12	11	6949	13	878	1149	9
91.0	6878	17	18	6950	15	1033	928	4
91.0	6874	26	24	6951	26	1229	1364	6
91.0	6868	30	23	6952	35	878	1096	8
91.0	6875	16	12	6953	20	1119	1173	7
91.0	6889	14	16	6954	12	1015	1126	5
92.0	6868	23	26	6955	17	878	1096	9
92.0	6892	19	23	6956	15	891	881	7
93.0	6879	17	17	6957	16	872	910	7
93.0	6903	14	15	6958	13	1136	1201	5
93.0	6846	15	19	6959	11	836	933	6
93.0	6894	26	23	6960	29	1119	676	6
94.0	6852	16	20	6961	12	973	1494	7
94.0	6846	19	15	6962	20	836	933	7
94.0	6869	13	10	6963	15	1149	1114	6
