step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6848	3	0	0	19.9613	19.5047	4.5787	0.0000	1.0316
1	6847	3	0	0	19.9565	12.5088	4.6715	0.0827	1.0337
2	6847	3	0	0	19.9566	12.5092	4.6481	0.1398	1.0339
3	6847	3	0	0	19.9562	12.5082	4.6492	0.1387	1.0339
4	6846	3	0	0	19.9561	12.7049	4.6468	0.1363	1.0339
5	6845	3	0	0	19.9560	12.7041	4.6459	0.1376	1.0339
6	6845	3	0	0	19.9560	12.7041	4.6450	0.1328	1.0339
7	6846	4	0	0	19.9560	12.7040	4.6442	0.1391	1.0338
8	6845	4	0	0	19.9543	12.6966	4.6414	0.1358	1.0345
9	6846	5	0	0	19.9545	12.6973	4.6415	0.1355	1.0345
10	6846	5	0	0	19.9529	12.6892	4.6387	0.1428	1.0352
11	6846	5	0	0	19.9530	12.6909	4.6390	0.1433	1.0352
12	6845	5	0	0	19.9532	12.6911	4.6387	0.1402	1.0352
13	6845	6	0	0	19.9534	12.6913	4.6388	0.1394	1.0352
14	6843	6	0	0	19.9518	12.6852	4.6362	0.1394	1.0358
15	6844	7	0	0	19.9520	12.6862	4.6367	0.1551	1.0358
16	6844	7	0	0	19.9503	12.6768	4.6340	0.1493	1.0365
17	6843	7	0	0	19.9504	12.6779	4.6343	0.1435	1.0366
18	6842	7	0	0	19.9506	12.6784	4.6342	0.1419	1.0366
19	6842	7	0	0	19.9507	12.6786	4.6343	0.1444	1.0365
20	6842	7	0	0	19.9508	12.6787	4.6341	0.1432	1.0365
21	6842	7	0	0	19.9509	12.6775	4.6341	0.1413	1.0365
22	6841	7	0	0	19.9510	12.6776	4.6342	0.1471	1.0365
23	6841	7	0	0	19.9512	12.6776	4.6341	0.1584	1.0365
24	6841	7	0	0	19.9513	12.6763	4.6344	0.1578	1.0364
25	6840	7	0	0	19.9514	12.6763	4.6344	0.1576	1.0364
26	6839	7	0	0	19.9515	12.6731	4.6343	0.1704	1.0364
27	6838	7	0	0	19.9516	12.6727	4.6344	0.1637	1.0364
28	6837	7	0	0	19.9517	12.6727	4.6344	0.1603	1.0364
29	6837	7	0	0	19.9518	12.6729	4.6344	0.1640	1.0364
30	6837	7	0	0	19.9518	12.6728	4.6343	0.1599	1.0363
31	6837	7	0	0	19.9519	12.6727	4.6343	0.1599	1.0363
32	6839	9	0	0	19.9520	12.6728	4.6343	0.1600	1.0363
33	6839	9	0	0	19.9485	12.6603	4.6295	0.1627	1.0377
34	6839	10	0	0	19.9486	12.6606	4.6306	0.1608	1.0378
35	6839	10	0	0	19.9469	12.6535	4.6281	0.1631	1.0385
36	6836	10	0	0	19.9470	12.6536	4.6286	0.1660	1.0386
37	6836	10	0	0	19.9471	12.6521	4.6286	0.1704	1.0386
38	6835	11	0	0	19.9471	12.6521	4.6286	0.1623	1.0386
39	6834	11	0	0	19.9454	12.6448	4.6262	0.1639	1.0392
40	6834	12	0	0	19.9455	12.6448	4.6266	0.1634	1.0393
41	6834	13	0	0	19.9437	12.4405	4.6242	0.1643	1.0400
42	6835	14	0	0	19.9420	12.4301	4.6223	0.1615	1.0407
43	6837	16	0	0	19.9401	12.4230	4.6201	0.1666	1.0415
44	6838	17	0	0	19.9365	12.3113	4.6157	0.1830	1.0430
45	6837	17	0	0	19.9347	12.3018	4.6141	0.1789	1.0438
46	6836	17	0	0	19.9348	12.3022	4.6143	0.1766	1.0439
47	6836	17	0	0	19.9349	12.3017	4.6143	0.1806	1.0439
48	6835	17	0	0	19.9349	12.3026	4.6144	0.1840	1.0439
49	6834	17	0	0	19.9350	12.3031	4.6146	0.1834	1.0439
50	6834	17	0	0	19.9351	12.3054	4.6146	0.1881	1.0439
51	6834	17	0	0	19.9352	12.3062	4.6146	0.1840	1.0438
52	6835	18	0	0	19.9353	12.3075	4.6147	0.1789	1.0438
53	6836	19	0	0	19.9335	12.2980	4.6122	0.1819	1.0445
54	6836	20	0	0	19.9318	12.2932	4.6104	0.1915	1.0452
55	6837	21	0	0	19.9301	12.2842	4.6083	0.1994	1.0460
56	6836	21	0	0	19.9285	12.2822	4.6067	0.2038	1.0467
57	6836	21	0	0	19.9287	12.2839	4.6071	0.1904	1.0467
58	6836	21	0	0	19.9287	12.2842	4.6071	0.1897	1.0467
59	6836	22	0	0	19.9288	12.2848	4.6075	0.1844	1.0467
60	6838	24	0	0	19.9272	12.2806	4.6051	0.1831	1.0473
61	6838	24	0	0	19.9237	12.2699	4.6008	0.1842	1.0487
62	6839	25	0	0	19.9238	12.2716	4.6015	0.1850	1.0489
63	6840	28	0	0	19.9222	12.2667	4.5992	0.1880	1.0495
64	6842	31	0	0	19.9169	12.2462	4.5929	0.1869	1.0516
65	6844	33	0	0	19.9119	12.2325	4.5873	0.1885	1.0538
66	6844	33	0	0	19.9083	12.2206	4.5835	0.1986	1.0554
67	6841	34	0	0	19.9085	12.2204	4.5843	0.2127	1.0556
68	6844	37	0	0	19.9069	12.2131	4.5820	0.2168	1.0562
69	6847	41	0	0	19.9017	12.1982	4.5755	0.2237	1.0583
70	6849	44	0	0	19.8947	12.1765	4.5675	0.2280	1.0612
71	6852	48	0	0	19.8895	12.1566	4.5622	0.2311	1.0635
72	6853	50	0	0	19.8823	12.1294	4.5541	0.2366	1.0666
73	6855	52	0	0	19.8789	12.1142	4.5516	0.2422	1.0683
74	6857	55	0	0	19.8754	12.1010	4.5476	0.2443	1.0698
75	6859	58	0	0	19.8700	12.0812	4.5420	0.2574	1.0720
76	6859	59	0	0	19.8648	12.0627	4.5370	0.2585	1.0743
77	6862	62	0	0	19.8634	12.0604	4.5361	0.2668	1.0752
78	6862	63	0	0	19.8580	12.0394	4.5299	0.2598	1.0773
79	6863	64	0	0	19.8564	12.0344	4.5290	0.2687	1.0782
80	6863	65	0	0	19.8549	12.0323	4.5271	0.2654	1.0789
81	6864	66	0	0	19.8533	12.0153	4.5260	0.2659	1.0796
82	6865	68	0	0	19.8518	12.0135	4.5240	0.2689	1.0803
83	6866	70	0	0	19.8485	12.0036	4.5202	0.2628	1.0816
84	6869	73	0	0	19.8460	11.9973	4.5179	0.2841	1.0827
85	6876	80	0	0	19.8415	11.9817	4.5129	0.2821	1.0845
86	6879	84	0	0	19.8303	11.9499	4.5011	0.2931	1.0890
87	6883	88	0	0	19.8236	11.9270	4.4954	0.3114	1.0921
88	6884	89	0	0	19.8167	11.9023	4.4886	0.3161	1.0951
89	6890	95	0	0	19.8149	11.8963	4.4875	0.3259	1.0961
90	6897	102	0	0	19.8041	11.8568	4.4763	0.3359	1.1003
91	6903	110	0	0	19.7925	11.8117	4.4662	0.3567	1.1052
92	6905	112	0	0	19.7784	11.7631	4.4534	0.3775	1.1112
93	6909	116	0	0	19.7751	11.7511	4.4519	0.4213	1.1132
94	6912	120	0	0	19.7684	11.7512	4.4445	0.4341	1.1160
95	6918	127	0	0	19.7617	11.7326	4.4386	0.4459	1.1189
96	6922	132	0	0	19.7494	11.6949	4.4277	0.4661	1.1239
97	6928	138	0	0	19.7414	11.6692	4.4209	0.4935	1.1276
98	6940	150	0	0	19.7309	11.6000	4.4119	0.4895	1.1321
99	6951	161	0	0	19.7102	11.5282	4.3933	0.5025	1.1404
100	6954	165	0	0	19.6910	11.4644	4.3795	0.5257	1.1488
101	6963	175	0	0	19.6846	11.4433	4.3745	0.5640	1.1522
102	6968	182	0	0	19.6669	11.3793	4.3598	0.5978	1.1593
103	6977	192	0	0	19.6551	11.3395	4.3509	0.6442	1.1647
104	6986	202	0	0	19.6378	11.2839	4.3379	0.6622	1.1719
105	6995	211	0	0	19.6207	11.2688	4.3253	0.6320	1.1793
106	7007	224	0	0	19.6054	11.2219	4.3146	0.6750	1.1860
107	7013	230	0	0	19.5838	11.1040	4.2992	0.7282	1.1950
108	7020	237	0	0	19.5742	11.0758	4.2928	0.7890	1.1997
109	7032	250	0	0	19.5629	11.0491	4.2844	0.8245	1.2046
110	7048	266	0	0	19.5413	10.9809	4.2690	0.8589	1.2133
111	7061	279	0	0	19.5134	10.6846	4.2516	0.8900	1.2249
112	7071	290	0	0	19.4913	10.6118	4.2378	0.9508	1.2347
113	7085	304	0	0	19.4733	4.0399	4.2282	1.0057	1.2426
114	7097	317	0	0	19.4506	3.9836	4.2134	1.0319	1.2521
115	7107	329	0	0	19.4288	10.4211	4.1994	1.0814	1.2615
116	7124	346	0	0	19.4082	10.3426	4.1880	1.1693	1.2705
117	7139	361	0	0	19.3791	10.2563	4.1715	1.2162	1.2826
118	7150	372	0	0	19.3541	10.1848	4.1575	1.3000	1.2935
119	7166	389	0	0	19.3355	10.1259	4.1478	1.3690	1.3019
120	7178	401	0	0	19.3070	4.0320	4.1333	1.4197	1.3137
121	7197	420	0	0	19.2880	4.2187	4.1224	1.4827	1.3223
122	7227	450	0	0	19.2560	4.1413	4.1038	1.5116	1.3353
123	7245	468	0	0	19.2044	3.9909	4.0778	1.5392	1.3564
124	7259	482	0	0	19.1738	3.9208	4.0638	1.5853	1.3706
125	7280	503	0	0	19.1505	3.8730	4.0529	1.6351	1.3811
126	7308	532	0	0	19.1158	3.7852	4.0370	1.6958	1.3954
127	7324	549	0	0	19.0682	9.4186	4.0145	1.7487	1.4151
128	7349	575	0	0	19.0413	9.3446	4.0024	1.8087	1.4276
129	7374	600	0	0	18.9968	9.1960	3.9838	1.8441	1.4458
130	7397	624	0	0	18.9562	9.0731	3.9670	1.9019	1.4634
131	7422	649	0	0	18.9150	8.9352	3.9512	1.9673	1.4811
132	7445	672	0	0	18.8731	8.5608	3.9358	2.0461	1.4991
133	7466	695	0	0	18.8343	8.4440	3.9208	2.1073	1.5159
134	7497	727	0	0	18.7948	8.3193	3.9079	2.1660	1.5329
135	7524	756	0	0	18.7428	8.1544	3.8895	2.2432	1.5546
136	7549	781	0	0	18.6942	8.0180	3.8726	2.2934	1.5756
137	7587	819	0	0	18.6529	7.8895	3.8584	2.3668	1.5937
138	7624	856	0	0	18.5913	7.7114	3.8366	2.4272	1.6191
139	7662	895	0	0	18.5324	7.5470	3.8157	2.5103	1.6444
