time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
8.0	6846	20	21	6848	18	912	848	1
13.0	6845	20	16	6849	23	1029	1068	1
19.0	6846	21	26	6850	16	912	848	2
22.0	6847	20	22	6851	18	961	1076	1
25.0	6849	23	19	6852	26	1048	1014	2
25.0	6845	16	16	6853	16	1026	1089	2
26.0	6847	22	21	6854	21	908	1164	2
30.0	6853	16	16	6855	16	1046	1089	3
30.0	6846	26	20	6856	30	912	848	3
31.0	6846	20	23	6857	16	912	848	4
34.0	6849	19	10	6858	27	1048	1014	3
35.0	6850	16	16	6859	15	926	862	3
36.0	6854	21	22	6860	20	880	1198	3
36.0	6846	23	21	6861	23	912	848	5
37.0	6845	16	15	6862	16	1023	1045	3
37.0	6854	22	18	6863	23	880	1198	4
42.0	6847	21	22	6864	20	925	1147	3
43.0	6847	22	21	6865	23	925	1147	4
44.0	6847	21	23	6866	16	925	1147	5
46.0	6850	16	15	6867	17	888	885	4
46.0	6848	18	20	6868	15	517	986	2
46.0	6846	21	22	6869	20	912	848	6
47.0	6848	20	20	6870	19	517	986	3
47.0	6854	18	17	6871	18	880	1198	5
47.0	6851	18	13	6872	22	1037	1218	2
48.0	6855	16	18	6873	14	1239	986	4
49.0	6861	23	24	6874	21	892	848	6
50.0	6849	10	13	6875	7	1048	1014	4
50.0	6861	24	24	6876	23	892	848	7
52.0	6845	15	14	6877	13	1023	1045	4
53.0	6847	23	24	6878	22	925	1147	6
53.0	6859	15	16	6879	14	1045	942	4
53.0	6853	16	18	6880	14	1044	1087	4
54.0	6850	15	18	6881	10	881	904	5
54.0	6847	24	28	6882	19	925	1147	7
55.0	6847	28	24	6883	32	925	1147	8
57.0	6855	18	17	6884	18	1095	986	5
58.0	6858	27	27	6885	25	1062	1028	4
58.0	6851	13	10	6886	16	1037	1218	3
58.0	6850	18	17	6887	19	879	951	6
59.0	6856	30	32	6888	28	880	1018	4
59.0	6860	20	12	6889	27	843	1005	4
59.0	6858	27	32	6890	21	1062	1028	5
60.0	6846	22	24	6891	19	912	848	7
60.0	6848	20	27	6892	12	517	986	4
60.0	6857	16	14	6893	18	859	944	5
61.0	6861	24	25	6894	21	892	848	8
61.0	6852	26	24	6895	27	1075	1049	3
61.0	6854	17	20	6896	14	860	1195	6
61.0	6849	13	19	6897	7	1048	1014	5
61.0	6857	14	5	6898	20	859	944	6
62.0	6852	24	21	6899	24	1075	1049	4
62.0	6849	19	21	6900	17	1048	1014	6
63.0	6861	25	23	6901	25	892	848	9
64.0	6882	19	21	6902	16	985	1150	8
64.0	6864	20	24	6903	15	874	1134	4
65.0	6893	18	24	6904	12	881	921	6
65.0	6858	32	29	6905	34	1106	1200	6
65.0	6850	17	20	6906	12	879	951	7
65.0	6857	5	5	6907	5	859	944	7
65.0	6863	23	25	6908	20	913	1164	5
66.0	6858	29	28	6909	28	1106	1200	7
66.0	6855	17	15	6910	18	1095	986	6
67.0	6846	24	23	6911	24	912	848	8
67.0	6870	19	18	6912	19	468	1051	4
67.0	6879	14	15	6913	12	965	909	5
68.0	6878	22	27	6914	17	978	1129	7
68.0	6869	20	19	6915	19	946	792	7
68.0	6868	15	13	6916	16	328	976	3
68.0	6845	14	17	6917	11	1023	1045	5
68.0	6862	16	17	6918	15	994	1073	4
68.0	6867	17	21	6919	11	1127	911	5
69.0	6865	23	25	6920	19	893	1134	5
69.0	6870	18	17	6921	18	468	1051	5
69.0	6873	14	11	6922	14	1248	995	5
70.0	6852	21	23	6923	18	1075	1049	5
70.0	6859	16	19	6924	12	1092	900	5
71.0	6848	27	28	6925	26	462	981	5
71.0	6880	14	11	6926	16	1058	1087	5
71.0	6854	20	27	6927	13	860	1195	7
71.0	6882	21	16	6928	24	985	1150	9
71.0	6886	16	11	6929	21	1054	1218	4
71.0	6874	21	23	6930	17	844	891	7
71.0	6871	18	17	6931	17	896	1181	6
71.0	6870	17	13	6932	19	468	1051	6
72.0	6858	28	23	6933	30	1106	1200	8
72.0	6880	11	9	6934	12	1058	1087	6
72.0	6925	26	20	6935	29	447	981	6
73.0	6853	18	15	6936	19	1009	1119	5
73.0	6925	20	22	6937	17	447	981	7
73.0	6849	21	18	6938	20	1069	1014	7
73.0	6863	25	24	6939	26	913	1140	6
73.0	6861	23	22	6940	23	892	848	10
74.0	6860	12	11	6941	12	826	977	5
74.0	6851	10	9	6942	10	1037	1218	4
75.0	6866	16	7	6943	23	962	1019	6
75.0	6884	18	19	6944	16	1239	1050	6
75.0	6847	24	23	6945	24	925	1123	9
76.0	6865	25	20	6946	27	893	1134	6
76.0	6869	19	15	6947	22	946	792	8
76.0	6855	15	13	6948	17	1095	986	7
76.0	6863	24	23	6949	24	928	1155	7
77.0	6888	28	24	6950	31	880	995	5
77.0	6906	12	12	6951	12	879	972	8
77.0	6855	13	13	6952	13	1095	986	8
77.0	6872	22	22	6953	22	1019	1260	3
77.0	6892	12	10	6954	14	527	996	5
78.0	6859	19	21	6955	17	1047	888	6
78.0	6877	13	7	6956	19	1023	1073	5
78.0	6888	24	25	6957	22	880	995	6
78.0	6854	27	29	6958	23	860	1195	8
79.0	6864	24	30	6959	18	859	1119	5
80.0	6894	21	23	6960	18	877	883	9
80.0	6916	16	11	6961	20	319	967	4
80.0	6885	25	24	6962	25	1048	1064	5
80.0	6905	34	29	6963	39	1080	1448	7
80.0	6918	15	16	6964	13	980	1073	5
80.0	6864	30	33	6965	24	859	1119	6
80.0	6879	15	13	6966	17	965	909	6
81.0	6940	23	26	6967	17	871	848	11
81.0	6883	32	37	6968	27	960	1109	9
81.0	6846	23	24	6969	20	912	848	9
81.0	6875	7	7	6970	7	1048	954	5
82.0	6878	27	23	6971	30	978	1129	8
83.0	6903	15	8	6972	21	837	1097	5
83.0	6862	17	16	6973	16	994	1073	5
83.0	6895	27	19	6974	35	1106	1102	4
83.0	6911	24	27	6975	20	952	848	9
83.0	6918	16	14	6976	18	970	1063	6
83.0	6901	25	28	6977	19	892	869	10
83.0	6852	23	19	6978	25	1075	1049	6
83.0	6876	23	27	6979	17	862	898	8
84.0	6900	17	18	6980	15	1048	994	7
84.0	6887	19	20	6981	18	919	908	7
84.0	6892	10	6	6982	14	527	996	6
84.0	6891	19	17	6983	20	927	883	8
85.0	6920	19	19	6984	18	900	1119	6
85.0	6892	6	10	6985	2	527	996	7
85.0	6889	27	25	6986	27	799	973	5
85.0	6926	16	19	6987	13	1028	1116	6
85.0	6872	22	25	6988	18	1043	1282	4
85.0	6859	21	19	6989	22	1020	847	7
85.0	6935	29	31	6990	27	424	1061	7
85.0	6894	23	28	6991	17	877	883	10
85.0	6900	18	13	6992	23	1048	994	8
86.0	6885	24	25	6993	20	1048	1064	6
86.0	6926	19	16	6994	21	1028	1116	7
86.0	6845	17	12	6995	20	1023	1045	6
86.0	6868	13	10	6996	13	325	993	4
86.0	6879	13	14	6997	12	973	890	7
86.0	6856	32	27	6998	36	832	1036	5
86.0	6857	5	5	6999	5	859	944	8
86.0	6923	18	16	7000	20	1105	1101	6
86.0	6876	27	21	7001	32	862	898	9
86.0	6907	5	4	7002	6	902	971	8
87.0	6880	9	8	7003	9	1076	1129	7
87.0	6902	16	15	7004	15	937	1089	9
87.0	6851	9	8	7005	8	1037	1237	5
87.0	6906	12	13	7006	11	879	972	9
87.0	6886	11	13	7007	9	1054	1218	5
87.0	6938	20	21	7008	18	1054	1028	8
87.0	6898	20	20	7009	17	902	931	7
87.0	6881	10	9	7010	11	886	1022	6
88.0	6848	28	27	7011	28	375	853	6
88.0	6909	28	26	7012	27	1106	1211	8
88.0	6905	29	26	7013	31	1080	1448	8
88.0	6917	11	8	7014	13	988	1059	6
88.0	6858	23	23	7015	19	1157	1142	9
88.0	6892	10	10	7016	9	527	996	8
88.0	6898	20	14	7017	25	902	931	8
88.0	6852	19	18	7018	19	1075	1049	7
88.0	6885	25	28	7019	21	1048	1084	7
88.0	6904	12	15	7020	9	961	972	7
88.0	6881	9	9	7021	9	886	1022	7
89.0	6863	23	17	7022	29	972	1155	8
89.0	6867	21	15	7023	25	1230	952	6
89.0	6849	18	22	7024	14	1069	1014	8
89.0	6850	20	17	7025	19	930	1029	8
89.0	6882	16	15	7026	16	1029	1186	10
89.0	6877	7	6	7027	8	1002	1073	6
89.0	6905	26	26	7028	26	1080	1448	9
89.0	6955	17	15	7029	18	1061	888	7
89.0	6883	37	31	7030	42	960	1109	10
90.0	6908	20	19	7031	19	948	1199	6
90.0	6875	7	4	7032	10	1048	931	6
90.0	6889	25	20	7033	29	799	973	6
90.0	6866	7	9	7034	4	954	1005	7
90.0	6847	23	24	7035	20	947	1123	10
90.0	6940	26	22	7036	26	856	833	12
90.0	6896	14	15	7037	13	839	1257	7
90.0	6894	28	25	7038	31	877	883	11
91.0	6888	25	24	7039	26	859	995	7
