step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6848	3	0	0	19.9613	19.5047	4.5787	0.0000	1.0316
1	6847	3	0	0	19.9565	12.5088	4.6715	0.0827	1.0337
2	6847	3	0	0	19.9567	12.7061	4.6481	0.1279	1.0339
3	6847	3	0	0	19.9562	12.7051	4.6492	0.1285	1.0339
4	6846	3	0	0	19.9561	12.7047	4.6468	0.1260	1.0339
5	6845	3	0	0	19.9560	12.7047	4.6459	0.1262	1.0339
6	6845	3	0	0	19.9560	12.7046	4.6449	0.1248	1.0339
7	6845	3	0	0	19.9559	12.7044	4.6441	0.1288	1.0338
8	6846	4	0	0	19.9560	12.7043	4.6434	0.1282	1.0338
9	6846	4	0	0	19.9542	12.3971	4.6407	0.1337	1.0345
10	6846	4	0	0	19.9544	12.6980	4.6407	0.1295	1.0345
11	6846	4	0	0	19.9544	12.6979	4.6401	0.1307	1.0345
12	6845	4	0	0	19.9545	12.6977	4.6401	0.1363	1.0345
13	6845	5	0	0	19.9547	12.6976	4.6399	0.1312	1.0345
14	6844	5	0	0	19.9530	12.6877	4.6374	0.1282	1.0351
15	6844	5	0	0	19.9531	12.6878	4.6377	0.1426	1.0352
16	6842	5	0	0	19.9534	12.6883	4.6378	0.1374	1.0352
17	6841	5	0	0	19.9536	12.6893	4.6379	0.1271	1.0351
18	6840	5	0	0	19.9538	12.6894	4.6379	0.1282	1.0351
19	6841	6	0	0	19.9539	12.6900	4.6378	0.1285	1.0351
20	6841	6	0	0	19.9522	12.6842	4.6354	0.1278	1.0357
21	6841	6	0	0	19.9523	12.6843	4.6357	0.1278	1.0358
22	6840	7	0	0	19.9525	12.6853	4.6357	0.1285	1.0358
23	6840	7	0	0	19.9507	12.6770	4.6333	0.1310	1.0364
24	6840	7	0	0	19.9509	12.6778	4.6338	0.1288	1.0365
25	6842	9	0	0	19.9510	12.6788	4.6335	0.1262	1.0365
26	6843	10	0	0	19.9474	12.6578	4.6287	0.1349	1.0379
27	6842	10	0	0	19.9458	12.6525	4.6274	0.1366	1.0387
28	6841	10	0	0	19.9460	12.6528	4.6277	0.1392	1.0387
29	6841	10	0	0	19.9462	12.6532	4.6278	0.1356	1.0387
30	6842	12	0	0	19.9462	12.6533	4.6277	0.1364	1.0387
31	6843	13	0	0	19.9427	12.6383	4.6229	0.1378	1.0401
32	6842	13	0	0	19.9409	12.6328	4.6212	0.1392	1.0409
33	6842	13	0	0	19.9411	12.6336	4.6218	0.1599	1.0410
34	6842	14	0	0	19.9411	12.6337	4.6215	0.1568	1.0410
35	6843	15	0	0	19.9394	12.3254	4.6193	0.1530	1.0416
36	6844	17	0	0	19.9377	12.3200	4.6173	0.1622	1.0424
37	6846	19	0	0	19.9342	12.6062	4.6131	0.1619	1.0438
38	6845	19	0	0	19.9307	12.5888	4.6093	0.1638	1.0454
39	6844	19	0	0	19.9308	12.5891	4.6100	0.1692	1.0455
40	6844	19	0	0	19.9310	12.5883	4.6102	0.1667	1.0455
41	6843	19	0	0	19.9311	12.5880	4.6099	0.1693	1.0455
42	6844	20	0	0	19.9312	12.5885	4.6102	0.1722	1.0455
43	6845	21	0	0	19.9295	12.5815	4.6077	0.1735	1.0461
44	6845	22	0	0	19.9278	12.5760	4.6060	0.1715	1.0469
45	6845	22	0	0	19.9262	12.5695	4.6041	0.1684	1.0476
46	6846	25	0	0	19.9263	12.5706	4.6046	0.2068	1.0477
47	6848	28	0	0	19.9213	12.5552	4.5978	0.2018	1.0496
48	6849	29	0	0	19.9163	12.5402	4.5924	0.2092	1.0517
49	6849	30	0	0	19.9147	12.5346	4.5911	0.2190	1.0526
50	6851	32	0	0	19.9130	12.5286	4.5891	0.2166	1.0534
51	6851	32	0	0	19.9095	12.5132	4.5850	0.2144	1.0548
52	6852	33	0	0	19.9097	12.5125	4.5860	0.2169	1.0550
53	6855	36	0	0	19.9079	12.5020	4.5834	0.2154	1.0557
54	6854	38	0	0	19.9026	12.4747	4.5767	0.2171	1.0578
55	6855	39	0	0	19.8992	12.4603	4.5737	0.2186	1.0594
56	6854	39	0	0	19.8975	12.4500	4.5722	0.2209	1.0603
57	6855	40	0	0	19.8977	12.4498	4.5728	0.2320	1.0604
58	6856	43	0	0	19.8960	12.4429	4.5704	0.2229	1.0610
59	6858	46	0	0	19.8907	12.1858	4.5641	0.2276	1.0631
60	6861	49	0	0	19.8853	12.1695	4.5586	0.2314	1.0654
61	6866	54	0	0	19.8804	12.1304	4.5534	0.2401	1.0676
62	6868	56	0	0	19.8714	12.0964	4.5437	0.2406	1.0712
63	6869	57	0	0	19.8680	12.0859	4.5414	0.2538	1.0730
64	6870	59	0	0	19.8663	12.0758	4.5398	0.2625	1.0739
65	6873	64	0	0	19.8627	12.0667	4.5359	0.2672	1.0753
66	6875	66	0	0	19.8537	12.0315	4.5264	0.2714	1.0789
67	6876	69	0	0	19.8503	12.0229	4.5242	0.2833	1.0807
68	6881	75	0	0	19.8454	12.0024	4.5187	0.2871	1.0828
69	6884	78	0	0	19.8353	11.9695	4.5082	0.2950	1.0869
70	6886	80	0	0	19.8305	11.9581	4.5043	0.3187	1.0892
71	6892	88	0	0	19.8271	11.9484	4.5010	0.3099	1.0908
72	6894	91	0	0	19.8138	11.9086	4.4871	0.3283	1.0960
73	6899	96	0	0	19.8094	11.8958	4.4843	0.3480	1.0984
74	6901	98	0	0	19.8010	11.8671	4.4759	0.3523	1.1018
75	6903	101	0	0	19.7975	11.8634	4.4732	0.3836	1.1036
76	6905	105	0	0	19.7922	11.8009	4.4685	0.3801	1.1058
77	6908	110	0	0	19.7852	11.7784	4.4621	0.3760	1.1087
78	6911	114	0	0	19.7766	11.7712	4.4541	0.3782	1.1124
79	6912	115	0	0	19.7697	11.7469	4.4485	0.3899	1.1154
80	6919	122	0	0	19.7680	11.7397	4.4481	0.4118	1.1165
81	6922	126	0	0	19.7560	11.6735	4.4362	0.4376	1.1211
82	6922	127	0	0	19.7489	11.6491	4.4318	0.4702	1.1244
83	6930	135	0	0	19.7473	11.6415	4.4306	0.4864	1.1254
84	6934	139	0	0	19.7327	11.5869	4.4178	0.4865	1.1310
85	6943	148	0	0	19.7259	11.5139	4.4136	0.5432	1.1344
86	6952	158	0	0	19.7106	11.4648	4.3999	0.5754	1.1406
87	6960	166	0	0	19.6933	11.3688	4.3874	0.5781	1.1478
88	6971	177	0	0	19.6791	11.3116	4.3769	0.6139	1.1541
89	6979	186	0	0	19.6604	11.2416	4.3630	0.6540	1.1620
90	6987	194	0	0	19.6446	11.1813	4.3521	0.7143	1.1689
91	6992	202	0	0	19.6305	11.1280	4.3425	0.7575	1.1751
92	6998	208	0	0	19.6164	11.0774	4.3331	0.7830	1.1812
93	7009	219	0	0	19.6059	11.0425	4.3255	0.8112	1.1860
94	7015	225	0	0	19.5865	10.9750	4.3116	0.8406	1.1939
95	7025	236	0	0	19.5766	10.9424	4.3058	0.9053	1.1986
96	7035	249	0	0	19.5570	10.8626	4.2924	0.9595	1.2066
97	7046	260	0	0	19.5360	10.7926	4.2780	1.0079	1.2156
98	7056	272	0	0	19.5168	10.5840	4.2667	1.0105	1.2239
99	7066	283	0	0	19.4971	10.5233	4.2539	1.0884	1.2324
100	7075	293	0	0	19.4780	10.4612	4.2426	1.1574	1.2407
101	7085	304	0	0	19.4611	10.4027	4.2325	1.2148	1.2481
102	7094	315	0	0	19.4421	10.3353	4.2213	1.2311	1.2562
103	7105	327	0	0	19.4228	10.2629	4.2112	1.2958	1.2646
104	7116	338	0	0	19.4039	10.2059	4.1988	1.3375	1.2728
105	7133	355	0	0	19.3859	10.1556	4.1880	1.3764	1.2805
106	7154	376	0	0	19.3573	10.0632	4.1715	1.4020	1.2923
107	7168	392	0	0	19.3219	9.9508	4.1526	1.4205	1.3071
108	7196	420	0	0	19.2948	9.8704	4.1389	1.4768	1.3192
109	7211	435	0	0	19.2472	9.7387	4.1130	1.5203	1.3385
110	7226	450	0	0	19.2214	9.6563	4.1028	1.5776	1.3507
111	7246	471	0	0	19.1963	9.5808	4.0907	1.6336	1.3616
112	7273	498	0	0	19.1601	9.4758	4.0741	1.6640	1.3766
113	7287	512	0	0	19.1138	9.3454	4.0529	1.7076	1.3959
114	7310	535	0	0	19.0905	9.2744	4.0426	1.7750	1.4071
115	7331	556	0	0	19.0507	9.1384	4.0244	1.8238	1.4235
116	7355	580	0	0	19.0155	9.0320	4.0096	1.8907	1.4388
117	7385	611	0	0	18.9750	2.7116	3.9935	1.9414	1.4559
118	7404	632	0	0	18.9225	2.7965	3.9719	1.9763	1.4778
119	7422	650	0	0	18.8882	2.7044	3.9582	2.0307	1.4934
120	7440	669	0	0	18.8595	2.6319	3.9449	2.0819	1.5061
121	7466	696	0	0	18.8298	2.1330	3.9328	2.0989	1.5188
122	7492	723	0	0	18.7848	2.4368	3.9141	2.1204	1.5373
123	7538	769	0	0	18.7402	2.3096	3.8984	2.1471	1.5564
124	7565	799	0	0	18.6622	2.0893	3.8705	2.2009	1.5881
125	7585	820	0	0	18.6128	1.9451	3.8556	2.2851	1.6108
126	7623	858	0	0	18.5785	1.8486	3.8450	2.3756	1.6265
127	7657	892	0	0	18.5151	1.2452	3.8250	2.4403	1.6523
128	7688	924	0	0	18.4602	1.5253	3.8055	2.4966	1.6762
129	7722	958	0	0	18.4085	1.3820	3.7895	2.5453	1.6986
130	7746	982	0	0	18.3550	7.2214	3.7714	2.5862	1.7214
131	7791	1027	0	0	18.3164	7.1097	3.7600	2.6255	1.7386
132	7834	1071	0	0	18.2455	6.9223	3.7356	2.6799	1.7673
133	7870	1108	0	0	18.1741	6.6996	3.7178	2.7450	1.7977
134	7900	1139	0	0	18.1136	6.5342	3.7012	2.8272	1.8242
135	7943	1182	0	0	18.0642	6.4060	3.6869	2.8870	1.8460
136	7987	1226	0	0	17.9961	6.2346	3.6651	2.9393	1.8742
137	8038	1278	0	0	17.9248	6.0592	3.6442	2.9815	1.9043
138	8079	1321	0	0	17.8410	5.8366	3.6240	3.0164	1.9396
139	8110	1356	0	0	17.7722	5.6521	3.6071	3.0702	1.9696
