time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
23.0	6879	20	20	6881	20	1034	853	1
27.0	6880	20	22	6882	17	1100	1100	1
30.0	6878	20	21	6883	19	1050	1055	1
31.0	6879	20	19	6884	19	1034	853	2
35.0	6880	22	18	6885	25	1100	1100	2
36.0	6881	20	16	6886	23	1126	937	2
46.0	6878	21	19	6887	23	1050	1055	2
48.0	6882	17	19	6888	13	1102	1156	2
50.0	6884	19	17	6889	20	1010	745	3
51.0	6883	19	19	6890	18	1050	1073	2
57.0	6881	16	16	6891	14	1126	937	3
58.0	6880	18	17	6892	19	1100	1100	3
58.0	6881	16	18	6893	13	1126	937	4
60.0	6879	19	21	6894	16	1076	888	3
61.0	6886	23	24	6895	20	1150	874	3
61.0	6887	23	25	6896	20	1032	1055	3
63.0	6882	19	22	6897	15	1056	1245	3
63.0	6888	13	13	6898	13	1102	1175	3
63.0	6883	19	17	6899	21	1050	1073	3
63.0	6885	25	28	6900	22	1018	1295	3
65.0	6879	21	17	6901	25	1076	888	4
66.0	6888	13	10	6902	16	1102	1175	4
70.0	6880	17	19	6903	15	1100	1100	4
70.0	6878	19	16	6904	21	1095	1011	3
71.0	6883	17	17	6905	16	1050	1073	4
71.0	6884	17	20	6906	14	979	538	4
73.0	6882	22	23	6907	21	1011	1288	4
74.0	6887	25	24	6908	25	1032	1055	4
75.0	6889	20	21	6909	18	981	790	4
75.0	6884	20	17	6910	22	979	538	5
75.0	6881	18	18	6911	16	1296	932	5
76.0	6881	18	14	6912	21	1296	932	6
77.0	6887	24	21	6913	26	1032	1055	5
79.0	6878	16	21	6914	10	1095	1011	4
80.0	6899	21	25	6915	16	1028	1073	4
80.0	6878	21	22	6916	19	1095	1011	5
81.0	6885	28	27	6917	26	1385	1482	4
81.0	6886	24	25	6918	23	1150	874	4
82.0	6885	27	26	6919	27	1385	1482	5
82.0	6906	14	15	6920	13	1093	341	5
82.0	6881	14	11	6921	16	1296	932	7
83.0	6881	11	9	6922	13	1296	932	8
83.0	6906	15	10	6923	20	1132	308	6
83.0	6884	17	17	6924	15	979	538	6
84.0	6883	17	11	6925	22	1050	1073	5
84.0	6905	16	13	6926	19	1050	1117	5
84.0	6904	21	21	6927	20	1107	998	4
85.0	6888	10	7	6928	13	1102	1175	5
85.0	6882	23	18	6929	28	861	1483	5
85.0	6890	18	21	6930	15	1050	1139	3
85.0	6894	16	15	6931	16	1063	853	4
86.0	6904	21	19	6932	22	1107	998	5
86.0	6901	25	25	6933	25	743	706	5
86.0	6892	19	17	6934	18	1061	1374	4
86.0	6885	26	22	6935	30	1385	1482	6
87.0	6899	25	25	6936	24	1028	1073	5
87.0	6884	17	18	6937	16	979	538	7
88.0	6879	17	14	6938	19	1088	941	5
88.0	6901	25	30	6939	18	679	680	6
88.0	6891	14	11	6940	17	1033	957	4
88.0	6899	25	23	6941	26	1028	1073	6
88.0	6903	15	14	6942	14	1461	1177	5
88.0	6889	21	25	6943	17	797	789	5
89.0	6902	16	15	6944	16	1076	1200	5
90.0	6880	19	21	6945	16	1100	1100	5
91.0	6915	16	16	6946	15	986	1097	5
91.0	6904	19	21	6947	17	1107	998	6
91.0	6881	9	9	6948	9	1296	932	9
91.0	6886	25	27	6949	18	1150	874	5
92.0	6885	22	25	6950	19	1385	1482	7
92.0	6884	18	12	6951	24	871	526	8
92.0	6905	13	13	6952	12	1096	1132	6
93.0	6885	25	27	6953	21	1385	1482	8
93.0	6905	13	14	6954	11	1145	1132	7
93.0	6907	21	19	6955	23	730	1235	5
93.0	6903	14	18	6956	10	1513	1173	6
93.0	6898	13	15	6957	11	1183	1283	4
93.0	6896	20	17	6958	22	975	1086	4
94.0	6885	27	23	6959	30	1385	1482	9
94.0	6906	10	10	6960	10	1219	310	7
94.0	6896	17	19	6961	15	961	1030	5
94.0	6927	20	19	6962	21	1081	964	5
94.0	6898	15	14	6963	15	1183	1283	5
94.0	6900	22	25	6964	19	1234	1020	4
94.0	6902	15	14	6965	15	1134	1286	6
95.0	6895	20	19	6966	20	1244	967	4
95.0	6879	14	14	6967	14	1088	941	6
95.0	6893	13	7	6968	17	1160	990	5
95.0	6896	19	23	6969	14	921	974	6
96.0	6893	7	8	6970	6	1193	1004	6
96.0	6888	7	5	6971	8	1102	1175	6
97.0	6878	22	21	6972	23	1095	1011	6
97.0	6882	18	15	6973	18	842	1707	6
97.0	6892	17	21	6974	12	852	1412	5
98.0	6958	22	25	6975	19	962	1073	5
98.0	6880	21	15	6976	26	1100	1100	6
98.0	6916	19	20	6977	18	1082	998	6
98.0	6919	27	20	6978	32	1390	1717	6
99.0	6901	30	31	6979	28	538	742	7
99.0	6943	17	18	6980	14	817	809	6
99.0	6922	13	15	6981	10	1215	888	9
99.0	6924	15	13	6982	14	1042	547	7
99.0	6963	15	12	6983	17	1180	1322	6
99.0	6880	15	16	6984	14	1100	1100	7
99.0	6887	21	21	6985	18	1032	1055	6
