time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
13.0	6928	20	18	6930	22	879	896	1
14.0	6928	18	17	6931	18	879	896	2
15.0	6927	20	24	6932	15	994	1020	1
16.0	6927	24	28	6933	17	994	1020	2
17.0	6927	28	28	6934	28	945	1041	3
23.0	6927	28	29	6935	27	889	1047	4
31.0	6928	17	12	6936	21	879	896	3
31.0	6927	29	32	6937	23	889	1047	5
32.0	6928	12	13	6938	11	879	896	4
33.0	6928	13	14	6939	12	879	896	5
33.0	6930	22	17	6940	27	988	884	2
35.0	6929	20	21	6941	19	1108	1078	1
35.0	6927	32	28	6942	35	889	1047	6
39.0	6931	18	19	6943	17	859	876	3
40.0	6931	19	14	6944	23	859	876	4
40.0	6929	21	18	6945	23	1108	1078	2
41.0	6927	28	26	6946	29	889	1047	7
42.0	6928	14	10	6947	18	879	896	6
47.0	6930	17	15	6948	19	988	884	3
47.0	6927	26	28	6949	22	889	1047	8
49.0	6935	27	28	6950	22	958	1041	5
50.0	6942	35	38	6951	31	880	1216	7
50.0	6928	10	10	6952	9	879	896	7
51.0	6930	15	13	6953	16	988	884	4
52.0	6934	28	34	6954	19	901	1006	4
53.0	6938	11	10	6955	12	898	876	5
54.0	6940	27	20	6956	33	1013	909	3
54.0	6938	10	9	6957	11	898	876	6
54.0	6933	17	13	6958	21	966	1017	3
56.0	6943	17	17	6959	16	890	844	4
56.0	6932	15	17	6960	11	1077	923	2
56.0	6936	21	20	6961	21	951	877	4
57.0	6943	17	19	6962	15	890	844	5
58.0	6931	14	11	6963	17	859	876	5
58.0	6927	28	27	6964	29	889	1047	9
59.0	6941	19	18	6965	20	1179	1021	2
59.0	6946	29	29	6966	27	966	1060	8
60.0	6927	27	32	6967	21	889	1047	10
60.0	6931	11	10	6968	11	859	876	6
61.0	6933	13	10	6969	16	966	998	4
62.0	6939	12	17	6970	7	869	886	6
63.0	6931	10	5	6971	15	859	876	7
63.0	6934	34	36	6972	31	849	975	5
64.0	6934	36	37	6973	35	849	975	6
65.0	6966	27	21	6974	32	1019	1074	9
66.0	6966	21	21	6975	20	1019	1074	10
66.0	6945	23	24	6976	22	1057	1024	3
66.0	6937	23	28	6977	17	955	977	6
66.0	6954	19	15	6978	21	881	1006	5
67.0	6946	29	27	6979	28	966	1077	9
67.0	6962	15	13	6980	16	938	786	6
67.0	6944	23	26	6981	20	1005	728	5
67.0	6930	13	15	6982	11	988	884	5
68.0	6929	18	12	6983	22	1108	1078	3
68.0	6955	12	13	6984	9	916	858	6
69.0	6948	19	22	6985	16	952	848	4
69.0	6933	10	13	6986	7	966	998	5
69.0	6932	17	19	6987	13	1030	758	3
70.0	6932	19	15	6988	21	999	724	4
70.0	6961	21	19	6989	22	934	877	5
71.0	6943	19	25	6990	13	890	844	6
71.0	6927	32	38	6991	25	952	1199	11
71.0	6949	22	15	6992	28	729	1026	9
72.0	6943	25	29	6993	21	890	844	7
73.0	6964	29	27	6994	31	688	1054	10
73.0	6962	13	14	6995	11	938	786	7
73.0	6959	16	14	6996	17	918	844	5
74.0	6950	22	18	6997	24	937	1094	6
74.0	6964	27	28	6998	26	688	1054	11
74.0	6942	38	41	6999	33	880	1216	8
74.0	6957	11	12	7000	10	916	876	7
74.0	6938	9	9	7001	7	898	876	7
74.0	6948	22	18	7002	25	978	822	5
74.0	6981	20	23	7003	14	982	757	6
75.0	6975	20	10	7004	28	1031	1061	11
76.0	6942	41	37	7005	43	912	1140	9
76.0	6953	16	15	7006	16	970	866	5
76.0	6952	9	7	7007	9	888	904	8
