step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6870	3	0	0	19.9611	19.4707	4.5817	0.0000	1.0312
1	6870	3	0	0	19.9563	12.6537	4.6722	0.0827	1.0333
2	6869	3	0	0	19.9564	12.7066	4.6498	0.0276	1.0335
3	6869	3	0	0	19.9559	12.7055	4.6506	0.1197	1.0335
4	6868	3	0	0	19.9557	12.7051	4.6480	0.1217	1.0335
5	6868	3	0	0	19.9556	12.7047	4.6470	0.1209	1.0335
6	6868	3	0	0	19.9555	12.7045	4.6459	0.1238	1.0335
7	6866	3	0	0	19.9555	12.7042	4.6453	0.1205	1.0335
8	6865	3	0	0	19.9556	12.7042	4.6448	0.1247	1.0334
9	6865	3	0	0	19.9556	12.7040	4.6443	0.1229	1.0334
10	6865	3	0	0	19.9557	12.7040	4.6440	0.1201	1.0334
11	6863	3	0	0	19.9558	12.7039	4.6437	0.1220	1.0334
12	6862	3	0	0	19.9561	12.7042	4.6438	0.1228	1.0333
13	6862	3	0	0	19.9563	12.7041	4.6436	0.1222	1.0333
14	6861	3	0	0	19.9563	12.7041	4.6435	0.1235	1.0333
15	6861	3	0	0	19.9564	12.7039	4.6432	0.1221	1.0333
16	6860	3	0	0	19.9565	12.7036	4.6430	0.1233	1.0333
17	6860	4	0	0	19.9566	12.7038	4.6429	0.1202	1.0332
18	6861	5	0	0	19.9548	12.6932	4.6403	0.1253	1.0339
19	6862	6	0	0	19.9531	12.6822	4.6384	0.1262	1.0347
20	6862	6	0	0	19.9513	12.6736	4.6361	0.1411	1.0355
21	6862	6	0	0	19.9514	12.6737	4.6364	0.1613	1.0355
22	6862	6	0	0	19.9515	12.6736	4.6362	0.1627	1.0355
23	6862	6	0	0	19.9516	12.6750	4.6362	0.1584	1.0355
24	6861	6	0	0	19.9518	12.6761	4.6363	0.1598	1.0355
25	6860	6	0	0	19.9519	12.6761	4.6364	0.1563	1.0354
26	6860	7	0	0	19.9520	12.6760	4.6363	0.1575	1.0354
27	6860	7	0	0	19.9502	12.6685	4.6337	0.1596	1.0361
28	6858	7	0	0	19.9503	12.6694	4.6344	0.1611	1.0362
29	6858	7	0	0	19.9504	12.6695	4.6342	0.1615	1.0362
30	6858	7	0	0	19.9505	12.6695	4.6342	0.1591	1.0362
31	6858	7	0	0	19.9506	12.6695	4.6344	0.1600	1.0361
32	6858	7	0	0	19.9507	12.6697	4.6345	0.1579	1.0361
33	6859	8	0	0	19.9508	12.6698	4.6344	0.1662	1.0361
