step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	6870	3	0	0	19.9611	19.4707	4.5817	0.0000	1.0312
1	6870	3	0	0	19.9563	12.6537	4.6722	0.0827	1.0333
2	6869	3	0	0	19.9564	12.7066	4.6498	0.0276	1.0335
3	6869	3	0	0	19.9559	12.7055	4.6506	0.1423	1.0335
4	6868	3	0	0	19.9557	12.7051	4.6480	0.1451	1.0335
5	6868	3	0	0	19.9556	12.7047	4.6470	0.1439	1.0335
6	6868	3	0	0	19.9555	12.7045	4.6459	0.1484	1.0335
7	6866	3	0	0	19.9555	12.7042	4.6453	0.1433	1.0335
8	6865	3	0	0	19.9556	12.7042	4.6448	0.1499	1.0334
9	6865	3	0	0	19.9556	12.7040	4.6443	0.1470	1.0334
10	6865	3	0	0	19.9557	12.7040	4.6440	0.1426	1.0334
11	6863	3	0	0	19.9558	12.7039	4.6437	0.1456	1.0334
12	6862	3	0	0	19.9561	12.7042	4.6438	0.1468	1.0333
13	6862	3	0	0	19.9563	12.7041	4.6436	0.1458	1.0333
14	6861	3	0	0	19.9563	12.7041	4.6435	0.1479	1.0333
15	6861	3	0	0	19.9564	12.7039	4.6432	0.1457	1.0333
16	6860	3	0	0	19.9565	12.7036	4.6430	0.1476	1.0333
17	6860	4	0	0	19.9566	12.7038	4.6429	0.1427	1.0332
18	6861	5	0	0	19.9548	12.6932	4.6403	0.1489	1.0339
19	6862	6	0	0	19.9531	12.6822	4.6384	0.1487	1.0347
20	6862	6	0	0	19.9513	12.6736	4.6361	0.1686	1.0355
21	6862	6	0	0	19.9515	12.6762	4.6364	0.1812	1.0355
22	6862	6	0	0	19.9516	12.6799	4.6363	0.1629	1.0355
23	6862	6	0	0	19.9517	12.6799	4.6363	0.1674	1.0355
24	6861	6	0	0	19.9518	12.6811	4.6363	0.1611	1.0354
25	6860	6	0	0	19.9520	12.6813	4.6366	0.1634	1.0354
26	6860	7	0	0	19.9522	12.6829	4.6366	0.1634	1.0354
27	6860	7	0	0	19.9503	12.6718	4.6340	0.1606	1.0361
28	6857	7	0	0	19.9504	12.6724	4.6346	0.1769	1.0361
29	6857	7	0	0	19.9507	12.6754	4.6348	0.1678	1.0361
30	6857	7	0	0	19.9507	12.6754	4.6347	0.1652	1.0361
31	6857	7	0	0	19.9508	12.6754	4.6348	0.1642	1.0361
32	6857	7	0	0	19.9509	12.6741	4.6347	0.1644	1.0361
33	6858	8	0	0	19.9510	12.6741	4.6347	0.1711	1.0360
