time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
23.0	6879	20	13	6881	27	1371	719	1
27.0	6880	20	18	6882	22	1100	1100	1
28.0	6879	13	13	6883	13	1390	658	2
30.0	6878	20	21	6884	16	935	1410	1
31.0	6878	21	19	6885	23	935	1410	2
39.0	6880	18	19	6886	16	1100	1100	2
42.0	6882	22	18	6887	26	1435	1391	2
46.0	6880	19	18	6888	19	1100	1100	3
47.0	6879	13	13	6889	13	1492	573	3
48.0	6878	19	18	6890	20	935	1410	3
49.0	6890	20	22	6891	18	935	1428	4
50.0	6881	27	26	6892	28	1999	758	2
54.0	6878	18	17	6893	18	935	1410	4
55.0	6885	23	23	6894	20	1057	1611	3
58.0	6880	18	17	6895	18	1100	1100	4
59.0	6885	23	24	6896	22	1057	1611	4
60.0	6882	18	13	6897	23	1411	1463	3
60.0	6890	22	23	6898	19	987	1487	5
61.0	6880	17	17	6899	15	1100	1100	5
61.0	6881	26	27	6900	24	1999	760	3
62.0	6880	17	14	6901	19	1100	1100	6
62.0	6887	26	27	6902	23	1534	1421	3
63.0	6886	16	18	6903	14	1020	1070	3
63.0	6885	24	30	6904	18	1131	1666	5
64.0	6886	18	16	6905	19	1020	1070	4
65.0	6878	17	14	6906	18	934	1268	5
66.0	6879	13	12	6907	14	1424	501	4
66.0	6883	13	8	6908	18	1492	119	3
66.0	6891	18	14	6909	20	922	1440	5
66.0	6884	16	14	6910	17	864	1375	2
68.0	6887	27	29	6911	25	1534	1421	4
70.0	6882	13	10	6912	16	1411	1463	4
71.0	6892	28	27	6913	27	1999	833	3
71.0	6890	23	20	6914	25	987	1487	6
72.0	6879	12	13	6915	11	1299	517	5
72.0	6893	18	22	6916	13	935	1428	5
72.0	6880	14	11	6917	16	1100	1100	7
72.0	6887	29	23	6918	33	1534	1421	5
73.0	6893	22	22	6919	20	935	1428	6
74.0	6886	16	19	6920	12	935	1111	5
74.0	6878	14	15	6921	13	934	1268	6
74.0	6888	19	20	6922	17	967	890	4
74.0	6883	8	12	6923	4	1293	104	4
75.0	6891	14	18	6924	9	864	1478	6
76.0	6881	27	23	6925	29	1999	769	4
77.0	6890	20	19	6926	21	987	1487	7
77.0	6910	17	17	6927	14	860	1610	3
78.0	6884	14	15	6928	13	864	1375	3
78.0	6883	12	14	6929	9	1181	154	5
78.0	6878	15	12	6930	17	934	1268	7
78.0	6910	17	16	6931	18	860	1610	4
78.0	6889	13	13	6932	12	1477	587	4
79.0	6885	30	19	6933	40	1240	1983	6
79.0	6892	27	21	6934	31	1999	832	4
79.0	6901	19	18	6935	20	1173	1088	7
79.0	6883	14	9	6936	18	1181	154	6
80.0	6903	14	12	6937	16	903	1054	4
80.0	6893	22	21	6938	21	935	1428	7
81.0	6901	18	12	6939	24	1173	1088	8
81.0	6886	19	16	6940	22	731	1252	6
81.0	6907	14	20	6941	7	1500	532	5
82.0	6889	13	16	6942	9	1477	587	5
82.0	6887	23	19	6943	26	1513	1328	6
82.0	6908	18	17	6944	18	1477	119	4
82.0	6879	13	10	6945	16	1299	517	6
82.0	6907	20	19	6946	20	1500	532	6
82.0	6882	10	8	6947	12	1358	1370	5
83.0	6890	19	19	6948	18	987	1487	8
83.0	6887	19	16	6949	21	1513	1328	7
83.0	6893	21	21	6950	21	935	1428	8
84.0	6883	9	10	6951	5	1181	154	7
85.0	6882	8	9	6952	7	1358	1370	6
86.0	6886	16	17	6953	14	666	1291	7
87.0	6906	18	21	6954	15	898	1268	6
87.0	6914	25	24	6955	26	572	1147	7
87.0	6904	18	19	6956	15	1297	1657	6
88.0	6906	21	31	6957	10	898	1268	7
88.0	6878	12	15	6958	8	934	1268	8
88.0	6904	19	22	6959	14	1297	1657	7
88.0	6902	23	21	6960	23	1606	1323	4
88.0	6909	20	18	6961	21	1028	1167	6
88.0	6894	20	15	6962	24	1075	1791	4
88.0	6899	15	15	6963	14	1113	1026	6
88.0	6900	24	22	6964	26	1866	757	4
89.0	6888	20	22	6965	17	891	860	5
89.0	6927	14	12	6966	15	938	1482	4
89.0	6879	10	9	6967	11	1246	480	7
89.0	6905	19	22	6968	15	1018	1255	5
89.0	6908	17	19	6969	15	1547	162	5
90.0	6899	15	13	6970	15	1113	1026	7
90.0	6888	22	16	6971	24	891	860	6
90.0	6903	12	13	6972	11	856	1081	5
90.0	6890	19	19	6973	17	1037	1434	9
90.0	6881	23	23	6974	21	1999	767	5
90.0	6895	18	20	6975	16	1128	1275	5
90.0	6927	12	13	6976	11	938	1482	5
90.0	6886	17	15	6977	17	666	1291	8
91.0	6903	13	15	6978	10	856	1081	6
91.0	6886	15	10	6979	20	666	1291	9
91.0	6888	16	18	6980	13	891	860	7
91.0	6947	12	17	6981	6	1413	1320	6
91.0	6898	19	15	6982	22	1035	1617	6
92.0	6918	33	34	6983	31	1999	1309	6
92.0	6898	15	11	6984	18	1035	1617	7
92.0	6906	31	26	6985	32	880	1268	8
92.0	6915	11	12	6986	10	1400	262	6
93.0	6892	21	19	6987	22	1999	832	5
93.0	6917	16	17	6988	14	630	999	8
93.0	6903	15	14	6989	15	856	1081	7
93.0	6887	16	16	6990	15	1513	1328	8
93.0	6921	13	10	6991	16	898	1268	7
93.0	6883	10	6	6992	14	1181	154	8
93.0	6898	11	10	6993	12	1035	1617	8
93.0	6916	13	10	6994	16	1226	1096	6
94.0	6937	16	12	6995	19	986	1090	5
94.0	6891	18	15	6996	20	864	1478	7
94.0	6921	10	9	6997	10	898	1268	8
94.0	6911	25	30	6998	19	1459	1457	5
95.0	6910	16	12	6999	20	1216	1679	5
95.0	6915	12	14	7000	10	1398	201	7
95.0	6936	18	19	7001	14	1290	621	7
95.0	6897	23	23	7002	22	1635	1469	4
95.0	6923	4	3	7003	5	1295	67	5
95.0	6908	19	14	7004	22	1547	162	6
96.0	6896	22	15	7005	29	1076	1611	5
96.0	6880	11	12	7006	10	1013	1160	8
96.0	6895	20	23	7007	15	1128	1275	6
96.0	6879	9	8	7008	8	1161	424	8
96.0	6942	9	8	7009	10	1405	469	6
97.0	6885	19	14	7010	24	1200	1999	7
97.0	6995	19	16	7011	22	851	1189	6
97.0	6882	9	7	7012	11	1383	1320	7
97.0	6880	12	16	7013	8	1013	1160	9
97.0	6929	9	10	7014	8	1170	164	6
98.0	6912	16	11	7015	21	1544	899	5
98.0	6905	22	18	7016	25	1018	1255	6
98.0	6900	22	18	7017	26	1857	922	5
99.0	6920	12	12	7018	11	759	1289	6
99.0	6894	15	17	7019	12	972	1884	5
99.0	6995	16	16	7020	13	802	1240	7
99.0	6881	23	24	7021	21	1999	767	6
99.0	6955	26	29	7022	22	590	1147	8
99.0	6957	10	8	7023	12	848	1255	8
99.0	6906	26	29	7024	22	864	1284	9
100.0	6888	18	15	7025	20	729	834	8
100.0	6889	16	14	7026	16	1553	318	6
100.0	6949	21	23	7027	17	1192	1454	8
100.0	6944	18	14	7028	22	1253	27	5
100.0	6907	19	18	7029	19	1559	477	7
100.0	6894	17	15	7030	19	972	1884	6
100.0	6898	10	8	7031	12	1181	1715	9
100.0	6920	12	9	7032	14	732	1340	7
100.0	6989	15	16	7033	14	865	1071	8
101.0	6920	9	9	7034	9	714	1397	8
101.0	6894	15	15	7035	15	972	1884	7
101.0	6906	29	32	7036	26	864	1284	10
101.0	6914	24	27	7037	21	611	849	8
101.0	6926	21	21	7038	18	952	1324	8
101.0	6959	14	15	7039	13	1251	1660	8
101.0	6947	17	19	7040	14	1611	1095	7
102.0	6949	23	25	7041	20	1192	1454	9
102.0	6921	9	11	7042	5	898	1268	9
102.0	6893	21	22	7043	20	837	1464	9
102.0	6920	9	10	7044	8	714	1397	9
102.0	6937	12	12	7045	12	932	1116	6
102.0	6914	27	29	7046	23	611	849	9
102.0	6901	12	15	7047	8	1532	1119	9
102.0	6953	14	17	7048	9	555	1238	8
102.0	6931	18	21	7049	12	811	1590	5
102.0	6891	15	10	7050	18	864	1478	8
102.0	6972	11	8	7051	14	865	1090	6
102.0	6959	15	17	7052	13	1251	1660	9
102.0	6945	16	17	7053	14	1291	446	7
103.0	6880	16	14	7054	14	931	1167	10
103.0	6972	8	9	7055	6	865	1090	7
103.0	6949	25	24	7056	25	1192	1454	10
103.0	6910	12	15	7057	9	1216	1679	6
103.0	6953	17	18	7058	16	555	1238	9
103.0	6885	14	14	7059	14	1133	1977	8
103.0	6899	13	14	7060	11	1133	816	8
103.0	6937	12	7	7061	17	932	1116	7
104.0	6904	22	19	7062	25	1501	1388	8
104.0	6943	26	26	7063	23	1011	1431	7
104.0	6922	17	18	7064	14	980	903	5
104.0	6956	15	11	7065	17	1427	1928	7
104.0	6913	27	27	7066	27	1859	313	4
105.0	6902	21	16	7067	26	1875	1118	5
105.0	6908	14	14	7068	13	1547	162	7
105.0	6940	22	24	7069	19	325	558	7
105.0	6918	34	32	7070	36	1999	1309	7
105.0	6919	20	16	7071	22	678	1331	7
105.0	6992	14	17	7072	11	1235	109	9
105.0	6923	3	3	7073	3	1295	67	6
105.0	6905	18	19	7074	16	1018	1255	7
106.0	6924	9	6	7075	12	915	1533	7
106.0	6919	16	14	7076	18	609	1324	8
106.0	6903	14	16	7077	11	862	939	8
106.0	6905	19	15	7078	22	1018	1255	8
106.0	6923	3	4	7079	2	1295	67	7
106.0	6911	30	29	7080	31	1432	1681	6
106.0	6950	21	22	7081	18	839	1397	9
106.0	6951	5	4	7082	6	1181	139	8
106.0	6988	14	13	7083	13	810	938	9
106.0	6912	11	7	7084	14	1490	883	6
106.0	6892	19	17	7085	21	1999	832	6
107.0	6933	40	33	7086	44	1290	266	7
107.0	6903	16	13	7087	18	862	939	9
107.0	6958	8	6	7088	10	878	1305	9
107.0	7018	11	12	7089	9	727	1334	7
107.0	7073	3	2	7090	4	1257	67	7
107.0	6912	7	7	7091	6	1490	883	7
107.0	6925	29	29	7092	28	1999	789	5
108.0	6974	21	15	7093	25	1959	767	6
108.0	6914	29	24	7094	32	638	741	10
108.0	6938	21	19	7095	23	1124	1682	8
108.0	6882	7	4	7096	9	1383	1320	8
108.0	7073	2	2	7097	2	1257	67	8
108.0	6912	7	4	7098	9	1490	883	8
109.0	7018	12	10	7099	14	727	1334	8
109.0	6915	14	17	7100	11	1284	116	8
109.0	6934	31	30	7101	29	1999	900	5
109.0	6909	18	19	7102	17	954	1149	7
109.0	6963	14	18	7103	9	1008	1139	7
109.0	6936	19	13	7104	24	1344	787	8
109.0	6972	9	10	7105	8	865	1090	8
109.0	6926	21	24	7106	17	952	1324	9
109.0	6957	8	7	7107	8	706	1244	9
109.0	6978	10	13	7108	7	955	1178	7
109.0	6889	14	11	7109	16	1553	318	7
109.0	6965	17	18	7110	16	716	1048	6
110.0	6930	17	15	7111	19	1018	1648	8
110.0	6959	17	14	7112	18	1251	1660	10
110.0	6920	10	12	7113	7	714	1397	10
110.0	6960	23	25	7114	21	1646	1815	5
110.0	6925	29	29	7115	28	1999	789	6
110.0	6916	10	12	7116	6	1219	1038	7
110.0	6975	16	13	7117	18	1148	1479	6
110.0	6932	12	10	7118	14	1500	633	5
110.0	6886	10	11	7119	8	669	1353	10
110.0	6962	24	19	7120	27	1243	1469	5
110.0	6927	13	15	7121	11	938	1482	6
110.0	6889	11	8	7122	14	1553	318	8
110.0	6900	18	18	7123	18	1857	922	6
111.0	6904	19	22	7124	16	1501	1388	9
111.0	6976	11	9	7125	11	1111	1392	6
111.0	6887	16	15	7126	17	1642	1233	9
111.0	6974	15	17	7127	13	1959	767	7
111.0	6893	22	28	7128	16	738	1491	10
111.0	7003	5	5	7129	5	1351	89	6
111.0	6948	18	21	7130	15	443	1802	9
111.0	7064	14	18	7131	10	897	883	6
