time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
15.0	63363	20	22	63364	17	3332	2644	1
20.0	63362	20	13	63365	26	3572	3124	1
25.0	63363	22	19	63366	24	3316	2552	2
28.0	63361	20	20	63367	18	3141	2839	1
29.0	63361	20	16	63368	23	3141	2839	2
30.0	63363	19	20	63369	17	3316	2552	3
32.0	63361	16	16	63370	15	3141	2839	3
33.0	63367	18	23	63371	13	3181	2889	2
39.0	63362	13	15	63372	11	3636	3501	2
39.0	63364	17	19	63373	15	3631	2577	2
40.0	63362	15	15	63374	15	3636	3501	3
40.0	63364	19	21	63375	16	3631	2577	3
43.0	63361	16	14	63376	18	3141	2839	4
44.0	63365	26	24	63377	26	3388	3606	2
44.0	63367	23	20	63378	24	3501	3076	3
45.0	63361	14	15	63379	13	3141	2839	5
46.0	63364	21	19	63380	20	3729	2733	4
48.0	63371	13	15	63381	10	2998	2775	3
48.0	63362	15	11	63382	19	3636	3501	4
50.0	63361	15	15	63383	15	3141	2839	6
51.0	63364	19	13	63384	24	3729	2733	5
52.0	63369	17	21	63385	13	3413	2370	4
52.0	63364	13	10	63386	15	3729	2733	6
53.0	63371	15	12	63387	17	2998	2775	4
54.0	63369	21	23	63388	19	3413	2370	5
57.0	63370	15	18	63389	11	3099	2846	4
57.0	63363	20	20	63390	18	3408	2213	4
57.0	63368	23	20	63391	26	3710	2561	3
58.0	63368	20	23	63392	16	3710	2561	4
58.0	63367	20	23	63393	13	3821	3603	4
58.0	63362	11	9	63394	13	3636	3501	5
58.0	63363	20	18	63395	22	3408	2213	5
59.0	63379	13	12	63396	14	3141	2881	6
59.0	63373	15	13	63397	15	3367	2493	3
59.0	63365	24	16	63398	31	3580	4029	3
59.0	63363	18	21	63399	15	3408	2213	6
60.0	63379	12	16	63400	8	3141	2881	7
60.0	63366	24	21	63401	27	3131	2219	3
60.0	63365	16	17	63402	15	3580	4029	4
61.0	63366	21	28	63403	12	3131	2219	4
61.0	63384	24	23	63404	23	3811	2871	6
62.0	63370	18	19	63405	14	3099	2846	5
62.0	63384	23	19	63406	25	3811	2871	7
62.0	63366	28	26	63407	28	3131	2219	5
63.0	63371	12	12	63408	12	2998	2775	5
63.0	63374	15	12	63409	16	3253	3630	4
63.0	63364	10	5	63410	15	3729	2733	7
64.0	63367	23	21	63411	23	3790	3700	5
64.0	63378	24	26	63412	22	3587	3016	4
64.0	63380	20	26	63413	13	3861	2520	5
65.0	63385	13	13	63414	13	3441	2368	5
65.0	63367	21	20	63415	20	3790	3700	6
66.0	63376	18	19	63416	14	3206	3189	5
66.0	63381	10	7	63417	13	2686	2648	4
67.0	63392	16	17	63418	15	3677	2743	5
67.0	63361	15	15	63419	15	3141	2839	7
68.0	63371	12	10	63420	12	2998	2775	6
68.0	63365	17	15	63421	18	3580	4029	5
70.0	63393	13	9	63422	14	3959	3616	5
71.0	63380	26	17	63423	34	3922	2415	6
71.0	63372	11	12	63424	10	3552	3613	3
71.0	63369	23	14	63425	31	3413	2370	6
72.0	63369	14	14	63426	13	3413	2370	7
72.0	63380	17	16	63427	18	3922	2415	7
72.0	63385	13	10	63428	15	3441	2368	6
72.0	63374	12	11	63429	13	3190	3630	5
72.0	63377	26	22	63430	26	3432	4793	3
72.0	63384	19	17	63431	18	3809	2966	8
73.0	63372	12	10	63432	13	3552	3613	4
73.0	63391	26	23	63433	26	3387	2537	4
73.0	63375	16	20	63434	12	3130	2346	4
73.0	63378	26	23	63435	28	3828	3010	5
73.0	63394	13	17	63436	9	3636	3490	6
73.0	63383	15	11	63437	18	3186	3002	7
74.0	63367	20	17	63438	22	3790	3700	7
74.0	63361	15	19	63439	8	3141	2839	8
74.0	63372	10	7	63440	13	3552	3613	5
74.0	63394	17	17	63441	17	3636	3490	7
75.0	63370	19	20	63442	18	2941	2816	6
75.0	63378	23	27	63443	19	3828	3010	6
75.0	63417	13	16	63444	10	2677	2656	5
75.0	63394	17	17	63445	16	3636	3490	8
76.0	63363	21	16	63446	26	3339	2163	7
76.0	63368	23	22	63447	24	3916	2519	5
76.0	63420	12	10	63448	14	2996	2717	7
76.0	63397	15	14	63449	15	3376	2502	4
76.0	63391	23	24	63450	22	3387	2537	5
76.0	63421	18	22	63451	14	3881	3905	6
77.0	63371	10	9	63452	11	2998	2775	7
77.0	63388	19	22	63453	15	2896	2261	6
77.0	63421	22	23	63454	21	3881	3905	7
77.0	63376	19	20	63455	16	3206	3189	6
78.0	63397	14	14	63456	14	3376	2502	5
78.0	63365	15	16	63457	14	3480	4136	6
78.0	63399	15	18	63458	12	3353	2193	7
78.0	63392	17	12	63459	22	3677	2743	6
79.0	63400	8	7	63460	9	3286	2903	8
79.0	63378	27	27	63461	27	3797	2896	7
79.0	63361	19	20	63462	17	3141	2839	9
79.0	63379	16	13	63463	18	3241	3006	8
79.0	63384	17	15	63464	17	3809	2966	9
79.0	63364	5	6	63465	4	3744	2773	8
79.0	63408	12	12	63466	11	2914	3060	6
80.0	63424	10	11	63467	9	3590	3613	4
81.0	63408	12	13	63468	11	2914	3060	7
