step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63390	3	0	0	19.6944	18.9798	2.1173	0.0000	1.2308
1	63383	3	0	0	19.7222	12.2073	4.0427	0.0827	1.2312
2	63376	3	0	0	19.7243	12.2129	3.3858	0.1527	1.2315
3	63367	3	0	0	19.7207	12.2061	3.6489	0.1543	1.2318
4	63361	3	0	0	19.7188	12.2022	3.5287	0.1554	1.2320
5	63357	3	0	0	19.7175	12.1992	3.5707	0.1560	1.2321
6	63348	3	0	0	19.7164	12.1967	3.5466	0.1588	1.2322
7	63344	3	0	0	19.7156	12.1950	3.5513	0.1559	1.2322
8	63335	3	0	0	19.7150	12.1931	3.5447	0.1594	1.2322
9	63328	3	0	0	19.7145	12.1920	3.5439	0.1559	1.2322
10	63319	3	0	0	19.7141	12.1913	3.5411	0.1556	1.2322
11	63312	3	0	0	19.7139	12.1881	3.5394	0.1627	1.2322
12	63306	3	0	0	19.7137	12.1876	3.5378	0.1602	1.2322
13	63297	3	0	0	19.7135	12.1874	3.5364	0.1583	1.2321
14	63294	3	0	0	19.7134	12.1869	3.5352	0.1550	1.2321
15	63292	3	0	0	19.7133	12.1883	3.5340	0.1577	1.2320
16	63286	4	0	0	19.7131	12.1877	3.5328	0.1602	1.2320
17	63282	4	0	0	19.7116	12.1733	3.5314	0.1568	1.2321
18	63272	4	0	0	19.7114	12.1728	3.5307	0.1691	1.2322
19	63262	4	0	0	19.7115	12.1728	3.5298	0.1729	1.2322
20	63252	4	0	0	19.7117	12.1745	3.5295	0.1681	1.2323
21	63247	4	0	0	19.7118	12.1745	3.5288	0.1693	1.2322
22	63244	4	0	0	19.7118	12.1749	3.5284	0.1707	1.2322
23	63242	4	0	0	19.7118	12.1746	3.5278	0.1753	1.2322
24	63240	5	0	0	19.7118	12.1746	3.5272	0.1687	1.2322
25	63235	7	0	0	19.7105	12.1672	3.5263	0.1689	1.2323
26	63232	7	0	0	19.7078	12.1448	3.5250	0.1741	1.2327
27	63229	7	0	0	19.7076	12.1451	3.5249	0.1875	1.2330
28	63219	7	0	0	19.7076	12.1471	3.5243	0.1853	1.2332
29	63209	7	0	0	19.7079	12.1483	3.5244	0.1857	1.2334
30	63200	7	0	0	19.7082	12.1475	3.5243	0.1855	1.2334
31	63195	7	0	0	19.7084	12.1481	3.5242	0.1828	1.2335
32	63189	7	0	0	19.7087	12.1490	3.5242	0.1905	1.2335
33	63184	8	0	0	19.7088	12.1506	3.5240	0.1874	1.2335
34	63173	8	0	0	19.7076	12.1396	3.5232	0.1843	1.2337
35	63168	8	0	0	19.7077	12.1399	3.5234	0.1965	1.2338
36	63165	8	0	0	19.7079	12.1451	3.5230	0.1775	1.2338
37	63157	8	0	0	19.7080	12.1459	3.5230	0.1727	1.2339
38	63151	8	0	0	19.7083	12.1461	3.5231	0.1627	1.2339
39	63151	8	0	0	19.7085	12.1461	3.5230	0.1729	1.2339
40	63145	8	0	0	19.7086	12.1460	3.5228	0.1754	1.2339
41	63136	8	0	0	19.7088	12.1469	3.5228	0.1714	1.2338
42	63132	11	0	0	19.7091	12.1487	3.5228	0.1713	1.2338
43	63125	12	0	0	19.7052	12.1270	3.5210	0.1750	1.2342
44	63118	13	0	0	19.7037	12.0649	3.5210	0.1876	1.2346
45	63111	13	0	0	19.7024	12.1134	3.5202	0.1761	1.2351
46	63101	13	0	0	19.7025	12.1106	3.5204	0.1907	1.2355
47	63094	13	0	0	19.7028	12.1165	3.5207	0.1839	1.2358
48	63087	14	0	0	19.7030	12.1170	3.5204	0.1795	1.2360
49	63081	14	0	0	19.7020	12.1139	3.5202	0.1735	1.2362
50	63072	14	0	0	19.7021	12.1147	3.5202	0.1720	1.2364
51	63068	15	0	0	19.7025	12.1152	3.5206	0.1774	1.2365
52	63064	16	0	0	19.7013	12.1069	3.5198	0.1799	1.2367
53	63056	16	0	0	19.6999	12.1018	3.5193	0.1786	1.2370
54	63047	16	0	0	19.7000	12.1021	3.5197	0.1832	1.2373
55	63040	17	0	0	19.7004	12.1030	3.5195	0.1781	1.2374
56	63033	17	0	0	19.6993	12.0966	3.5193	0.1751	1.2377
57	63027	18	0	0	19.6994	12.0984	3.5195	0.1818	1.2379
58	63018	18	0	0	19.6983	12.0921	3.5190	0.1823	1.2381
59	63010	18	0	0	19.6984	12.0929	3.5192	0.1829	1.2383
60	63008	18	0	0	19.6986	12.0937	3.5191	0.1804	1.2385
61	63006	19	0	0	19.6987	12.0962	3.5192	0.1760	1.2386
62	63005	20	0	0	19.6974	12.0903	3.5185	0.1778	1.2388
63	62999	22	0	0	19.6961	12.0890	3.5180	0.1830	1.2391
64	62995	24	0	0	19.6935	12.0743	3.5171	0.1837	1.2396
65	62993	25	0	0	19.6906	12.0585	3.5161	0.1873	1.2403
66	62989	26	0	0	19.6891	12.0439	3.5159	0.2102	1.2409
67	62983	27	0	0	19.6878	11.9282	3.5155	0.2137	1.2416
68	62979	28	0	0	19.6867	11.9236	3.5152	0.2169	1.2422
69	62968	28	0	0	19.6854	11.9169	3.5146	0.2016	1.2429
70	62959	28	0	0	19.6856	12.0262	3.5151	0.2005	1.2433
71	62955	28	0	0	19.6858	12.0271	3.5150	0.2031	1.2436
72	62952	30	0	0	19.6860	12.0287	3.5150	0.1952	1.2439
73	62947	30	0	0	19.6834	12.0199	3.5139	0.1946	1.2443
74	62947	32	0	0	19.6833	12.0203	3.5142	0.1946	1.2447
75	62944	32	0	0	19.6807	11.8211	3.5129	0.1962	1.2452
76	62940	33	0	0	19.6806	12.0066	3.5133	0.2021	1.2456
77	62940	37	0	0	19.6794	11.9983	3.5127	0.1975	1.2461
78	62932	39	0	0	19.6740	11.9724	3.5108	0.2039	1.2470
79	62929	40	0	0	19.6709	11.9562	3.5104	0.2051	1.2480
80	62930	47	0	0	19.6694	11.9427	3.5096	0.2115	1.2489
81	62930	50	0	0	19.6601	11.8941	3.5060	0.2125	1.2506
82	62927	53	0	0	19.6552	11.8687	3.5055	0.2297	1.2523
83	62924	56	0	0	19.6509	11.8520	3.5037	0.2340	1.2542
84	62918	59	0	0	19.6465	11.8321	3.5026	0.2297	1.2560
85	62916	61	0	0	19.6422	11.5453	3.5013	0.2386	1.2578
86	62914	62	0	0	19.6391	11.7996	3.5006	0.2399	1.2595
87	62910	66	0	0	19.6375	11.7929	3.5001	0.2386	1.2610
88	62909	69	0	0	19.6325	11.7797	3.4982	0.2427	1.2626
89	62905	71	0	0	19.6281	11.7576	3.4971	0.2436	1.2643
90	62900	77	0	0	19.6252	11.7433	3.4963	0.2547	1.2658
91	62897	79	0	0	19.6170	11.4560	3.4936	0.2650	1.2679
92	62897	83	0	0	19.6135	11.3865	3.4931	0.2583	1.2697
93	62896	88	0	0	19.6080	11.6613	3.4909	0.2652	1.2717
94	62896	92	0	0	19.6010	11.6417	3.4891	0.2715	1.2740
95	62896	97	0	0	19.5950	11.3638	3.4872	0.2730	1.2763
96	62891	98	0	0	19.5880	11.3317	3.4851	0.2689	1.2788
97	62887	100	0	0	19.5862	11.5823	3.4854	0.2777	1.2809
98	62887	106	0	0	19.5835	11.5715	3.4842	0.2798	1.2827
99	62883	111	0	0	19.5755	11.5387	3.4819	0.2905	1.2849
100	62882	115	0	0	19.5683	11.5045	3.4799	0.2898	1.2873
101	62878	118	0	0	19.5623	11.3678	3.4783	0.3040	1.2898
102	62881	125	0	0	19.5581	11.3526	3.4773	0.3096	1.2921
103	62878	129	0	0	19.5486	11.3626	3.4742	0.3040	1.2948
104	62878	137	0	0	19.5427	11.3507	3.4730	0.3102	1.2975
105	62880	141	0	0	19.5316	11.3170	3.4697	0.3122	1.3006
106	62877	145	0	0	19.5254	4.3290	3.4690	0.3191	1.3037
107	62870	149	0	0	19.5199	4.3099	3.4671	0.4008	1.3065
108	62872	156	0	0	19.5144	4.2938	3.4661	0.4010	1.3093
109	62871	163	0	0	19.5048	10.9580	3.4624	0.3283	1.3123
110	62878	173	0	0	19.4947	10.9156	3.4603	0.3370	1.3156
111	62875	180	0	0	19.4804	11.1404	3.4560	0.3474	1.3196
112	62866	183	0	0	19.4700	11.0973	3.4542	0.3613	1.3237
113	62862	192	0	0	19.4654	10.8939	3.4534	0.3792	1.3273
114	62863	201	0	0	19.4533	10.8553	3.4498	0.3779	1.3312
115	62866	210	0	0	19.4407	10.8109	3.4469	0.3938	1.3356
116	62866	219	0	0	19.4276	10.7579	3.4437	0.4032	1.3401
117	62868	230	0	0	19.4146	10.7898	3.4410	0.4145	1.3450
118	62872	240	0	0	19.3989	10.7259	3.4372	0.4272	1.3502
119	62867	248	0	0	19.3843	10.6744	3.4338	0.4624	1.3557
120	62871	259	0	0	19.3725	10.6329	3.4317	0.4922	1.3611
121	62879	270	0	0	19.3571	10.5740	3.4273	0.4886	1.3667
122	62886	284	0	0	19.3413	10.3794	3.4242	0.5055	1.3726
123	62900	303	0	0	19.3209	10.2843	3.4196	0.5182	1.3791
124	62912	320	0	0	19.2936	10.2669	3.4139	0.5596	1.3868
125	62919	333	0	0	19.2685	10.1828	3.4089	0.5826	1.3952
126	62927	350	0	0	19.2490	9.8775	3.4055	0.5866	1.4037
127	62933	370	0	0	19.2251	9.7678	3.3998	0.6001	1.4125
128	62931	381	0	0	19.1966	9.6377	3.3947	0.5857	1.4221
129	62942	396	0	0	19.1799	9.5690	3.3922	0.6019	1.4311
130	62953	417	0	0	19.1588	9.4831	3.3873	0.6093	1.4401
131	62962	434	0	0	19.1297	9.3675	3.3819	0.6237	1.4499
132	62970	453	0	0	19.1048	9.2642	3.3779	0.6496	1.4598
