step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63364	3	0	0	19.7000	18.9529	2.1204	0.0000	1.2291
1	63357	3	0	0	19.7269	12.2169	4.0405	0.0827	1.2295
2	63350	3	0	0	19.7290	12.2220	3.3918	0.1413	1.2299
3	63342	3	0	0	19.7253	12.2160	3.6498	0.1382	1.2301
4	63338	3	0	0	19.7235	12.2126	3.5327	0.1371	1.2303
5	63330	3	0	0	19.7220	12.2109	3.5728	0.1399	1.2305
6	63325	3	0	0	19.7210	12.2086	3.5494	0.1391	1.2305
7	63321	3	0	0	19.7202	12.2067	3.5535	0.1409	1.2306
8	63313	3	0	0	19.7195	12.2054	3.5472	0.1382	1.2306
9	63311	3	0	0	19.7192	12.2032	3.5463	0.1394	1.2306
10	63305	3	0	0	19.7187	12.2020	3.5432	0.1381	1.2306
11	63299	3	0	0	19.7184	12.2013	3.5418	0.1367	1.2306
12	63298	3	0	0	19.7182	12.2007	3.5400	0.1385	1.2305
13	63292	3	0	0	19.7179	12.1998	3.5385	0.1398	1.2305
14	63284	3	0	0	19.7176	12.1990	3.5369	0.1384	1.2305
15	63280	4	0	0	19.7176	12.1977	3.5360	0.1408	1.2304
16	63277	4	0	0	19.7161	12.1846	3.5342	0.1525	1.2305
17	63267	4	0	0	19.7158	12.1849	3.5334	0.1549	1.2306
18	63262	5	0	0	19.7159	12.1849	3.5328	0.1565	1.2307
19	63257	5	0	0	19.7145	12.1709	3.5314	0.1580	1.2308
20	63252	6	0	0	19.7144	12.1711	3.5308	0.1793	1.2309
21	63246	7	0	0	19.7131	12.1601	3.5294	0.1633	1.2312
22	63235	8	0	0	19.7117	12.1458	3.5287	0.1723	1.2315
23	63232	8	0	0	19.7103	12.1322	3.5279	0.1890	1.2318
24	63225	8	0	0	19.7102	12.1331	3.5276	0.1937	1.2321
25	63220	8	0	0	19.7103	12.1334	3.5272	0.1954	1.2324
26	63214	9	0	0	19.7104	12.1345	3.5269	0.1949	1.2325
27	63206	9	0	0	19.7092	12.1203	3.5261	0.2020	1.2328
28	63200	10	0	0	19.7093	12.1208	3.5261	0.2262	1.2329
29	63196	10	0	0	19.7081	12.1151	3.5251	0.2162	1.2332
30	63192	10	0	0	19.7080	12.1151	3.5251	0.2256	1.2334
31	63183	10	0	0	19.7080	12.1191	3.5246	0.2023	1.2336
32	63179	10	0	0	19.7085	12.1208	3.5250	0.2027	1.2337
33	63175	11	0	0	19.7086	12.1219	3.5245	0.1985	1.2337
34	63171	11	0	0	19.7073	12.1135	3.5237	0.1888	1.2339
35	63165	12	0	0	19.7073	12.1136	3.5236	0.2126	1.2340
36	63161	12	0	0	19.7061	12.1091	3.5228	0.2137	1.2342
37	63156	12	0	0	19.7061	12.1096	3.5229	0.2122	1.2344
38	63152	12	0	0	19.7062	12.1099	3.5226	0.2124	1.2345
39	63148	13	0	0	19.7063	12.1107	3.5228	0.1928	1.2346
40	63143	15	0	0	19.7051	12.0967	3.5220	0.1945	1.2348
41	63135	15	0	0	19.7024	12.0780	3.5209	0.2059	1.2352
42	63128	17	0	0	19.7023	12.0785	3.5212	0.2149	1.2356
43	63121	18	0	0	19.6998	12.0559	3.5199	0.2149	1.2361
