time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
25.0	386	20	18	389	22	599	554	1
33.0	387	20	21	390	19	599	599	1
38.0	387	21	23	391	19	599	599	2
39.0	387	23	23	392	22	599	599	3
43.0	389	22	29	393	14	577	554	2
55.0	386	18	23	394	13	599	554	2
56.0	386	23	16	395	28	599	554	3
56.0	387	23	20	396	24	599	599	4
56.0	390	19	20	397	16	518	599	2
57.0	387	20	16	398	24	599	599	5
59.0	389	29	23	399	33	576	528	3
60.0	389	23	23	400	21	576	528	4
61.0	392	22	17	401	25	556	556	4
62.0	386	16	11	402	19	599	554	4
63.0	391	19	19	403	19	526	570	3
63.0	386	11	9	404	13	599	554	5
66.0	400	21	20	405	21	560	491	5
67.0	400	20	18	406	21	560	491	6
67.0	390	20	20	407	18	518	599	3
69.0	392	17	18	408	15	534	556	5
73.0	391	19	18	409	19	482	570	4
76.0	387	16	14	410	17	599	599	6
77.0	397	16	20	411	9	528	599	3
79.0	389	23	20	412	26	560	512	5
79.0	394	13	15	413	11	512	275	3
80.0	390	20	23	414	16	495	599	4
80.0	401	25	25	415	22	496	556	5
81.0	390	23	17	416	27	495	599	5
81.0	400	18	18	417	18	560	491	7
82.0	404	13	13	418	12	577	554	6
84.0	393	14	14	419	13	333	294	3
85.0	393	14	19	420	9	333	294	4
86.0	406	21	20	421	22	599	313	7
87.0	406	20	18	422	22	599	313	8
87.0	391	18	20	423	16	490	409	5
88.0	407	18	15	424	20	482	573	4
88.0	396	24	26	425	22	548	570	5
88.0	406	18	26	426	10	599	313	9
88.0	412	26	26	427	25	560	533	6
88.0	395	28	28	428	28	539	538	4
88.0	391	20	21	429	18	501	388	6
89.0	392	18	13	430	23	521	543	6
89.0	394	15	18	431	11	553	224	4
89.0	401	25	28	432	20	496	556	6
89.0	403	19	19	433	18	426	516	4
90.0	408	15	18	434	11	505	543	6
90.0	407	15	17	435	13	482	573	5
90.0	394	18	16	436	20	541	137	5
92.0	392	13	10	437	16	521	543	7
93.0	404	13	8	438	17	577	554	7
94.0	390	17	15	439	18	495	599	6
94.0	396	26	29	440	22	548	550	6
95.0	409	19	21	441	16	270	599	5
97.0	402	19	22	442	15	584	458	5
