step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	389	3	0	0	19.9994	19.7997	4.9598	0.0000	1.0018
1	389	3	0	0	19.9994	19.7997	4.9631	0.0000	1.0018
2	389	3	0	0	19.9994	19.6997	4.9628	0.0000	1.0018
3	389	3	0	0	19.9994	19.6995	4.9620	0.0000	1.0018
4	389	3	0	0	19.9994	19.4001	4.9619	0.0000	1.0018
5	389	3	0	0	19.9997	19.4002	4.9620	0.0000	1.0018
6	388	3	0	0	19.9999	19.4002	4.9620	0.0000	1.0018
7	388	3	0	0	20.0000	19.4002	4.9621	0.0000	1.0017
8	388	3	0	0	20.0009	19.4003	4.9626	0.0000	1.0017
9	388	3	0	0	20.0011	19.3995	4.9628	0.0000	1.0017
10	387	3	0	0	20.0014	19.4003	4.9629	0.0000	1.0017
11	387	3	0	0	20.0017	19.4003	4.9631	0.0000	1.0017
12	386	3	0	0	20.0020	19.6988	4.9633	0.0000	1.0016
13	386	3	0	0	20.0024	19.6987	4.9636	0.0000	1.0016
14	386	3	0	0	20.0026	19.6987	4.9637	0.0000	1.0016
15	386	3	0	0	20.0028	19.6986	4.9638	0.0000	1.0016
16	386	3	0	0	20.0030	19.6985	4.9640	0.0000	1.0016
17	386	3	0	0	20.0033	19.6986	4.9642	0.0000	1.0015
18	386	3	0	0	20.0036	19.6987	4.9644	0.0000	1.0015
19	386	3	0	0	20.0039	19.6987	4.9646	0.0000	1.0015
20	386	3	0	0	20.0042	19.6988	4.9648	0.0000	1.0015
21	386	3	0	0	20.0044	19.6988	4.9651	0.0000	1.0015
22	386	3	0	0	20.0047	19.5004	4.9653	0.0000	1.0014
23	386	3	0	0	20.0049	19.6989	4.9654	0.0000	1.0014
24	386	3	0	0	20.0051	19.6989	4.9656	0.0000	1.0014
25	387	4	0	0	20.0053	19.5005	4.9659	0.0000	1.0014
26	387	4	0	0	20.0033	12.7997	4.9647	0.0223	1.0016
27	387	4	0	0	20.0033	12.7997	4.9648	0.0215	1.0015
28	387	4	0	0	20.0034	12.7997	4.9648	0.0222	1.0015
29	387	4	0	0	20.0037	12.7997	4.9651	0.0215	1.0015
30	387	4	0	0	20.0038	12.7997	4.9652	0.0225	1.0015
31	387	4	0	0	20.0039	12.7997	4.9654	0.0226	1.0015
32	387	4	0	0	20.0039	12.7997	4.9654	0.0219	1.0015
33	388	5	0	0	20.0040	12.7997	4.9655	0.0217	1.0014
34	388	5	0	0	20.0019	12.7997	4.9644	0.0223	1.0016
35	388	5	0	0	20.0042	12.7997	4.9658	0.0216	1.0014
36	388	5	0	0	20.0043	12.7997	4.9659	0.0218	1.0014
37	388	5	0	0	20.0045	12.7997	4.9660	0.0221	1.0014
38	389	6	0	0	20.0046	12.7997	4.9661	0.0220	1.0014
39	390	7	0	0	20.0029	12.7997	4.9652	0.0222	1.0015
40	390	7	0	0	20.0010	12.4996	4.9642	0.1243	1.0017
41	390	7	0	0	20.0010	12.4996	4.9642	0.1287	1.0017
42	390	7	0	0	20.0012	12.4996	4.9643	0.1292	1.0016
43	391	8	0	0	20.0012	12.4996	4.9644	0.1368	1.0016
44	391	8	0	0	19.9993	12.4994	4.9633	0.1310	1.0018
45	391	8	0	0	19.9996	12.4994	4.9635	0.1339	1.0018
46	391	8	0	0	19.9999	12.4994	4.9638	0.1316	1.0018
47	391	8	0	0	20.0000	12.4994	4.9640	0.1351	1.0018
48	391	8	0	0	20.0002	12.4994	4.9642	0.1350	1.0018
49	391	8	0	0	20.0002	12.4994	4.9642	0.1343	1.0018
50	391	8	0	0	20.0002	12.4994	4.9643	0.1303	1.0018
51	391	8	0	0	20.0002	12.4994	4.9643	0.1334	1.0018
52	391	8	0	0	20.0001	12.4995	4.9640	0.1321	1.0019
53	391	8	0	0	20.0002	12.4995	4.9642	0.1356	1.0018
54	391	8	0	0	20.0002	12.4995	4.9639	0.1312	1.0020
55	392	9	0	0	20.0003	12.4995	4.9640	0.1336	1.0020
56	395	12	0	0	19.9982	12.7972	4.9628	0.1282	1.0022
57	396	13	0	0	19.9942	12.4989	4.9605	0.1316	1.0025
58	396	13	0	0	19.9922	12.4987	4.9593	0.1389	1.0027
59	397	14	0	0	19.9926	12.4987	4.9597	0.1408	1.0027
60	398	15	0	0	19.9904	12.4986	4.9583	0.1455	1.0030
61	399	16	0	0	19.9883	12.4984	4.9570	0.1452	1.0032
62	400	17	0	0	19.9862	12.4982	4.9559	0.1433	1.0033
63	402	19	0	0	19.9840	12.4982	4.9543	0.1576	1.0037
64	402	19	0	0	19.9795	12.7910	4.9512	0.1597	1.0043
65	402	19	0	0	19.9794	12.7910	4.9510	0.1589	1.0043
66	403	20	0	0	19.9793	12.7910	4.9510	0.1546	1.0043
67	405	22	0	0	19.9772	12.7903	4.9495	0.1538	1.0047
68	405	22	0	0	19.9749	12.7876	4.9478	0.1590	1.0051
69	405	23	0	0	19.9751	12.7878	4.9481	0.1869	1.0051
70	405	23	0	0	19.9730	12.7871	4.9468	0.1825	1.0053
71	405	23	0	0	19.9731	12.7871	4.9469	0.1857	1.0053
72	405	23	0	0	19.9725	12.7868	4.9461	0.1875	1.0056
73	405	24	0	0	19.9723	12.7867	4.9458	0.1858	1.0057
74	405	24	0	0	19.9700	12.7860	4.9443	0.1839	1.0061
75	405	24	0	0	19.9703	12.7860	4.9445	0.1892	1.0060
76	406	25	0	0	19.9698	12.7849	4.9439	0.1934	1.0063
77	407	26	0	0	19.9679	12.7850	4.9427	0.1879	1.0065
78	407	26	0	0	19.9618	12.4961	4.9395	0.1792	1.0070
