time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
25.0	386	20	18	389	22	599	554	1
33.0	387	20	21	390	19	599	599	1
38.0	387	21	23	391	19	599	599	2
39.0	387	23	23	392	22	599	599	3
43.0	389	22	18	393	26	577	554	2
48.0	389	18	15	394	18	577	554	3
49.0	389	15	13	395	17	577	554	4
55.0	386	18	15	396	21	599	554	2
56.0	387	23	20	397	23	599	599	4
56.0	390	19	18	398	19	520	599	2
57.0	389	13	11	399	15	561	538	5
58.0	396	21	21	400	19	583	538	3
61.0	392	22	22	401	22	570	570	4
61.0	387	20	21	402	19	599	599	5
63.0	386	15	12	403	18	599	554	3
63.0	391	19	24	404	14	497	571	3
65.0	392	22	19	405	25	534	556	5
65.0	389	11	8	406	14	514	510	6
66.0	396	21	17	407	23	561	538	4
68.0	394	18	21	408	11	285	490	4
69.0	395	17	12	409	22	584	509	5
69.0	387	21	26	410	15	599	599	6
69.0	391	24	19	411	29	497	571	4
71.0	386	12	12	412	11	599	554	4
72.0	393	26	24	413	28	548	599	3
72.0	392	19	18	414	19	521	569	6
72.0	386	12	14	415	10	599	554	5
74.0	390	18	19	416	16	520	599	3
75.0	390	19	18	417	19	520	599	4
76.0	391	19	21	418	17	497	571	5
77.0	400	19	23	419	13	525	478	4
78.0	396	17	12	420	21	529	506	5
79.0	397	23	23	421	21	548	570	5
81.0	411	29	25	422	31	489	599	5
81.0	390	18	22	423	14	520	599	5
82.0	389	8	8	424	8	482	478	7
82.0	401	22	23	425	20	256	599	5
82.0	413	28	28	426	27	536	587	4
83.0	405	25	27	427	20	411	532	6
83.0	401	23	27	428	19	256	599	6
84.0	394	21	21	429	19	62	572	5
85.0	390	22	22	430	21	520	599	6
86.0	399	15	10	431	18	494	541	6
86.0	398	19	25	432	12	520	559	3
87.0	387	26	34	433	17	599	599	7
87.0	414	19	14	434	24	509	557	7
87.0	392	18	21	435	14	444	581	7
88.0	396	12	15	436	9	546	478	6
89.0	416	16	16	437	15	498	579	4
89.0	396	15	13	438	15	546	478	7
89.0	393	24	19	439	29	548	599	4
90.0	395	12	11	440	12	584	509	6
91.0	406	14	12	441	15	503	478	7
91.0	397	23	20	442	25	548	570	6
