step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	389	3	0	0	19.9994	19.7997	4.9598	0.0000	1.0018
1	389	3	0	0	19.9994	19.7997	4.9631	0.0000	1.0018
2	389	3	0	0	19.9994	19.6997	4.9628	0.0000	1.0018
3	389	3	0	0	19.9994	19.6995	4.9620	0.0000	1.0018
4	389	3	0	0	19.9994	19.4001	4.9619	0.0000	1.0018
5	389	3	0	0	19.9997	19.4002	4.9620	0.0000	1.0018
6	388	3	0	0	19.9999	19.4002	4.9620	0.0000	1.0018
7	388	3	0	0	20.0000	19.4002	4.9621	0.0000	1.0017
8	388	3	0	0	20.0009	19.4003	4.9626	0.0000	1.0017
9	388	3	0	0	20.0011	19.3995	4.9628	0.0000	1.0017
10	387	3	0	0	20.0014	19.4003	4.9629	0.0000	1.0017
11	387	3	0	0	20.0017	19.4003	4.9631	0.0000	1.0017
12	386	3	0	0	20.0020	19.6988	4.9633	0.0000	1.0016
13	386	3	0	0	20.0024	19.6987	4.9636	0.0000	1.0016
14	386	3	0	0	20.0026	19.6987	4.9637	0.0000	1.0016
15	386	3	0	0	20.0028	19.6986	4.9638	0.0000	1.0016
16	386	3	0	0	20.0030	19.6985	4.9640	0.0000	1.0016
17	386	3	0	0	20.0033	19.6986	4.9642	0.0000	1.0015
18	386	3	0	0	20.0036	19.6987	4.9644	0.0000	1.0015
19	386	3	0	0	20.0039	19.6987	4.9646	0.0000	1.0015
20	386	3	0	0	20.0042	19.6988	4.9648	0.0000	1.0015
21	386	3	0	0	20.0044	19.6988	4.9651	0.0000	1.0015
22	386	3	0	0	20.0047	19.5004	4.9653	0.0000	1.0014
23	386	3	0	0	20.0049	19.6989	4.9654	0.0000	1.0014
24	386	3	0	0	20.0051	19.6989	4.9656	0.0000	1.0014
25	387	4	0	0	20.0053	19.5005	4.9659	0.0000	1.0014
26	387	4	0	0	20.0033	12.7997	4.9647	0.0223	1.0016
27	387	4	0	0	20.0033	12.7997	4.9648	0.0215	1.0015
28	387	4	0	0	20.0034	12.7997	4.9648	0.0222	1.0015
29	387	4	0	0	20.0037	12.7997	4.9651	0.0215	1.0015
30	387	4	0	0	20.0038	12.7997	4.9652	0.0225	1.0015
31	387	4	0	0	20.0039	12.7997	4.9654	0.0226	1.0015
32	387	4	0	0	20.0039	12.7997	4.9654	0.0219	1.0015
33	388	5	0	0	20.0040	12.7997	4.9655	0.0217	1.0014
34	388	5	0	0	20.0019	12.7997	4.9644	0.0223	1.0016
35	388	5	0	0	20.0022	12.7997	4.9647	0.1073	1.0016
36	388	5	0	0	20.0023	12.7997	4.9648	0.1099	1.0015
37	388	5	0	0	20.0045	12.7997	4.9660	0.0221	1.0014
38	389	6	0	0	20.0046	12.7997	4.9661	0.0220	1.0014
39	390	7	0	0	20.0029	12.7997	4.9652	0.0222	1.0015
40	390	7	0	0	20.0010	12.4996	4.9642	0.1123	1.0017
41	390	7	0	0	20.0010	12.4996	4.9642	0.1160	1.0017
42	390	7	0	0	20.0013	12.4996	4.9644	0.1177	1.0016
43	391	8	0	0	20.0014	12.4996	4.9646	0.1184	1.0016
44	391	8	0	0	19.9995	12.4994	4.9634	0.1187	1.0018
45	391	8	0	0	19.9998	12.4994	4.9637	0.1150	1.0018
46	391	8	0	0	20.0000	12.4994	4.9639	0.1165	1.0018
47	391	8	0	0	19.9999	12.4994	4.9639	0.1140	1.0018
48	392	9	0	0	20.0001	12.4994	4.9640	0.1171	1.0018
49	393	10	0	0	19.9980	12.4992	4.9628	0.1179	1.0019
50	393	10	0	0	19.9958	12.4991	4.9615	0.1253	1.0022
51	393	10	0	0	19.9956	12.4991	4.9611	0.1224	1.0023
52	393	10	0	0	19.9957	12.4991	4.9614	0.1235	1.0023
53	393	10	0	0	19.9961	12.4991	4.9617	0.1226	1.0022
54	393	10	0	0	19.9981	12.4993	4.9628	0.1247	1.0022
55	394	11	0	0	19.9982	12.4993	4.9628	0.1283	1.0021
56	396	13	0	0	19.9959	12.4993	4.9613	0.1234	1.0024
57	397	14	0	0	19.9920	12.4990	4.9590	0.1212	1.0027
58	398	15	0	0	19.9901	12.4988	4.9579	0.1258	1.0029
59	398	15	0	0	19.9880	12.4986	4.9566	0.1321	1.0032
60	398	15	0	0	19.9883	12.4986	4.9569	0.1282	1.0032
61	400	17	0	0	19.9885	12.4986	4.9570	0.1282	1.0031
62	400	17	0	0	19.9843	12.4917	4.9541	0.1386	1.0038
63	402	19	0	0	19.9843	12.4922	4.9543	0.1478	1.0037
64	402	19	0	0	19.9796	12.4899	4.9507	0.1499	1.0045
65	404	21	0	0	19.9796	12.4900	4.9510	0.1522	1.0045
66	405	22	0	0	19.9753	12.4885	4.9483	0.1467	1.0049
67	405	22	0	0	19.9729	12.4883	4.9468	0.1670	1.0051
68	406	23	0	0	19.9728	12.4887	4.9468	0.1670	1.0051
69	409	26	0	0	19.9699	12.4881	4.9442	0.1662	1.0058
70	409	26	0	0	19.9633	12.4861	4.9400	0.1633	1.0066
71	410	27	0	0	19.9633	12.4861	4.9399	0.1611	1.0067
72	413	30	0	0	19.9628	12.4878	4.9394	0.1482	1.0068
73	412	30	0	0	19.9562	12.4810	4.9345	0.1426	1.0079
74	413	31	0	0	19.9563	12.4810	4.9351	0.1402	1.0079
75	414	32	0	0	19.9542	12.4806	4.9334	0.1403	1.0082
76	415	33	0	0	19.9527	12.4805	4.9331	0.1716	1.0081
77	416	34	0	0	19.9530	12.4804	4.9335	0.1781	1.0080
78	417	35	0	0	19.9508	12.4780	4.9317	0.1822	1.0085
