time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
25.0	386	20	18	389	22	599	554	1
33.0	387	20	21	390	19	599	599	1
38.0	387	21	23	391	19	599	599	2
39.0	387	23	21	392	23	599	599	3
43.0	389	22	24	393	19	577	554	2
45.0	389	24	25	394	23	577	554	3
46.0	387	21	24	395	16	599	599	4
52.0	392	23	17	396	29	570	570	4
54.0	387	24	26	397	22	599	599	5
55.0	386	18	19	398	17	599	554	2
56.0	389	25	28	399	22	533	554	4
56.0	390	19	19	400	18	477	599	2
59.0	386	19	19	401	18	599	554	3
60.0	386	19	20	402	14	599	554	4
61.0	389	28	22	403	30	533	554	5
63.0	391	19	13	404	25	469	556	3
64.0	391	13	12	405	12	469	556	4
68.0	401	18	20	406	16	567	522	4
69.0	394	23	22	407	22	498	540	4
71.0	389	22	19	408	24	533	554	6
71.0	387	26	29	409	22	599	599	6
71.0	393	19	19	410	18	493	599	3
72.0	386	20	14	411	26	599	554	5
73.0	396	29	28	412	29	496	562	5
74.0	396	28	21	413	32	496	562	6
75.0	396	21	19	414	21	496	562	7
76.0	391	12	13	415	11	469	556	5
77.0	392	17	18	416	16	523	492	5
78.0	389	19	16	417	22	519	540	7
78.0	391	13	15	418	11	469	556	6
79.0	398	17	16	419	18	547	556	3
80.0	394	22	21	420	22	488	471	5
81.0	397	22	23	421	19	554	586	6
81.0	396	19	15	422	21	496	562	8
82.0	395	16	17	423	15	517	586	5
82.0	390	19	14	424	22	477	599	3
83.0	387	29	34	425	22	599	599	7
83.0	386	14	15	426	13	599	554	6
83.0	395	17	12	427	22	517	586	6
84.0	400	18	15	428	20	477	579	3
84.0	395	12	10	429	14	517	586	7
84.0	404	25	21	430	27	383	599	4
86.0	392	18	20	431	16	567	447	6
87.0	393	19	18	432	20	493	599	4
87.0	405	12	9	433	15	443	577	5
87.0	399	22	21	434	23	599	411	5
89.0	386	15	14	435	14	599	554	7
90.0	404	21	23	436	18	383	599	5
90.0	403	30	32	437	27	533	508	6
91.0	389	16	14	438	15	519	540	8
91.0	405	9	10	439	7	443	577	6
92.0	401	20	20	440	20	551	481	5
95.0	404	23	20	441	24	383	599	6
95.0	396	15	13	442	17	440	506	9
