step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	389	3	0	0	19.9994	19.7997	4.9598	0.0000	1.0018
1	389	3	0	0	19.9994	19.7997	4.9631	0.0000	1.0018
2	389	3	0	0	19.9994	19.6997	4.9628	0.0000	1.0018
3	389	3	0	0	19.9994	19.6995	4.9620	0.0000	1.0018
4	389	3	0	0	19.9994	19.4001	4.9619	0.0000	1.0018
5	389	3	0	0	19.9997	19.4002	4.9620	0.0000	1.0018
6	388	3	0	0	19.9999	19.4002	4.9620	0.0000	1.0018
7	388	3	0	0	20.0000	19.4002	4.9621	0.0000	1.0017
8	388	3	0	0	20.0009	19.4003	4.9626	0.0000	1.0017
9	388	3	0	0	20.0011	19.3995	4.9628	0.0000	1.0017
10	387	3	0	0	20.0014	19.4003	4.9629	0.0000	1.0017
11	387	3	0	0	20.0017	19.4003	4.9631	0.0000	1.0017
12	386	3	0	0	20.0020	19.6988	4.9633	0.0000	1.0016
13	386	3	0	0	20.0024	19.6987	4.9636	0.0000	1.0016
14	386	3	0	0	20.0026	19.6987	4.9637	0.0000	1.0016
15	386	3	0	0	20.0028	19.6986	4.9638	0.0000	1.0016
16	386	3	0	0	20.0030	19.6985	4.9640	0.0000	1.0016
17	386	3	0	0	20.0033	19.6986	4.9642	0.0000	1.0015
18	386	3	0	0	20.0036	19.6987	4.9644	0.0000	1.0015
19	386	3	0	0	20.0039	19.6987	4.9646	0.0000	1.0015
20	386	3	0	0	20.0042	19.6988	4.9648	0.0000	1.0015
21	386	3	0	0	20.0044	19.6988	4.9651	0.0000	1.0015
22	386	3	0	0	20.0047	19.5004	4.9653	0.0000	1.0014
23	386	3	0	0	20.0049	19.6989	4.9654	0.0000	1.0014
24	386	3	0	0	20.0051	19.6989	4.9656	0.0000	1.0014
25	387	4	0	0	20.0053	19.5005	4.9659	0.0000	1.0014
26	387	4	0	0	20.0033	12.7997	4.9647	0.0223	1.0016
27	387	4	0	0	20.0033	12.7997	4.9648	0.0215	1.0015
28	387	4	0	0	20.0034	12.7997	4.9648	0.0222	1.0015
29	387	4	0	0	20.0037	12.7997	4.9651	0.0215	1.0015
30	387	4	0	0	20.0038	12.7997	4.9652	0.0225	1.0015
31	387	4	0	0	20.0039	12.7997	4.9654	0.0226	1.0015
32	387	4	0	0	20.0039	12.7997	4.9654	0.0219	1.0015
33	388	5	0	0	20.0040	12.7997	4.9655	0.0217	1.0014
34	388	5	0	0	20.0019	12.7997	4.9644	0.0223	1.0016
35	388	5	0	0	20.0022	12.7997	4.9647	0.0996	1.0016
36	388	5	0	0	20.0023	12.7997	4.9648	0.1017	1.0015
37	388	5	0	0	20.0025	12.7997	4.9649	0.1011	1.0015
38	389	6	0	0	20.0026	12.7997	4.9649	0.0971	1.0015
39	390	7	0	0	20.0009	12.4995	4.9641	0.0233	1.0017
40	390	7	0	0	19.9990	12.4994	4.9629	0.1167	1.0019
41	390	7	0	0	19.9989	12.4994	4.9628	0.1081	1.0019
42	390	7	0	0	19.9990	12.4993	4.9630	0.1096	1.0018
43	391	8	0	0	19.9991	12.4993	4.9631	0.1101	1.0018
44	391	8	0	0	19.9990	12.4993	4.9630	0.1073	1.0018
45	392	9	0	0	19.9991	12.4994	4.9631	0.1096	1.0018
46	393	10	0	0	19.9972	12.4992	4.9619	0.1090	1.0021
47	393	10	0	0	19.9953	12.4990	4.9607	0.1190	1.0023
48	393	10	0	0	19.9952	12.4990	4.9607	0.1343	1.0023
49	393	10	0	0	19.9952	12.4990	4.9607	0.1309	1.0023
50	393	10	0	0	19.9954	12.4990	4.9609	0.1215	1.0022
51	393	10	0	0	19.9955	12.4990	4.9609	0.1220	1.0022
52	394	11	0	0	19.9956	12.4990	4.9610	0.1223	1.0022
53	394	11	0	0	19.9936	12.4988	4.9598	0.1226	1.0024
54	395	12	0	0	19.9954	12.4991	4.9609	0.1212	1.0022
55	396	13	0	0	19.9933	12.4989	4.9596	0.1281	1.0024
56	398	15	0	0	19.9908	12.4950	4.9577	0.1212	1.0029
57	398	15	0	0	19.9865	12.4940	4.9550	0.1329	1.0033
58	398	15	0	0	19.9867	12.4944	4.9552	0.1310	1.0032
59	399	16	0	0	19.9866	12.4944	4.9553	0.1397	1.0032
60	400	17	0	0	19.9847	12.4945	4.9543	0.1385	1.0034
61	401	18	0	0	19.9828	12.4941	4.9530	0.1450	1.0036
62	401	18	0	0	19.9806	12.4931	4.9515	0.1448	1.0039
63	402	19	0	0	19.9807	12.4932	4.9516	0.1573	1.0039
64	403	20	0	0	19.9785	12.4922	4.9501	0.1570	1.0042
65	403	20	0	0	19.9761	12.4914	4.9485	0.1572	1.0045
66	403	20	0	0	19.9786	12.4927	4.9504	0.1579	1.0041
67	403	20	0	0	19.9789	12.4927	4.9505	0.1583	1.0041
68	404	21	0	0	19.9789	12.4927	4.9506	0.1547	1.0041
69	405	22	0	0	19.9768	12.4923	4.9493	0.1556	1.0043
70	405	22	0	0	19.9747	12.4912	4.9479	0.1600	1.0046
71	408	25	0	0	19.9747	12.4912	4.9480	0.1722	1.0046
72	409	26	0	0	19.9680	12.4885	4.9433	0.1629	1.0056
73	410	27	0	0	19.9651	12.4875	4.9408	0.1549	1.0061
74	411	28	0	0	19.9626	12.4862	4.9390	0.1632	1.0066
75	412	29	0	0	19.9604	12.4970	4.9376	0.1756	1.0068
76	413	30	0	0	19.9582	12.4968	4.9362	0.2011	1.0071
77	414	31	0	0	19.9559	12.4841	4.9346	0.1929	1.0074
78	416	33	0	0	19.9534	12.4838	4.9327	0.1876	1.0078
