cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion
0	-1	4	Endothelial	0	34	2.7576	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	S	0		38.00	5.0000	False	False	0	0.0	10.00	0.00
1	-1	4	Endothelial	32	75	0.5917	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1568	G1	0		38.60	4.7809	False	False	0	0.0	10.00	0.00
2	-1	4	Endothelial	67	93	4.9390	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0213	S	0		37.78	4.6228	False	False	0	0.0	10.00	0.00
3	-1	4	Endothelial	71	76	2.3298	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8578	G1	0		38.05	4.7021	False	False	0	0.0	10.00	0.00
4	-1	4	Endothelial	77	102	5.1696	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	G1	0		38.26	4.5496	False	False	0	0.0	10.00	0.00
5	-1	4	Endothelial	126	65	3.4846	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8568	G1	0		37.55	4.5229	False	False	0	0.0	10.00	0.00
6	-1	4	Endothelial	94	65	3.9689	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1464	S	0		37.44	4.4696	False	False	0	0.0	10.00	0.00
7	-1	4	Endothelial	104	31	6.0991	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8865	G1	0		35.01	3.3831	False	False	0	0.0	10.00	0.00
8	-1	4	Endothelial	55	98	1.2230	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G1	0		37.33	4.4307	False	False	0	0.0	10.00	0.00
9	-1	4	Endothelial	181	88	0.9694	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0609	S	0		37.58	4.4098	False	False	0	0.0	10.00	0.00
10	-1	4	Endothelial	139	85	6.0790	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.3569	S	0		37.62	4.4955	False	False	0	0.0	10.00	0.00
11	-1	4	Endothelial	156	93	2.9503	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8644	G1	0		36.94	4.1003	False	False	0	0.0	10.00	0.00
12	-1	4	Endothelial	202	78	2.9889	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9810	G1	0		37.71	4.2388	False	False	0	0.0	10.00	0.00
13	-1	4	Endothelial	195	72	2.7467	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1084	S	0		36.67	3.9938	False	False	0	0.0	10.00	0.00
14	-1	4	Endothelial	268	0	1.9627	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8048	G1	0		37.87	4.8878	False	False	0	0.0	10.00	0.00
15	-1	4	Endothelial	210	74	2.4346	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0387	G1	0		38.24	4.3656	False	False	0	0.0	10.00	0.00
16	-1	4	Endothelial	218	83	0.8781	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1452	G1	0		37.67	4.3433	False	False	0	0.0	10.00	0.00
17	-1	4	Endothelial	224	75	4.9444	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0113	G1	0		38.32	4.3470	False	False	0	0.0	10.00	0.00
18	-1	4	Endothelial	236	75	4.9055	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7571	G1	0		38.34	4.3519	False	False	0	0.0	10.00	0.00
19	-1	4	Endothelial	274	128	0.8784	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8935	G1	0		36.49	3.5826	False	False	0	0.0	10.00	0.00
20	-1	4	Endothelial	213	21	2.9600	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8557	G1	0		37.15	4.4155	False	False	0	0.0	10.00	0.00
21	-1	4	Endothelial	240	83	3.9881	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9442	G1	0		37.25	4.0449	False	False	0	0.0	10.00	0.00
22	-1	4	Endothelial	291	83	1.9098	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.1185	S	0		37.70	4.3046	False	False	0	0.0	10.00	0.00
23	-1	4	Endothelial	315	48	1.3483	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9229	G1	0		37.76	4.3914	False	False	0	0.0	10.00	0.00
24	-1	4	Endothelial	312	84	1.4699	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7874	S	0		37.49	4.2441	False	False	0	0.0	10.00	0.00
25	-1	4	Endothelial	295	61	1.8447	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0829	S	0		37.85	4.3556	False	False	0	0.0	10.00	0.00
26	-1	4	Endothelial	350	52	4.9254	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9288	S	0		36.93	4.0993	False	False	0	0.0	10.00	0.00
27	-1	4	Endothelial	344	75	5.1146	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9484	G1	0		38.28	4.2485	False	False	0	0.0	10.00	0.00
28	-1	4	Endothelial	359	56	0.5658	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9395	G1	0		37.24	4.2363	False	False	0	0.0	10.00	0.00
29	-1	4	Endothelial	358	75	1.0133	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0812	G1	0		38.16	4.1620	False	False	0	0.0	10.00	0.00
30	-1	4	Endothelial	381	85	4.3751	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0801	G1	0		37.36	4.1326	False	False	0	0.0	10.00	0.00
31	-1	4	Endothelial	392	65	1.8945	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9836	S	0		37.40	4.2624	False	False	0	0.0	10.00	0.00
32	-1	4	Endothelial	428	137	0.5507	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.7188	G1	0		36.66	3.4539	False	False	0	0.0	10.00	0.00
33	-1	4	Endothelial	385	53	5.7088	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.8338	G1	0		37.46	4.3627	False	False	0	0.0	10.00	0.00
34	-1	4	Endothelial	422	37	6.0895	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9370	G1	0		36.60	3.9911	False	False	0	0.0	10.00	0.00
