step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	4997	1	0	0	36.8246	29.4971	3.5509	0.0000	1.0629
1	4997	1	0	0	36.8267	29.5020	3.5696	0.0000	1.0629
2	4997	1	0	0	36.8283	29.5015	3.5701	0.0000	1.0628
3	4996	1	0	0	36.8293	29.5003	3.5708	0.0000	1.0627
4	4996	1	0	0	36.8298	29.3005	3.5713	0.0000	1.0627
5	4995	1	0	0	36.8300	29.3005	3.5713	0.0000	1.0627
6	4994	1	0	0	36.8315	29.3015	3.5726	0.0000	1.0627
7	4993	1	0	0	36.8327	29.5018	3.5737	0.0000	1.0627
8	4993	1	0	0	36.8344	29.5031	3.5753	0.0000	1.0626
9	4992	1	0	0	36.8354	29.5032	3.5762	0.0000	1.0625
10	4991	1	0	0	36.8365	29.5044	3.5774	0.0000	1.0625
11	4989	1	0	0	36.8370	29.5055	3.5780	0.0000	1.0624
12	4988	1	0	0	36.8386	29.5065	3.5795	0.0000	1.0623
13	4988	1	0	0	36.8387	29.5063	3.5796	0.0000	1.0623
14	4987	1	0	0	36.8388	29.5064	3.5799	0.0000	1.0622
15	4985	1	0	0	36.8402	29.5074	3.5813	0.0000	1.0622
16	4985	1	0	0	36.8407	29.5075	3.5817	0.0000	1.0621
17	4984	1	0	0	36.8409	29.5075	3.5819	0.0000	1.0621
18	4984	1	0	0	36.8410	29.5077	3.5820	0.0000	1.0621
19	4984	1	0	0	36.8414	29.5080	3.5824	0.0000	1.0620
20	4984	1	0	0	36.8415	29.5079	3.5825	0.0000	1.0620
21	4984	1	0	0	36.8416	29.5080	3.5827	0.0000	1.0620
22	4985	1	0	0	36.8417	29.5079	3.5828	0.0000	1.0620
23	4985	1	0	0	36.8423	29.5075	3.5831	0.0000	1.0620
24	4984	1	0	0	36.8425	29.5078	3.5833	0.0000	1.0619
25	4982	1	0	0	36.8431	29.5076	3.5838	0.0000	1.0619
26	4982	1	0	0	36.8440	29.5077	3.5845	0.0000	1.0619
27	4982	1	0	0	36.8440	29.5074	3.5845	0.0000	1.0619
28	4982	1	0	0	36.8440	29.5073	3.5846	0.0000	1.0618
29	4982	1	0	0	36.8443	29.5075	3.5848	0.0000	1.0618
30	4985	1	0	0	36.8442	29.5073	3.5846	0.0000	1.0619
31	4987	1	0	0	36.8439	29.5071	3.5843	0.0000	1.0619
32	4988	1	0	0	36.8443	29.5072	3.5845	0.0000	1.0619
33	4991	1	0	0	36.8443	29.5071	3.5845	0.0000	1.0619
34	4992	1	0	0	36.8440	29.5071	3.5843	0.0000	1.0619
35	4991	1	0	0	36.8451	29.5087	3.5853	0.0000	1.0619
36	4991	1	0	0	36.8455	29.5096	3.5858	0.0000	1.0618
37	4993	1	0	0	36.8462	29.5096	3.5864	0.0000	1.0618
38	4996	1	0	0	36.8463	29.5100	3.5865	0.0000	1.0618
39	5007	1	0	0	36.8462	29.5101	3.5865	0.0000	1.0618
40	5012	1	0	0	36.8458	29.5096	3.5860	0.0000	1.0618
41	5019	1	0	0	36.8459	29.5097	3.5861	0.0000	1.0619
42	5023	1	0	0	36.8466	29.5096	3.5865	0.0000	1.0618
43	5034	1	0	0	36.8465	29.5096	3.5865	0.0000	1.0618
44	5053	1	0	0	36.8458	29.5085	3.5856	0.0000	1.0619
45	5071	1	0	0	36.8451	29.5074	3.5845	0.0000	1.0621
46	5083	1	0	0	36.8443	29.5063	3.5836	0.0000	1.0622
47	5093	1	0	0	36.8438	29.5053	3.5829	0.0000	1.0623
48	5114	1	0	0	36.8429	29.5042	3.5818	0.0000	1.0624
49	5134	1	0	0	36.8419	29.5027	3.5803	0.0000	1.0626
50	5156	1	0	0	36.8408	29.5012	3.5790	0.0000	1.0628
51	5178	1	0	0	36.8399	29.4997	3.5777	0.0000	1.0630
52	5202	1	0	0	36.8387	29.4984	3.5762	0.0000	1.0631
53	5224	1	0	0	36.8376	29.4971	3.5746	0.0000	1.0633
54	5247	1	0	0	36.8371	29.2976	3.5739	0.0000	1.0635
55	5263	1	0	0	36.8364	29.2972	3.5728	0.0000	1.0638
56	5302	1	0	0	36.8352	29.2958	3.5714	0.0000	1.0639
57	5337	1	0	0	36.8329	29.2936	3.5686	0.0000	1.0642
58	5363	1	0	0	36.8311	29.2913	3.5663	0.0000	1.0645
59	5384	1	0	0	36.8296	29.2901	3.5645	0.0000	1.0647
60	5433	1	0	0	36.8282	29.2891	3.5629	0.0000	1.0649
61	5460	1	0	0	36.8254	29.2855	3.5592	0.0000	1.0653
62	5485	1	0	0	36.8244	29.2854	3.5582	0.0000	1.0655
63	5530	1	0	0	36.8235	29.0838	3.5570	0.0000	1.0657
64	5571	1	0	0	36.8213	29.0828	3.5543	0.0000	1.0661
65	5594	1	0	0	36.8185	29.2795	3.5503	0.0000	1.0666
66	5623	1	0	0	36.8172	29.2781	3.5487	0.0000	1.0668
67	5656	1	0	0	36.8154	29.2763	3.5465	0.0000	1.0670
68	5691	1	0	0	36.8134	29.2734	3.5438	0.0000	1.0673
69	5728	1	0	0	36.8109	29.2699	3.5406	0.0000	1.0677
70	5757	1	0	0	36.8081	29.2660	3.5371	0.0000	1.0681
71	5778	1	0	0	36.8056	29.2632	3.5340	0.0000	1.0685
72	5804	1	0	0	36.8044	29.4624	3.5326	0.0000	1.0686
