time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
22.0	60	0	0	4997	0	733	68	1
30.0	1201	0	0	4998	0	237	273	1
30.0	688	0	0	4999	0	219	739	1
30.0	861	0	0	5000	0	645	165	1
31.0	430	0	0	5001	0	357	840	1
31.0	308	0	0	5002	0	836	525	1
32.0	876	0	0	5003	0	706	369	1
33.0	1385	0	0	5004	0	803	893	1
33.0	808	0	0	5005	0	530	424	1
33.0	192	0	0	5006	0	445	335	1
34.0	757	0	0	5007	0	404	690	1
34.0	704	0	0	5008	0	367	26	1
34.0	346	0	0	5009	0	332	675	1
36.0	1435	0	0	5010	0	831	434	1
37.0	1366	0	0	5011	0	73	141	1
37.0	1220	0	0	5012	0	225	621	1
38.0	1019	0	0	5013	0	971	330	1
38.0	336	0	0	5014	0	214	638	1
38.0	882	0	0	5015	0	685	512	1
39.0	749	0	0	5016	0	375	608	1
39.0	1087	0	0	5017	0	73	926	1
39.0	173	0	0	5018	0	86	277	1
39.0	246	0	0	5019	0	171	448	1
39.0	1264	0	0	5020	0	99	908	1
39.0	1387	0	0	5021	0	854	882	1
39.0	303	0	0	5022	0	772	516	1
39.0	731	0	0	5023	0	393	391	1
39.0	1428	0	0	5024	0	552	368	1
39.0	973	0	0	5025	0	810	716	1
39.0	1374	0	0	5026	0	703	86	1
40.0	22	0	0	5027	0	291	83	1
40.0	4948	0	0	5028	0	666	0	1
40.0	56	0	0	5029	0	692	75	1
40.0	421	0	0	5030	0	312	797	1
40.0	900	0	0	5031	0	651	665	1
40.0	671	0	0	5032	0	225	536	1
41.0	61	0	0	5033	0	781	77	1
41.0	571	0	0	5034	0	80	136	1
41.0	682	0	0	5035	0	250	721	1
41.0	801	0	0	5036	0	533	364	1
41.0	873	0	0	5037	0	609	345	1
41.0	1228	0	0	5038	0	155	29	1
41.0	1185	0	0	5039	0	782	746	1
41.0	4996	20	10	5040	10	500	500	1
41.0	1262	0	0	5041	0	483	93	1
41.0	13	0	0	5042	0	195	72	1
41.0	1183	0	0	5043	0	841	757	1
42.0	800	0	0	5044	0	534	316	1
42.0	292	0	0	5045	0	661	524	1
42.0	912	0	0	5046	0	781	879	1
42.0	717	0	0	5047	0	364	150	1
42.0	1254	0	0	5048	0	106	377	1
42.0	25	0	0	5049	0	289	69	1
43.0	4831	0	0	5050	0	208	450	1
43.0	198	0	0	5051	0	505	350	1
