x_grid	y_grid	x_um	y_um	O2	glucose	VEGF	lactate	pH	ECM_density	vascular_density	is_occupied	occupant_cell_id	occupant_type
0	0	5.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	3639	1
1	0	15.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5354	4
2	0	25.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	1582	5
3	0	35.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
4	0	45.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4330	2
5	0	55.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5742	3
6	0	65.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5514	4
7	0	75.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	1228	4
8	0	85.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
9	0	95.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4953	3
10	0	105.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
11	0	115.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4930	3
12	0	125.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	6130	3
13	0	135.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
14	0	145.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
15	0	155.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	561	4
16	0	165.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5417	4
17	0	175.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
18	0	185.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5465	4
19	0	195.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4860	3
20	0	205.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
21	0	215.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5529	4
22	0	225.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	3561	1
23	0	235.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
24	0	245.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	637	4
25	0	255.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
26	0	265.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4799	3
27	0	275.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5189	4
28	0	285.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4310	1
29	0	295.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4879	3
30	0	305.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
31	0	315.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	1347	4
32	0	325.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
33	0	335.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5633	3
34	0	345.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	4133	1
35	0	355.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	False	-1	-1
36	0	365.0	5.0	38.00	5.0000	0.0000	1.0000	7.3800	0.5000	0.0000	True	5028	3
