cell_id	parent_id	cell_type	cell_type_name	x	y	angle	shape_path	size_scale	cell_cycle_phase	ecDNA_count	ecDNA_cargo	egfr_expression	O2_local	glucose_local	is_hypoxic	is_quiescent	generation	time_born_hr	migration_rate	VEGF_secretion	activation_level	exhaustion_level	kills_performed
0	-1	4	Endothelial	24	436	-2.6057	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0508	G0	0		7.5225	16.55	2.9607	True	True	0	0.0	20.00	0.00	0.0000	0.0000	0
1	-1	4	Endothelial	138	147	2.5484	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.6748	G0	0		6.3544	11.86	0.4875	True	True	0	0.0	20.00	0.00	0.0000	0.0000	0
2	-1	4	Endothelial	254	296	-2.9837	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9972	G0	0		6.8916	14.86	1.9962	True	True	0	0.0	20.00	0.00	0.0000	0.0000	0
3	-1	4	Endothelial	119	296	1.1736	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0110	G0	0		7.8876	13.29	1.4141	True	True	0	0.0	20.00	0.00	0.0000	0.0000	0
4	-1	4	Endothelial	364	0	-1.6143	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0615	G0	0		2.7245	20.00	5.0000	False	True	0	0.0	10.00	0.00	0.0000	0.0000	0
5	-1	4	Endothelial	11	0	-1.8519	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9692	G0	0		2.9665	20.00	5.0000	False	True	0	0.0	10.00	0.00	0.0000	0.0000	0
6	-1	4	Endothelial	402	683	-0.8388	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9286	G0	0		6.8345	5.58	0.3770	True	True	0	0.0	20.00	0.00	0.0000	0.0000	0
7	-1	4	Endothelial	157	37	-0.3358	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	1.0688	G0	0		2.7877	18.01	3.5935	False	True	0	0.0	10.00	0.00	0.0000	0.0000	0
8	-1	4	Endothelial	0	473	-3.1391	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9146	G0	0		2.7976	20.00	5.0000	False	True	0	0.0	10.00	0.00	0.0000	0.0000	0
9	-1	4	Endothelial	144	209	-1.9583	M -1 -0.3 Q 0 -0.5 1 -0.3 L 1 0.3 Q 0 0.5 -1 0.3 Z	0.9810	G0	0		7.4600	10.90	0.3002	True	True	0	0.0	20.00	0.00	0.0000	0.0000	0
