time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
7.0	40405	20	21	40407	19	2902	2730	1
11.0	40405	21	20	40408	22	2972	2869	2
16.0	40405	20	17	40409	23	2972	2869	3
16.0	40404	20	16	40410	24	2681	3023	1
18.0	40406	20	20	40411	20	3619	3343	1
20.0	40405	17	16	40412	18	2964	2963	4
21.0	40405	16	17	40413	14	2941	3036	5
22.0	40404	16	16	40414	16	2544	2935	2
28.0	40406	20	18	40415	22	3619	3343	2
30.0	40404	16	14	40416	18	2428	2821	3
34.0	40404	14	13	40417	14	2428	2821	4
34.0	40405	17	21	40418	12	3068	3115	6
34.0	40409	23	29	40419	16	2873	2770	4
35.0	40408	22	23	40420	20	3124	2796	3
35.0	40411	20	13	40421	26	3732	3237	2
36.0	40405	21	18	40422	23	3068	3115	7
37.0	40413	14	12	40423	15	3108	3055	6
39.0	40407	19	14	40424	24	3001	1791	2
42.0	40414	16	16	40425	16	2522	3176	3
43.0	40406	18	23	40426	13	3619	3343	3
44.0	40409	29	28	40427	28	2740	2517	5
47.0	40410	24	27	40428	19	2697	2558	2
47.0	40413	12	13	40429	9	3131	3046	7
47.0	40415	22	22	40430	18	3619	3325	3
48.0	40410	27	27	40431	23	2697	2558	3
48.0	40415	22	23	40432	20	3619	3325	4
49.0	40424	24	22	40433	26	2726	1946	3
50.0	40418	12	11	40434	12	3048	3131	7
50.0	40414	16	17	40435	14	2566	3297	4
50.0	40405	18	20	40436	16	3168	3161	8
51.0	40405	20	15	40437	23	3168	3161	9
52.0	40409	28	27	40438	26	2728	2406	6
53.0	40409	27	30	40439	23	2728	2406	7
53.0	40420	20	17	40440	22	3079	2829	4
53.0	40422	23	27	40441	17	2837	3044	8
53.0	40404	13	16	40442	10	2370	2723	5
53.0	40418	11	9	40443	13	3048	3131	8
54.0	40410	27	31	40444	22	2697	2558	4
54.0	40420	17	13	40445	21	3079	2829	5
54.0	40407	14	16	40446	11	3046	1719	3
55.0	40416	18	16	40447	19	2716	2647	4
55.0	40418	9	12	40448	4	3048	3131	9
56.0	40405	15	16	40449	13	3189	3161	10
56.0	40423	15	14	40450	16	3080	3218	7
57.0	40418	12	10	40451	14	3048	3131	10
57.0	40415	23	21	40452	23	3619	3325	5
58.0	40422	27	23	40453	31	2809	3043	9
58.0	40425	16	12	40454	19	2449	3186	4
59.0	40406	23	24	40455	21	3619	3343	4
59.0	40408	23	21	40456	24	3124	2796	4
59.0	40410	31	29	40457	32	2697	2558	5
59.0	40405	16	11	40458	21	3228	3141	11
59.0	40416	16	19	40459	13	2808	2598	5
59.0	40419	16	17	40460	14	2949	2668	5
59.0	40417	14	12	40461	15	2736	2739	5
60.0	40416	19	20	40462	18	2808	2598	6
60.0	40408	21	23	40463	19	3124	2796	5
60.0	40432	20	19	40464	20	3594	3230	5
60.0	40411	13	10	40465	15	3597	2966	3
60.0	40407	16	17	40466	14	3068	1718	4
60.0	40404	16	19	40467	13	2343	2630	6
61.0	40411	10	12	40468	8	3597	2966	4
61.0	40412	18	22	40469	14	2644	2971	5
61.0	40418	10	11	40470	8	3048	3131	11
62.0	40426	13	16	40471	10	3619	3379	4
63.0	40413	13	16	40472	10	3368	2974	8
63.0	40444	22	27	40473	16	2769	2523	5
63.0	40417	12	14	40474	9	2736	2739	6
64.0	40444	27	29	40475	23	2769	2523	6
64.0	40410	29	31	40476	25	2697	2558	6
64.0	40405	11	7	40477	15	3302	3158	12
65.0	40413	16	17	40478	15	3395	2908	9
65.0	40418	11	12	40479	9	3048	3131	12
65.0	40427	28	28	40480	25	3023	2218	6
66.0	40418	12	12	40481	11	3048	3131	13
67.0	40418	12	11	40482	12	3048	3131	14
67.0	40408	23	22	40483	23	3180	2682	6
67.0	40407	17	18	40484	15	3068	1718	5
68.0	40406	24	22	40485	26	3619	3343	5
68.0	40450	16	12	40486	20	3078	3349	8
68.0	40414	17	16	40487	17	2499	3488	5
68.0	40479	9	11	40488	7	3066	3113	13
69.0	40431	23	26	40489	19	2762	2381	4
69.0	40406	22	25	40490	19	3619	3343	6
69.0	40434	12	16	40491	6	3030	3149	8
69.0	40439	23	22	40492	23	2718	2367	8
70.0	40424	22	25	40493	18	2616	1864	4
70.0	40421	26	22	40494	29	3726	3655	3
70.0	40429	9	9	40495	9	3119	3046	8
