time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
3.0	63474	20	18	63476	21	2793	2861	1
7.0	63475	20	20	63477	20	3035	3045	1
8.0	63475	20	20	63478	20	3035	3045	2
16.0	63476	21	21	63479	21	2836	2999	2
24.0	63474	18	16	63480	19	3059	2585	2
25.0	63475	20	21	63481	19	3005	2871	3
28.0	63477	20	22	63482	17	3279	2571	2
30.0	63473	20	24	63483	15	3008	2910	1
31.0	63474	16	17	63484	15	3059	2585	3
34.0	63473	24	18	63485	29	2989	2708	2
36.0	63476	21	21	63486	20	2836	2999	3
39.0	63482	17	13	63487	19	3167	2591	3
40.0	63482	13	12	63488	12	3167	2591	4
40.0	63478	20	15	63489	22	3038	3116	3
41.0	63477	22	32	63490	12	3301	2587	3
41.0	63476	21	24	63491	17	2836	2999	4
42.0	63475	21	20	63492	20	3136	2745	4
43.0	63483	15	12	63493	18	3035	3089	2
44.0	63475	20	19	63494	20	3136	2745	5
44.0	63474	17	16	63495	17	3059	2585	4
47.0	63483	12	11	63496	12	3035	3089	3
48.0	63481	19	20	63497	18	3012	2816	4
48.0	63482	12	10	63498	13	3167	2591	5
50.0	63479	21	18	63499	23	2471	3186	3
53.0	63485	29	31	63500	25	2835	2212	3
53.0	63474	16	19	63501	13	3059	2585	5
54.0	63490	12	15	63502	9	3450	2418	4
54.0	63481	20	21	63503	19	2939	2766	5
55.0	63490	15	15	63504	15	3450	2418	5
55.0	63487	19	21	63505	17	2965	2557	4
55.0	63477	32	28	63506	35	3301	2587	4
56.0	63480	19	17	63507	21	2772	2937	3
56.0	63473	18	20	63508	15	3057	2631	3
56.0	63489	22	18	63509	25	3038	3136	4
56.0	63476	24	20	63510	27	2836	2999	5
58.0	63491	17	20	63511	14	2815	2999	5
59.0	63475	19	18	63512	20	3175	2671	6
59.0	63483	11	12	63513	10	3054	3009	4
59.0	63491	20	19	63514	21	2815	2999	6
60.0	63485	31	39	63515	22	2847	1953	4
61.0	63476	20	14	63516	25	2836	2999	6
61.0	63480	17	17	63517	15	2685	2947	4
61.0	63478	15	17	63518	13	3038	3116	4
62.0	63479	18	16	63519	18	2367	3322	4
62.0	63484	15	12	63520	18	2816	2653	4
62.0	63477	28	30	63521	26	3301	2587	5
62.0	63480	17	15	63522	18	2685	2947	5
62.0	63499	23	26	63523	19	2550	2878	4
63.0	63487	21	16	63524	23	2965	2557	5
63.0	63499	26	26	63525	24	2550	2878	5
63.0	63503	19	16	63526	21	3105	2736	6
63.0	63479	16	14	63527	17	2367	3322	5
64.0	63479	14	14	63528	11	2367	3322	6
64.0	63488	12	11	63529	13	3161	2504	5
64.0	63494	20	17	63530	22	3075	3044	6
64.0	63486	20	17	63531	23	2713	2999	4
65.0	63481	21	19	63532	21	2939	2766	6
65.0	63487	16	14	63533	16	2935	2621	6
65.0	63480	15	14	63534	15	2685	2947	6
66.0	63486	17	16	63535	18	2712	2976	5
66.0	63489	18	20	63536	15	3038	3136	5
66.0	63490	15	14	63537	15	3404	2225	6
66.0	63477	30	27	63538	30	3309	2729	6
67.0	63474	19	19	63539	18	3059	2585	6
68.0	63483	12	12	63540	10	3054	3009	5
68.0	63485	39	34	63541	41	2878	1755	5
69.0	63474	19	20	63542	18	3059	2585	7
69.0	63476	14	17	63543	10	2836	2999	7
69.0	63534	15	25	63544	5	2776	2944	7
69.0	63486	16	16	63545	15	2712	2976	6
70.0	63514	21	26	63546	16	2788	2999	7
70.0	63478	17	18	63547	16	3038	3091	5
71.0	63488	11	7	63548	14	3146	2383	6
72.0	63491	19	18	63549	19	2815	2999	7
72.0	63490	14	16	63550	12	3409	2149	7
72.0	63485	34	38	63551	28	2878	1755	6
72.0	63503	16	20	63552	11	3165	2705	7
72.0	63475	18	17	63553	18	3226	2555	7
72.0	63512	20	20	63554	20	3189	2685	7
72.0	63493	18	17	63555	17	3023	3025	3
73.0	63473	20	20	63556	19	3003	2540	4
73.0	63503	20	17	63557	22	3165	2705	8
73.0	63493	17	19	63558	15	3023	3025	4
73.0	63488	7	6	63559	7	3186	2365	7
73.0	63534	25	22	63560	25	2868	2926	8
74.0	63498	13	9	63561	16	3167	2609	6
74.0	63493	19	19	63562	17	3023	3025	5
74.0	63487	14	15	63563	13	2833	2713	7
74.0	63473	20	18	63564	22	3003	2540	5
74.0	63484	12	13	63565	11	2816	2653	5
75.0	63502	9	10	63566	8	3412	2526	5
