step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63476	3	0	0	19.6964	18.8395	2.1146	0.0000	1.2296
1	63471	3	0	0	19.7236	12.2197	4.0378	0.0827	1.2300
2	63464	3	0	0	19.7256	12.2268	3.3879	0.1547	1.2303
3	63460	4	0	0	19.7219	12.2196	3.6463	0.1500	1.2306
4	63454	4	0	0	19.7185	12.2065	3.5279	0.1518	1.2309
5	63448	4	0	0	19.7169	12.2021	3.5685	0.1615	1.2312
6	63441	4	0	0	19.7158	12.1964	3.5448	0.1627	1.2314
7	63434	5	0	0	19.7150	12.1947	3.5492	0.1659	1.2315
8	63429	6	0	0	19.7131	12.1795	3.5425	0.1657	1.2317
9	63418	6	0	0	19.7112	12.1636	3.5409	0.1743	1.2320
10	63412	6	0	0	19.7108	12.1654	3.5385	0.1842	1.2322
11	63407	6	0	0	19.7105	12.1689	3.5367	0.1750	1.2324
12	63401	6	0	0	19.7103	12.1686	3.5351	0.1529	1.2325
13	63395	6	0	0	19.7102	12.1704	3.5337	0.1555	1.2325
14	63392	6	0	0	19.7101	12.1701	3.5326	0.1523	1.2326
15	63382	6	0	0	19.7099	12.1700	3.5313	0.1521	1.2326
16	63375	7	0	0	19.7099	12.1709	3.5303	0.1531	1.2326
17	63370	7	0	0	19.7086	11.8661	3.5289	0.1508	1.2327
18	63361	7	0	0	19.7085	12.1631	3.5282	0.1531	1.2328
19	63349	7	0	0	19.7086	12.1636	3.5275	0.1534	1.2328
20	63343	7	0	0	19.7088	12.1650	3.5272	0.1544	1.2329
21	63337	7	0	0	19.7089	12.1659	3.5267	0.1524	1.2329
22	63333	7	0	0	19.7090	12.1664	3.5262	0.1472	1.2328
23	63324	7	0	0	19.7090	12.1662	3.5256	0.1504	1.2328
24	63320	8	0	0	19.7093	12.1668	3.5255	0.1584	1.2328
25	63317	9	0	0	19.7080	12.1600	3.5244	0.1540	1.2329
26	63312	9	0	0	19.7066	12.1486	3.5236	0.1570	1.2331
27	63302	9	0	0	19.7064	12.1484	3.5233	0.1556	1.2333
28	63298	10	0	0	19.7068	12.1494	3.5233	0.1595	1.2334
29	63292	10	0	0	19.7056	12.1406	3.5224	0.1682	1.2336
30	63287	11	0	0	19.7056	12.1404	3.5224	0.1706	1.2338
31	63281	12	0	0	19.7042	12.1254	3.5213	0.1712	1.2340
32	63278	12	0	0	19.7029	12.1173	3.5208	0.1776	1.2344
33	63268	12	0	0	19.7028	12.1196	3.5209	0.1744	1.2346
34	63262	13	0	0	19.7029	12.1199	3.5205	0.1727	1.2348
35	63255	13	0	0	19.7018	12.1112	3.5201	0.1607	1.2351
36	63249	14	0	0	19.7018	12.1129	3.5201	0.1589	1.2353
37	63244	14	0	0	19.7006	12.1075	3.5194	0.1720	1.2356
38	63240	14	0	0	19.7006	12.1076	3.5195	0.1773	1.2358
39	63237	15	0	0	19.7007	12.1076	3.5192	0.1734	1.2360
40	63227	17	0	0	19.6994	12.0996	3.5186	0.1687	1.2362
41	63223	19	0	0	19.6968	12.0816	3.5176	0.1853	1.2367
42	63220	20	0	0	19.6940	12.0674	3.5167	0.1898	1.2373
43	63213	21	0	0	19.6925	12.0558	3.5165	0.1869	1.2380
44	63206	23	0	0	19.6912	12.0483	3.5159	0.1880	1.2386
45	63203	23	0	0	19.6886	12.0308	3.5148	0.1902	1.2394
46	63202	23	0	0	19.6884	12.0304	3.5149	0.2047	1.2400
47	63195	24	0	0	19.6883	12.0301	3.5145	0.1954	1.2405
48	63191	26	0	0	19.6872	12.0237	3.5141	0.1894	1.2409
49	63183	26	0	0	19.6845	12.0048	3.5130	0.1862	1.2416
50	63179	27	0	0	19.6845	12.0057	3.5136	0.1854	1.2421
51	63174	27	0	0	19.6833	12.0013	3.5125	0.1806	1.2426
52	63173	27	0	0	19.6834	12.0036	3.5128	0.1878	1.2429
53	63166	29	0	0	19.6835	12.0070	3.5128	0.1851	1.2432
54	63161	31	0	0	19.6811	11.6944	3.5117	0.1902	1.2437
55	63158	34	0	0	19.6784	11.6798	3.5109	0.1895	1.2443
56	63160	38	0	0	19.6742	11.6507	3.5094	0.1956	1.2452
57	63153	38	0	0	19.6684	11.6197	3.5075	0.1989	1.2465
58	63151	39	0	0	19.6680	11.6216	3.5079	0.2200	1.2476
59	63150	42	0	0	19.6668	11.6148	3.5074	0.2168	1.2485
60	63145	43	0	0	19.6627	11.5937	3.5060	0.1970	1.2496
61	63143	46	0	0	19.6612	11.5891	3.5058	0.1995	1.2506
62	63145	51	0	0	19.6571	11.5576	3.5041	0.1950	1.2518
63	63143	55	0	0	19.6500	11.5200	3.5019	0.2004	1.2534
64	63144	59	0	0	19.6440	11.4916	3.5001	0.2025	1.2553
65	63143	62	0	0	19.6380	11.4590	3.4985	0.2304	1.2573
66	63142	66	0	0	19.6334	11.4351	3.4975	0.2384	1.2593
67	63134	67	0	0	19.6277	11.4065	3.4956	0.2422	1.2614
68	63131	69	0	0	19.6260	11.3971	3.4959	0.2518	1.2632
69	63129	73	0	0	19.6233	11.4015	3.4944	0.2664	1.2648
70	63120	75	0	0	19.6176	11.3705	3.4928	0.2635	1.2666
71	63114	76	0	0	19.6147	11.3601	3.4925	0.2522	1.2683
72	63114	83	0	0	19.6133	11.3517	3.4922	0.2659	1.2697
73	63112	88	0	0	19.6039	11.3016	3.4886	0.2763	1.2718
74	63111	93	0	0	19.5963	11.2554	3.4874	0.2916	1.2740
75	63114	99	0	0	19.5888	11.2069	3.4849	0.2877	1.2766
76	63108	102	0	0	19.5799	11.1657	3.4824	0.3044	1.2794
