time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
3.0	63474	20	18	63476	21	2843	2876	1
7.0	63475	20	16	63477	23	3044	3112	1
10.0	63473	20	16	63478	24	3048	2966	1
16.0	63476	21	15	63479	25	2863	2876	2
21.0	63473	16	14	63480	17	3071	2967	2
25.0	63474	18	14	63481	19	2795	2849	2
27.0	63476	15	14	63482	14	2828	2798	3
36.0	63477	23	25	63483	21	3139	3051	2
36.0	63476	14	16	63484	12	2828	2798	4
41.0	63478	24	25	63485	19	3561	3048	2
42.0	63473	14	11	63486	16	3071	2967	3
43.0	63481	19	19	63487	17	2942	2837	3
43.0	63473	11	8	63488	14	3071	2967	4
46.0	63482	14	14	63489	14	2992	2545	4
47.0	63478	25	19	63490	29	3561	3048	3
49.0	63477	25	20	63491	26	3106	2854	3
49.0	63476	16	18	63492	13	2828	2798	5
50.0	63474	14	16	63493	12	2795	2849	3
50.0	63477	20	22	63494	18	3106	2854	4
51.0	63475	16	18	63495	14	2583	3171	2
52.0	63481	19	18	63496	19	3010	2736	4
53.0	63478	19	19	63497	18	3561	3048	4
53.0	63473	8	7	63498	9	3071	2967	5
54.0	63493	12	14	63499	10	2815	2849	4
55.0	63483	21	24	63500	18	3184	3118	3
55.0	63477	22	19	63501	25	3106	2854	5
55.0	63479	25	27	63502	22	2830	3309	3
56.0	63476	18	17	63503	18	2828	2798	6
56.0	63485	19	20	63504	17	3504	2963	3
57.0	63494	18	17	63505	18	3175	2823	5
57.0	63490	29	31	63506	26	3445	2995	4
59.0	63484	12	13	63507	10	2843	2918	5
59.0	63473	7	5	63508	9	3030	2955	6
60.0	63484	13	13	63509	13	2843	2918	6
61.0	63482	14	10	63510	16	3009	2497	5
61.0	63487	17	21	63511	13	2910	2814	4
61.0	63478	19	17	63512	21	3584	2995	5
62.0	63494	17	17	63513	16	3175	2823	6
63.0	63475	18	19	63514	16	2531	3166	3
64.0	63477	19	18	63515	20	3054	2753	6
64.0	63486	16	17	63516	15	3051	2987	4
64.0	63475	19	24	63517	13	2531	3166	4
65.0	63478	17	16	63518	18	3584	2995	6
65.0	63486	17	15	63519	18	3051	2987	5
65.0	63474	16	19	63520	12	2795	2849	4
66.0	63487	21	19	63521	21	2910	2814	5
67.0	63509	13	15	63522	11	2842	3026	7
68.0	63481	18	24	63523	12	2892	2598	5
69.0	63493	14	13	63524	15	2835	2849	5
70.0	63493	13	12	63525	12	2835	2849	6
71.0	63475	24	31	63526	15	2531	3166	5
72.0	63490	31	32	63527	29	3189	3099	5
72.0	63509	15	18	63528	11	2842	3026	8
72.0	63493	12	8	63529	15	2835	2849	7
73.0	63509	18	19	63530	17	2842	3026	9
73.0	63502	22	16	63531	27	2811	3309	4
73.0	63495	14	16	63532	11	2631	3208	3
73.0	63476	17	17	63533	15	2828	2798	7
73.0	63478	16	14	63534	17	3544	2957	7
74.0	63476	17	15	63535	19	2828	2798	8
74.0	63495	16	19	63536	13	2631	3208	4
74.0	63494	17	15	63537	19	3229	2816	7
74.0	63478	14	17	63538	11	3544	2957	8
75.0	63490	32	28	63539	34	3189	3099	6
75.0	63489	14	16	63540	12	2995	2528	5
75.0	63476	15	15	63541	14	2828	2798	9
76.0	63494	15	16	63542	13	3229	2816	8
76.0	63479	27	25	63543	27	2830	3309	4
76.0	63486	15	14	63544	16	3051	2987	6
76.0	63488	14	15	63545	12	3163	3224	5
76.0	63477	18	19	63546	17	2904	2699	7
76.0	63478	17	15	63547	19	3544	2957	9
76.0	63498	9	5	63548	13	3165	2984	6
76.0	63489	16	19	63549	10	2995	2528	6
77.0	63473	5	4	63550	6	3030	2955	7
77.0	63479	25	23	63551	26	2830	3309	5
77.0	63483	24	22	63552	26	3291	3277	4
77.0	63474	19	19	63553	18	2782	2836	5
78.0	63485	20	28	63554	10	3354	2983	4
78.0	63506	26	21	63555	28	3538	3021	5
79.0	63512	21	14	63556	25	3597	3093	6
79.0	63515	20	23	63557	16	3044	2762	7
79.0	63485	28	27	63558	28	3354	2983	5
79.0	63498	5	4	63559	6	3165	2984	7
80.0	63501	25	22	63560	28	3092	2868	6
81.0	63487	19	22	63561	16	2910	2814	6
81.0	63475	31	33	63562	27	2519	3250	6
82.0	63499	10	12	63563	8	2833	2869	5
83.0	63513	16	15	63564	17	3191	2839	7
83.0	63502	16	11	63565	20	2846	3149	5
83.0	63500	18	16	63566	20	3116	3219	4
83.0	63492	13	10	63567	15	2796	2814	6
83.0	63504	17	14	63568	20	3458	2961	4
84.0	63489	19	18	63569	20	2995	2528	7
84.0	63510	16	18	63570	13	2774	2282	6
84.0	63500	16	10	63571	21	3116	3219	5
84.0	63477	19	18	63572	19	2904	2699	8
84.0	63495	19	23	63573	15	2631	3208	5
84.0	63487	22	23	63574	18	2910	2814	7
84.0	63518	18	14	63575	21	3571	2982	7
84.0	63490	28	20	63576	36	3108	3050	7
84.0	63517	13	14	63577	12	2549	3207	5
85.0	63500	10	11	63578	8	3116	3219	6
85.0	63481	24	16	63579	31	2899	2680	6
85.0	63544	16	19	63580	12	3029	2987	7
86.0	63486	14	7	63581	21	3051	2987	7
86.0	63503	18	16	63582	20	2893	2842	7
86.0	63493	8	8	63583	8	2835	2849	8
87.0	63494	16	16	63584	15	3229	2816	9
87.0	63508	9	9	63585	9	2996	2969	7
87.0	63512	14	13	63586	15	3625	3130	7
87.0	63501	22	22	63587	19	3092	2868	7
88.0	63563	8	9	63588	7	2876	2930	6
88.0	63485	27	24	63589	29	3354	2983	6
88.0	63512	13	17	63590	8	3625	3130	8
88.0	63488	15	10	63591	19	3316	3194	6
88.0	63478	15	14	63592	13	3534	2867	10
88.0	63516	15	12	63593	18	3095	2987	5
89.0	63499	12	9	63594	13	2833	2869	6
89.0	63497	18	17	63595	19	3314	2991	5
89.0	63505	18	18	63596	16	3158	2839	6
89.0	63513	15	22	63597	8	3191	2839	8
90.0	63497	17	14	63598	18	3307	2933	6
90.0	63482	10	9	63599	11	2974	2429	6
90.0	63507	10	10	63600	10	2861	3123	6
90.0	63513	22	19	63601	22	3191	2839	9
90.0	63479	23	20	63602	26	2891	3315	6
90.0	63527	29	34	63603	23	3210	3156	6
91.0	63500	11	16	63604	5	3116	3219	7
91.0	63506	21	18	63605	23	3538	3021	6
91.0	63487	23	24	63606	20	2910	2814	8
91.0	63562	27	29	63607	24	2540	3105	7
91.0	63484	13	12	63608	14	2971	3064	7
92.0	63484	12	9	63609	14	2971	3064	8
92.0	63489	18	21	63610	14	3057	2374	8
92.0	63522	11	12	63611	10	2942	3148	8
92.0	63475	33	26	63612	40	2519	3250	7
92.0	63509	19	22	63613	16	2667	3041	10
92.0	63556	25	24	63614	26	3695	2957	7
93.0	63484	9	7	63615	11	2971	3064	9
93.0	63530	17	17	63616	16	3003	2996	10
93.0	63509	22	22	63617	21	2667	3041	11
93.0	63475	26	26	63618	24	2519	3250	8
93.0	63533	15	14	63619	13	2878	2827	8
93.0	63473	4	6	63620	2	3030	2955	8
94.0	63506	18	18	63621	18	3538	3021	7
94.0	63502	11	13	63622	9	2846	3149	6
94.0	63523	12	13	63623	11	2876	2490	6
94.0	63545	12	12	63624	12	3174	3262	6
94.0	63512	17	15	63625	19	3674	3148	9
94.0	63490	20	24	63626	16	3108	3050	8
95.0	63519	18	16	63627	20	3114	3162	6
95.0	63506	18	16	63628	19	3538	3021	8
95.0	63496	19	18	63629	20	2994	2906	5
95.0	63473	6	7	63630	4	3030	2955	9
95.0	63582	20	26	63631	13	2949	2888	8
95.0	63503	16	16	63632	16	2893	2842	8
95.0	63541	14	14	63633	14	2817	2766	10
95.0	63543	27	25	63634	28	2847	3107	5
96.0	63507	10	8	63635	11	2712	3197	7
96.0	63513	19	17	63636	21	3191	2839	10
96.0	63531	27	35	63637	19	2680	3295	5
96.0	63547	19	21	63638	15	3531	2969	10
96.0	63489	21	15	63639	27	3115	2326	9
96.0	63473	7	7	63640	6	3030	2955	10
96.0	63516	12	19	63641	5	3095	2987	6
97.0	63516	19	20	63642	17	3095	2987	7
97.0	63531	35	37	63643	32	2680	3295	6
97.0	63497	14	10	63644	18	3307	2933	7
97.0	63523	13	13	63645	13	2876	2490	7
97.0	63537	19	20	63646	17	3197	2892	8
97.0	63483	22	24	63647	19	3291	3277	5
97.0	63495	23	23	63648	23	2593	3266	6
97.0	63521	21	22	63649	16	2898	2825	6
97.0	63476	15	14	63650	16	2796	2766	10
98.0	63523	13	10	63651	16	2876	2490	8
98.0	63527	34	37	63652	27	3210	3156	7
98.0	63497	10	5	63653	13	3307	2933	8
98.0	63563	9	5	63654	11	2876	2930	7
98.0	63474	19	17	63655	21	2721	2745	6
98.0	63511	13	11	63656	14	2911	2872	5
99.0	63510	18	21	63657	14	2674	2101	7
99.0	63527	37	24	63658	49	3210	3156	8
99.0	63558	28	28	63659	27	3382	3011	6
99.0	63557	16	19	63660	13	3103	2831	8
99.0	63487	24	24	63661	23	2899	2745	9
99.0	63490	24	23	63662	24	3108	3050	9
99.0	63523	10	12	63663	7	2876	2490	9
99.0	63561	16	17	63664	14	2977	2821	7
99.0	63517	14	16	63665	12	2549	3207	6
99.0	63563	5	3	63666	7	2876	2930	8
99.0	63473	7	7	63667	7	3030	2955	11
99.0	63637	19	19	63668	19	2701	3225	6
100.0	63525	12	10	63669	14	2867	2862	7
100.0	63540	12	6	63670	17	3015	2492	6
100.0	63491	26	25	63671	27	2964	2671	4
100.0	63581	21	25	63672	17	3066	2971	8
100.0	63485	24	21	63673	26	3367	2996	7
100.0	63530	17	10	63674	23	2947	3052	11
100.0	63499	9	9	63675	9	2833	2869	7
100.0	63542	13	10	63676	16	3212	2832	9
100.0	63563	3	2	63677	3	2876	2930	9
100.0	63510	21	21	63678	20	2674	2101	8
100.0	63588	7	5	63679	8	2889	3051	7
100.0	63523	12	12	63680	12	2876	2490	10
100.0	63494	16	18	63681	12	3229	2816	10
100.0	63481	16	7	63682	22	2986	2723	7
101.0	63589	29	29	63683	27	3409	3044	7
101.0	63538	11	9	63684	13	3549	2946	9
101.0	63515	23	23	63685	23	3070	2828	8
101.0	63525	10	9	63686	10	2867	2862	8
101.0	63546	17	18	63687	15	2755	2635	8
101.0	63501	22	25	63688	18	2799	2625	8
101.0	63521	22	21	63689	21	2898	2825	7
101.0	63491	25	28	63690	21	2964	2671	5
102.0	63550	6	5	63691	7	2959	3025	8
102.0	63525	9	6	63692	12	2867	2862	9
102.0	63515	23	23	63693	23	3070	2828	9
102.0	63498	4	3	63694	5	3136	2973	8
102.0	63478	14	10	63695	18	3529	2748	11
102.0	63543	25	24	63696	26	2896	2986	6
102.0	63589	29	25	63697	33	3409	3044	8
102.0	63545	12	12	63698	11	3174	3262	7
102.0	63529	15	14	63699	16	2773	2787	8
102.0	63572	19	20	63700	17	2962	2704	9
102.0	63554	10	7	63701	12	3368	3105	5
102.0	63584	15	13	63702	17	3130	2656	10
102.0	63569	20	17	63703	21	2845	2258	8
102.0	63595	19	25	63704	13	3314	3010	6
103.0	63513	17	16	63705	18	3189	2890	11
103.0	63633	14	13	63706	15	2865	2734	11
103.0	63498	3	1	63707	4	3136	2973	9
103.0	63484	7	8	63708	6	2971	3064	10
103.0	63505	18	15	63709	21	3158	2839	7
103.0	63545	12	13	63710	11	3174	3262	8
103.0	63575	21	23	63711	18	3772	2745	8
104.0	63477	18	18	63712	18	2853	2716	9
104.0	63544	19	20	63713	18	3003	3047	8
104.0	63599	11	11	63714	11	3022	2442	7
104.0	63491	28	32	63715	24	2964	2671	6
104.0	63541	14	17	63716	11	2817	2766	11
104.0	63535	19	20	63717	17	2847	2796	9
104.0	63560	28	25	63718	29	3167	2705	7
104.0	63559	6	4	63719	7	3138	2846	8
104.0	63568	20	24	63720	16	3584	3128	5
104.0	63475	26	22	63721	29	2519	3250	9
104.0	63552	26	24	63722	25	3197	3039	5
104.0	63513	16	12	63723	19	3189	2890	12
104.0	63479	20	18	63724	19	2886	3376	7
105.0	63487	24	28	63725	20	2899	2745	10
105.0	63541	17	11	63726	23	2817	2766	12
105.0	63562	29	28	63727	29	2327	3043	8
105.0	63619	13	11	63728	15	2826	2813	9
105.0	63484	8	9	63729	7	2971	3064	11
105.0	63523	12	14	63730	10	2876	2490	11
105.0	63551	26	25	63731	26	2982	3339	6
105.0	63512	15	15	63732	13	3678	3102	10
105.0	63508	9	10	63733	7	2940	3025	8
105.0	63544	20	21	63734	19	3003	3047	9
105.0	63579	31	32	63735	29	3061	2519	7
105.0	63568	24	28	63736	19	3584	3128	6
105.0	63542	10	6	63737	14	3212	2832	10
105.0	63479	18	23	63738	13	2886	3376	8
105.0	63517	16	12	63739	19	2549	3207	7
106.0	63549	10	8	63740	12	2925	2582	7
106.0	63514	16	14	63741	18	2590	3293	4
106.0	63635	11	12	63742	8	2780	3156	8
106.0	63572	20	23	63743	15	2962	2704	10
106.0	63523	14	12	63744	16	2876	2490	12
106.0	63561	17	18	63745	15	2977	2821	8
106.0	63562	28	26	63746	29	2327	3043	9
106.0	63522	12	13	63747	11	2927	3163	9
