step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63476	3	0	0	19.6964	18.8395	2.1146	0.0000	1.2296
1	63471	3	0	0	19.7236	12.2197	4.0378	0.0827	1.2300
2	63464	3	0	0	19.7256	12.2263	3.3879	0.1390	1.2303
3	63460	4	0	0	19.7219	12.2195	3.6463	0.1371	1.2306
4	63454	4	0	0	19.7185	12.2067	3.5279	0.1341	1.2309
5	63449	4	0	0	19.7170	12.2032	3.5687	0.1371	1.2312
6	63440	4	0	0	19.7158	12.2008	3.5447	0.1352	1.2314
7	63435	5	0	0	19.7151	12.1996	3.5494	0.1360	1.2315
8	63430	5	0	0	19.7131	12.1862	3.5424	0.1376	1.2317
9	63422	5	0	0	19.7124	12.1845	3.5412	0.1447	1.2319
10	63418	6	0	0	19.7122	12.1841	3.5390	0.1449	1.2320
11	63415	6	0	0	19.7106	12.1705	3.5367	0.1463	1.2322
12	63411	6	0	0	19.7101	12.1702	3.5353	0.1470	1.2323
13	63405	6	0	0	19.7098	12.1693	3.5337	0.1461	1.2325
14	63400	6	0	0	19.7096	12.1716	3.5322	0.1505	1.2325
15	63390	6	0	0	19.7095	12.1718	3.5312	0.1407	1.2326
16	63384	7	0	0	19.7094	12.1722	3.5300	0.1452	1.2326
17	63379	7	0	0	19.7080	12.1620	3.5284	0.1372	1.2327
18	63372	7	0	0	19.7077	12.1611	3.5278	0.1493	1.2329
19	63365	7	0	0	19.7079	12.1618	3.5271	0.1421	1.2329
20	63357	7	0	0	19.7079	12.1619	3.5265	0.1422	1.2330
21	63351	8	0	0	19.7080	12.1630	3.5261	0.1454	1.2330
22	63347	8	0	0	19.7068	12.1501	3.5251	0.1471	1.2331
23	63334	8	0	0	19.7066	12.1534	3.5245	0.1506	1.2332
24	63328	8	0	0	19.7069	12.1548	3.5246	0.1503	1.2333
25	63325	9	0	0	19.7070	12.1549	3.5238	0.1513	1.2334
26	63319	9	0	0	19.7056	12.1454	3.5231	0.1551	1.2335
27	63310	10	0	0	19.7055	12.1469	3.5229	0.1535	1.2336
28	63304	10	0	0	19.7044	12.1369	3.5221	0.1538	1.2339
29	63298	10	0	0	19.7043	12.1368	3.5219	0.1487	1.2340
30	63293	10	0	0	19.7045	12.1370	3.5217	0.1555	1.2342
31	63285	10	0	0	19.7046	12.1386	3.5214	0.1553	1.2342
32	63282	10	0	0	19.7048	12.1404	3.5215	0.1503	1.2343
33	63276	10	0	0	19.7049	12.1423	3.5212	0.1472	1.2343
34	63266	10	0	0	19.7051	12.1439	3.5210	0.1453	1.2343
35	63260	10	0	0	19.7055	12.1445	3.5210	0.1492	1.2343
36	63258	12	0	0	19.7056	12.1459	3.5210	0.1465	1.2343
37	63250	12	0	0	19.7029	12.1260	3.5194	0.1479	1.2345
38	63243	12	0	0	19.7027	12.1256	3.5197	0.1527	1.2347
39	63239	12	0	0	19.7029	12.1266	3.5197	0.1459	1.2349
40	63231	12	0	0	19.7031	12.1268	3.5195	0.1546	1.2350
41	63228	13	0	0	19.7033	12.1274	3.5196	0.1562	1.2351
42	63224	14	0	0	19.7021	12.1218	3.5189	0.1562	1.2352
43	63216	16	0	0	19.7007	12.1073	3.5184	0.1645	1.2355
44	63208	16	0	0	19.6980	12.0849	3.5174	0.1723	1.2360
45	63206	16	0	0	19.6979	12.0851	3.5176	0.1804	1.2364
46	63204	17	0	0	19.6979	12.0853	3.5173	0.1782	1.2367
47	63195	18	0	0	19.6967	12.0794	3.5168	0.1672	1.2371
48	63191	18	0	0	19.6955	12.0732	3.5165	0.1688	1.2375
49	63183	20	0	0	19.6954	12.0724	3.5164	0.1723	1.2378
50	63177	22	0	0	19.6929	12.0550	3.5154	0.1693	1.2383
51	63173	23	0	0	19.6901	12.0368	3.5147	0.1822	1.2390
52	63169	24	0	0	19.6886	12.0315	3.5143	0.1801	1.2397
53	63158	26	0	0	19.6871	12.0224	3.5136	0.1828	1.2403
54	63155	27	0	0	19.6847	12.0030	3.5128	0.1798	1.2411
55	63153	30	0	0	19.6832	11.9956	3.5124	0.1820	1.2418
56	63150	32	0	0	19.6789	11.6991	3.5106	0.1831	1.2428
57	63144	34	0	0	19.6759	11.6608	3.5101	0.1863	1.2439
58	63140	34	0	0	19.6731	11.6471	3.5091	0.1848	1.2450
59	63137	36	0	0	19.6729	11.6470	3.5096	0.1917	1.2459
60	63132	37	0	0	19.6703	11.6266	3.5082	0.1951	1.2468
61	63128	40	0	0	19.6688	11.6155	3.5084	0.2036	1.2477
62	63127	41	0	0	19.6647	11.5901	3.5066	0.2084	1.2488
63	63120	42	0	0	19.6630	11.5816	3.5065	0.2069	1.2498
64	63121	45	0	0	19.6617	11.5757	3.5060	0.2148	1.2507
65	63122	48	0	0	19.6574	11.5511	3.5044	0.2177	1.2518
66	63117	49	0	0	19.6529	11.5255	3.5030	0.2220	1.2531
67	63111	50	0	0	19.6512	11.5126	3.5029	0.2277	1.2542
68	63104	51	0	0	19.6499	11.5026	3.5025	0.2334	1.2552
69	63094	52	0	0	19.6487	11.4943	3.5023	0.2316	1.2562
70	63088	53	0	0	19.6474	11.4810	3.5018	0.2298	1.2570
71	63083	54	0	0	19.6461	11.4674	3.5016	0.2291	1.2578
72	63081	57	0	0	19.6448	11.4630	3.5013	0.2254	1.2585
73	63082	62	0	0	19.6406	11.4336	3.4999	0.2286	1.2594
74	63080	66	0	0	19.6334	11.4128	3.4976	0.2568	1.2609
75	63076	69	0	0	19.6273	11.3810	3.4961	0.2535	1.2626
76	63073	77	0	0	19.6227	11.3570	3.4949	0.2730	1.2644
