time_hr	parent_id	parent_ecDNA_before	parent_ecDNA_after	daughter_id	daughter_ecDNA	x	y	generation
3.0	63474	20	22	63476	16	2806	2872	1
9.0	63473	20	19	63477	19	3032	2961	1
13.0	63474	22	24	63478	19	2806	2872	2
18.0	63473	19	16	63479	21	3032	2961	2
20.0	63475	20	17	63480	22	3058	3102	1
23.0	63474	24	27	63481	20	2713	2914	3
31.0	63480	22	23	63482	19	3079	3102	2
32.0	63480	23	22	63483	23	3079	3102	3
33.0	63476	16	17	63484	14	2790	2829	2
38.0	63475	17	14	63485	19	3058	3102	2
39.0	63477	19	24	63486	11	2997	3130	2
42.0	63476	17	20	63487	13	2790	2829	3
42.0	63480	22	19	63488	25	3059	3191	4
43.0	63475	14	11	63489	16	3058	3102	3
43.0	63481	20	21	63490	18	2740	2906	4
46.0	63473	16	14	63491	17	3071	2963	3
47.0	63477	24	24	63492	23	2901	3206	3
50.0	63478	19	20	63493	18	2683	2861	3
51.0	63484	14	8	63494	18	2869	2886	3
52.0	63474	27	25	63495	26	2683	2779	4
53.0	63475	11	9	63496	12	3058	3102	4
54.0	63483	23	23	63497	22	3209	3191	4
55.0	63489	16	14	63498	17	3194	3074	4
55.0	63477	24	23	63499	25	2901	3206	4
55.0	63483	23	24	63500	21	3209	3191	5
56.0	63479	21	23	63501	18	2862	3034	3
56.0	63474	25	23	63502	23	2683	2779	5
59.0	63475	9	9	63503	8	3058	3102	5
61.0	63480	19	21	63504	15	3059	3191	5
61.0	63482	19	18	63505	19	3095	3109	3
62.0	63484	8	7	63506	8	2869	2886	4
64.0	63479	23	30	63507	16	2836	3119	4
64.0	63475	9	9	63508	8	3058	3102	6
64.0	63474	23	19	63509	26	2683	2779	6
65.0	63491	17	21	63510	13	3044	2946	4
65.0	63476	20	24	63511	15	2790	2829	4
65.0	63482	18	15	63512	21	3095	3109	4
67.0	63478	20	20	63513	19	2683	2881	4
69.0	63486	11	13	63514	9	3009	3130	3
69.0	63491	21	23	63515	18	3044	2946	5
70.0	63477	23	17	63516	27	2758	3226	5
70.0	63484	7	7	63517	7	2869	2886	5
71.0	63479	30	27	63518	32	2828	3207	5
71.0	63483	24	16	63519	30	3209	3191	6
71.0	63498	17	15	63520	19	3395	3058	5
72.0	63482	15	10	63521	18	3095	3109	5
72.0	63480	21	18	63522	22	3059	3191	6
72.0	63481	21	19	63523	23	2924	2894	5
72.0	63497	22	19	63524	23	3314	3455	5
73.0	63487	13	15	63525	10	2716	2827	4
73.0	63495	26	23	63526	27	2688	2849	5
73.0	63475	9	11	63527	7	3058	3102	7
74.0	63488	25	22	63528	26	3133	3342	5
74.0	63513	19	20	63529	18	2740	3039	5
74.0	63486	13	13	63530	13	3009	3130	4
74.0	63493	18	18	63531	17	2512	2882	4
74.0	63476	24	25	63532	22	2790	2829	5
75.0	63513	20	25	63533	12	2740	3039	6
75.0	63503	8	8	63534	7	2999	3034	6
75.0	63486	13	15	63535	11	3009	3130	5
76.0	63497	19	20	63536	17	3314	3455	6
76.0	63495	23	25	63537	21	2688	2849	6
76.0	63501	18	19	63538	17	2824	3022	4
76.0	63504	15	16	63539	13	3044	3162	6
76.0	63490	18	22	63540	14	2673	2953	5
76.0	63482	10	8	63541	11	3095	3109	6
77.0	63483	16	16	63542	14	3209	3191	7
77.0	63477	17	15	63543	19	2758	3226	6
77.0	63497	20	19	63544	20	3314	3455	7
78.0	63481	19	13	63545	21	2922	2806	6
78.0	63485	19	20	63546	17	3336	3061	3
79.0	63486	15	17	63547	12	3009	3130	6
79.0	63494	18	12	63548	23	3044	2915	4
80.0	63489	14	12	63549	16	3317	2885	5
80.0	63474	19	18	63550	19	2683	2779	7
81.0	63479	27	22	63551	32	2828	3207	6
82.0	63495	25	27	63552	22	2688	2849	7
82.0	63506	8	5	63553	10	2896	2897	5
83.0	63499	25	25	63554	24	2774	3256	5
84.0	63492	23	24	63555	22	2582	3445	4
84.0	63510	13	14	63556	11	3034	2970	5
85.0	63500	21	20	63557	21	3192	3174	6
85.0	63488	22	22	63558	20	3228	3346	6
85.0	63507	16	13	63559	18	2865	3012	5
85.0	63509	26	23	63560	28	2683	2799	7
86.0	63485	20	23	63561	16	3336	3061	4
86.0	63498	15	14	63562	16	3395	3058	6
86.0	63512	21	24	63563	14	3218	3057	5
86.0	63496	12	11	63564	13	2973	3056	5
87.0	63527	7	7	63565	7	3060	3014	8
87.0	63495	27	35	63566	19	2688	2849	8
87.0	63504	16	16	63567	15	3044	3162	7
87.0	63503	8	11	63568	5	2983	3031	7
87.0	63509	23	21	63569	24	2683	2799	8
88.0	63493	18	14	63570	21	2512	2882	5
88.0	63507	13	17	63571	9	2842	2977	6
88.0	63491	23	24	63572	22	3044	2946	6
89.0	63502	23	18	63573	24	2683	2819	6
89.0	63537	21	18	63574	23	2688	2891	7
89.0	63504	16	14	63575	18	3044	3162	8
89.0	63484	7	7	63576	7	2869	2886	6
90.0	63487	15	12	63577	17	2716	2827	5
90.0	63512	24	24	63578	23	3334	3125	6
90.0	63502	18	13	63579	20	2683	2819	7
90.0	63477	15	11	63580	18	2795	3320	7
91.0	63490	22	22	63581	21	2673	2953	6
91.0	63537	18	23	63582	12	2688	2891	8
91.0	63500	20	23	63583	16	3192	3174	7
91.0	63476	25	24	63584	25	2790	2829	6
91.0	63532	22	26	63585	17	2763	2806	6
