step	total_cells	tumor_cells	necrotic_cells	immune_cells	mean_O2_mmHg	min_O2_mmHg	mean_glucose_mM	max_VEGF_nM	mean_lactate_mM
0	63476	3	0	0	19.6964	18.8395	2.1146	0.0000	1.2296
1	63471	3	0	0	19.7236	12.2197	4.0378	0.0827	1.2300
2	63464	3	0	0	19.7256	12.2266	3.3879	0.1286	1.2303
3	63460	4	0	0	19.7219	12.2200	3.6463	0.1263	1.2306
4	63454	4	0	0	19.7185	12.2065	3.5278	0.1314	1.2309
5	63449	4	0	0	19.7170	12.2040	3.5686	0.1404	1.2312
6	63441	4	0	0	19.7159	12.2018	3.5450	0.1311	1.2314
7	63433	4	0	0	19.7151	12.2000	3.5493	0.1303	1.2315
8	63427	4	0	0	19.7146	12.1990	3.5432	0.1293	1.2316
9	63424	5	0	0	19.7140	12.1976	3.5419	0.1308	1.2316
10	63417	5	0	0	19.7123	12.1819	3.5387	0.1334	1.2317
11	63412	5	0	0	19.7119	12.1810	3.5373	0.1446	1.2319
12	63407	5	0	0	19.7117	12.1804	3.5356	0.1485	1.2319
13	63399	6	0	0	19.7114	12.1796	3.5340	0.1518	1.2320
14	63397	6	0	0	19.7099	12.1704	3.5322	0.1469	1.2322
15	63387	6	0	0	19.7095	12.1694	3.5310	0.1488	1.2323
16	63380	6	0	0	19.7095	12.1691	3.5300	0.1487	1.2324
17	63378	6	0	0	19.7094	12.1686	3.5290	0.1506	1.2324
18	63373	7	0	0	19.7093	12.1680	3.5282	0.1532	1.2325
19	63365	7	0	0	19.7079	12.1539	3.5269	0.1521	1.2326
20	63357	8	0	0	19.7078	12.1535	3.5263	0.1618	1.2327
21	63349	8	0	0	19.7065	12.1455	3.5251	0.1478	1.2330
22	63345	8	0	0	19.7065	12.1460	3.5248	0.1465	1.2331
23	63338	9	0	0	19.7065	12.1465	3.5240	0.1442	1.2333
24	63331	9	0	0	19.7052	12.1406	3.5232	0.1376	1.2335
25	63328	9	0	0	19.7052	12.1401	3.5230	0.1455	1.2336
26	63322	9	0	0	19.7052	12.1407	3.5225	0.1493	1.2338
27	63312	9	0	0	19.7054	12.1408	3.5225	0.1460	1.2338
28	63307	9	0	0	19.7056	12.1413	3.5220	0.1468	1.2339
29	63298	9	0	0	19.7057	12.1417	3.5219	0.1470	1.2339
30	63289	9	0	0	19.7059	12.1419	3.5217	0.1459	1.2339
31	63278	10	0	0	19.7061	12.1420	3.5216	0.1449	1.2339
32	63278	11	0	0	19.7050	12.1305	3.5211	0.1455	1.2340
33	63272	12	0	0	19.7034	12.1173	3.5200	0.1458	1.2342
34	63265	12	0	0	19.7020	12.1100	3.5195	0.1461	1.2346
35	63255	12	0	0	19.7021	12.1115	3.5196	0.1480	1.2348
36	63248	12	0	0	19.7023	12.1133	3.5196	0.1492	1.2350
37	63239	12	0	0	19.7025	12.1134	3.5195	0.1481	1.2351
38	63234	13	0	0	19.7028	12.1139	3.5196	0.1470	1.2352
39	63229	14	0	0	19.7016	12.1019	3.5189	0.1495	1.2354
40	63216	14	0	0	19.7002	12.0907	3.5183	0.1468	1.2356
41	63209	14	0	0	19.7004	12.0913	3.5187	0.1462	1.2359
42	63205	16	0	0	19.7007	12.0923	3.5187	0.1515	1.2360
43	63194	18	0	0	19.6981	12.0739	3.5174	0.1542	1.2364
44	63184	18	0	0	19.6953	12.0524	3.5167	0.1603	1.2369
45	63180	18	0	0	19.6954	12.0535	3.5170	0.1627	1.2374
46	63181	19	0	0	19.6956	12.0542	3.5171	0.1577	1.2378
47	63175	20	0	0	19.6942	12.0454	3.5164	0.1622	1.2382
48	63170	20	0	0	19.6929	12.0355	3.5160	0.1622	1.2386
49	63161	20	0	0	19.6929	12.0364	3.5159	0.1622	1.2389
50	63157	21	0	0	19.6933	12.0387	3.5160	0.1623	1.2392
51	63154	22	0	0	19.6921	12.0345	3.5156	0.1583	1.2395
52	63151	23	0	0	19.6908	12.0288	3.5151	0.1615	1.2398
53	63142	24	0	0	19.6894	12.0225	3.5145	0.1595	1.2403
54	63138	25	0	0	19.6882	12.0096	3.5145	0.1617	1.2407
55	63138	28	0	0	19.6868	12.0011	3.5138	0.1596	1.2412
56	63137	30	0	0	19.6827	11.9725	3.5125	0.1610	1.2420
57	63129	30	0	0	19.6796	11.9560	3.5116	0.1591	1.2429
58	63122	30	0	0	19.6795	11.9578	3.5119	0.1751	1.2437
59	63122	31	0	0	19.6796	11.9594	3.5119	0.1627	1.2442
60	63114	31	0	0	19.6783	11.9464	3.5111	0.1676	1.2448
61	63112	33	0	0	19.6784	11.9471	3.5116	0.1707	1.2452
62	63110	34	0	0	19.6758	11.9247	3.5105	0.1697	1.2458
63	63100	34	0	0	19.6742	11.9181	3.5100	0.1658	1.2463
64	63097	37	0	0	19.6745	11.9176	3.5105	0.1717	1.2468
65	63095	40	0	0	19.6706	11.8887	3.5087	0.1786	1.2475
66	63093	40	0	0	19.6663	11.8607	3.5077	0.1774	1.2485
67	63090	41	0	0	19.6659	11.8617	3.5078	0.1879	1.2494
68	63083	41	0	0	19.6646	11.8563	3.5073	0.1933	1.2501
69	63078	43	0	0	19.6647	11.8584	3.5076	0.1986	1.2507
70	63072	45	0	0	19.6622	11.8362	3.5065	0.1938	1.2514
71	63070	48	0	0	19.6595	11.8190	3.5060	0.2123	1.2522
72	63068	52	0	0	19.6553	11.7956	3.5046	0.2070	1.2533
73	63064	55	0	0	19.6495	11.7574	3.5030	0.2125	1.2547
74	63063	60	0	0	19.6450	11.7300	3.5019	0.2147	1.2562
75	63055	63	0	0	19.6380	11.3942	3.5000	0.2287	1.2581
76	63051	69	0	0	19.6333	11.3609	3.4991	0.2331	1.2600
